CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
65,100,703.3,756.92,12.39
65,120,715.56,768.67,12.55
65,140,708.79,771.76,12.53
65,160,708.93,767.68,12.45
65,180,708.81,766.79,12.44
65,200,707.8,776.35,12.51
65,220,711.43,785.5,12.55
65,240,707.18,778.55,12.48
65,260,707.25,777.64,12.5
70,100,660.01,678.55,11.02
70,120,649.64,679.48,10.97
70,140,665.49,690.07,11.16
70,160,650.03,678.84,10.98
70,180,450.32,499.01,7.05
70,200,668.06,689.16,11.18
70,220,643.92,669.09,10.84
70,240,666.57,691.08,11.18
70,260,667.31,689.67,11.14
75,100,621.64,606.68,9.68
75,120,620.96,595.18,9.65
75,140,620.58,605.74,9.67
75,160,621.41,605.17,9.68
75,180,620.9,595.89,9.64
75,200,631.4,612.21,9.85
75,220,627.11,605.08,9.75
75,240,627.19,605.46,9.74
75,260,633.65,612.08,9.88
80,100,602.52,539.49,8.8
80,120,576.51,520.42,8.47
80,140,617.6,557.28,9.02
80,160,616.97,556.87,8.98
80,180,614.4,557.71,9.0
80,200,617.3,557.59,9.04
80,220,621.67,567.56,9.1
80,240,636.99,576.02,9.35
80,260,603.9,548.63,8.92
85,100,611.93,529.42,8.5
85,120,594.17,511.71,8.25
85,140,609.33,520.86,8.43
85,160,613.39,529.86,8.53
85,180,600.35,520.21,8.35
85,200,598.53,520.81,8.32
85,220,612.47,529.75,8.48
85,240,621.38,531.13,8.58
85,260,592.18,513.35,8.18
90,100,614.45,495.26,8.02
90,120,604.78,493.89,7.92
90,140,616.02,503.68,8.08
90,160,624.28,512.72,8.17
90,180,611.33,503.14,7.99
90,200,567.42,458.87,7.42
90,220,613.54,494.22,8.03
90,240,567.3,458.83,7.42
90,260,606.0,485.9,7.88
95,100,580.65,443.23,7.17
95,120,573.0,439.88,7.13
95,140,577.94,450.0,7.19
95,160,571.83,440.21,7.1
95,180,572.8,440.53,7.13
95,200,587.78,450.48,7.29
95,220,570.94,441.27,7.1
95,240,594.43,458.38,7.37
95,260,628.97,486.41,7.85
110,100,591.93,455.18,6.46
110,120,591.39,455.49,6.48
110,140,590.1,463.87,6.5
110,160,591.1,441.43,6.52
110,180,602.21,420.92,6.58
110,200,590.12,468.75,6.49
110,220,589.91,466.7,6.5
110,240,591.95,434.72,6.53
110,260,602.21,419.06,6.59
120,100,595.93,458.82,6.51
120,120,600.55,443.5,6.5
120,140,600.84,450.08,6.51
120,160,598.57,453.48,6.48
120,180,598.86,441.26,6.48
120,200,598.17,466.09,6.48
120,220,600.95,447.65,6.53
120,240,599.79,443.94,6.5
120,260,599.48,444.88,6.5
65,100,729.07,792.31,12.8
65,120,740.13,794.35,12.87
65,140,719.33,782.93,12.48
65,160,724.28,789.91,12.63
65,180,463.5,549.72,7.8
65,200,712.78,783.48,12.47
65,220,458.26,541.79,7.63
65,240,724.42,794.6,12.71
65,260,714.82,794.13,12.58
70,100,663.18,692.04,11.17
70,120,678.66,709.47,11.37
70,140,666.66,701.49,11.26
70,160,666.82,700.44,11.23
70,180,662.99,700.17,11.2
70,200,667.84,701.75,11.24
70,220,675.57,707.19,11.33
70,240,664.51,699.76,11.2
70,260,658.96,690.72,11.18
75,100,626.56,607.13,9.72
75,120,625.71,603.81,9.73
75,140,639.16,625.1,9.99
75,160,618.5,605.84,9.63
75,180,624.81,607.34,9.71
75,200,627.19,605.16,9.73
75,220,621.18,603.85,9.69
75,240,431.44,452.62,6.38
75,260,627.16,605.79,9.73
80,100,576.76,523.35,8.46
80,120,610.52,558.18,8.97
80,140,615.87,568.52,9.08
80,160,620.93,570.49,9.1
80,180,610.22,558.4,8.98
80,200,610.35,559.1,8.96
80,220,608.04,559.85,8.94
80,240,622.79,568.1,9.1
80,260,609.51,557.47,8.93
85,100,585.12,503.12,8.1
85,120,613.31,529.09,8.51
85,140,577.96,502.56,8.06
85,160,601.29,521.75,8.37
85,180,570.17,484.61,7.93
85,200,614.61,520.54,8.52
85,220,641.76,555.7,8.93
85,240,621.78,539.89,8.65
85,260,623.01,539.09,8.66
90,100,620.04,501.63,8.13
90,120,587.91,476.23,7.68
90,140,612.77,504.31,8.05
90,160,587.23,475.46,7.68
90,180,626.45,503.49,8.21
90,200,619.53,502.04,8.11
90,220,611.95,493.47,7.97
90,240,579.03,477.79,7.6
90,260,574.53,457.2,7.53
95,100,409.25,332.25,4.78
95,120,596.75,466.74,7.45
95,140,570.13,441.22,7.1
95,160,588.51,450.42,7.29
95,180,586.98,450.08,7.26
95,200,594.91,459.43,7.41
95,220,618.61,476.55,7.68
95,240,600.83,467.93,7.5
95,260,578.97,450.01,7.24
110,100,591.98,445.04,6.52
110,120,602.46,420.67,6.58
110,140,601.03,425.26,6.56
110,160,589.91,445.34,6.48
110,180,592.02,439.24,6.52
110,200,591.26,439.98,6.51
110,220,603.39,416.47,6.72
110,240,594.06,451.48,6.54
110,260,592.34,442.23,6.5
120,100,592.23,458.98,6.42
120,120,593.29,458.72,6.44
120,140,630.2,466.3,6.84
120,160,593.92,459.22,6.43
120,180,591.08,464.81,6.43
120,200,593.41,464.74,6.42
120,220,592.35,465.82,6.39
120,240,592.4,463.33,6.42
120,260,593.99,462.93,6.43
65,100,741.13,807.89,13.06
65,120,725.7,800.02,12.93
65,140,725.46,797.38,12.92
65,160,704.78,768.58,12.47
65,180,449.71,534.63,7.59
65,200,716.24,776.57,12.61
65,220,680.34,703.72,11.47
65,240,717.03,788.69,12.82
65,260,710.56,771.71,12.55
70,100,659.67,681.17,11.11
70,120,657.65,693.61,11.32
70,140,657.25,688.67,11.13
70,160,662.16,697.41,11.34
70,180,662.53,692.29,11.19
70,200,658.95,682.95,11.14
70,220,653.23,684.85,11.24
70,240,653.07,681.57,11.06
70,260,666.31,686.43,11.15
75,100,460.42,487.33,6.72
75,120,632.15,615.05,9.89
75,140,639.22,622.83,10.15
75,160,632.26,623.86,10.08
75,180,661.89,654.25,10.54
75,200,464.91,506.41,6.83
75,220,623.2,616.14,9.98
75,240,657.2,643.71,10.42
75,260,625.29,595.53,9.71
80,100,449.69,443.81,6.24
80,120,632.8,575.29,9.48
80,140,392.54,389.46,5.45
80,160,614.91,558.63,9.04
80,180,456.19,456.76,6.3
80,200,454.39,465.01,6.32
80,220,469.52,471.08,6.53
80,240,609.86,549.63,8.92
80,260,614.28,559.42,9.07
85,100,439.69,404.02,5.75
85,120,619.22,532.36,8.65
85,140,628.85,531.86,8.72
85,160,587.16,505.66,8.19
85,180,603.05,523.26,8.4
85,200,439.37,405.0,5.71
85,220,633.54,546.26,8.89
85,240,621.0,522.54,8.66
85,260,628.4,538.77,8.86
90,100,612.44,504.1,8.13
90,120,603.2,492.15,8.02
90,140,431.04,366.33,5.25
90,160,574.95,467.98,7.56
90,180,574.89,457.7,7.53
90,200,612.76,492.79,8.0
90,220,575.4,466.42,7.55
90,240,581.74,465.35,7.57
90,260,566.9,456.19,7.4
95,100,565.51,438.88,7.05
95,120,587.94,448.09,7.29
95,140,570.75,438.25,7.09
95,160,626.92,484.07,7.78
95,180,571.99,439.75,7.14
95,200,593.21,457.41,7.37
95,220,572.41,439.48,7.15
95,240,578.16,449.13,7.22
95,260,587.93,451.23,7.32
110,100,589.99,454.27,6.5
110,120,590.48,438.7,6.5
110,140,598.46,430.58,6.59
110,160,592.04,432.72,6.52
110,180,596.86,414.74,6.64
110,200,599.34,430.06,6.59
110,220,592.59,438.04,6.53
110,240,593.22,431.98,6.54
110,260,592.56,435.55,6.55
120,100,590.34,465.55,6.4
120,120,595.45,469.73,6.47
120,140,599.09,446.37,6.49
120,160,600.97,439.13,6.52
120,180,596.58,466.26,6.47
120,200,599.42,453.77,6.49
120,220,591.3,463.34,6.41
120,240,596.31,462.65,6.48
120,260,598.77,460.26,6.48
