Time (s),GPU 0 Power (W)
0.3003995418548584,53.28
0.6701393127441406,53.28
1.002373456954956,53.18
1.3355133533477783,53.18
1.6668486595153809,53.28
1.9989874362945557,53.38
2.3306596279144287,53.28
2.6625916957855225,53.47
2.994521141052246,53.28
3.3295698165893555,53.38
3.661790132522583,53.28
4.0301759243011475,53.76
4.362019300460815,53.38
4.696582317352295,53.38
5.029772520065308,53.28
5.361872673034668,53.38
5.6948583126068115,53.27
6.026372909545898,53.28
6.35869026184082,53.28
6.690165042877197,53.28
7.02453088760376,53.28
7.357336759567261,53.28
7.689697027206421,53.38
8.021785259246826,53.28
8.353711128234863,53.38
8.68601131439209,53.67
9.018160820007324,53.28
9.350241661071777,53.17
9.682056903839111,53.38
10.014873743057251,53.38
10.346127033233643,53.28
10.678462982177734,53.38
11.01011610031128,53.38
11.342392444610596,53.28
11.674091577529907,53.38
12.008429765701294,53.28
12.341443061828613,53.28
12.673516035079956,53.38
13.005807638168335,53.57
13.338037014007568,53.38
13.670267343521118,53.36
14.021026849746704,53.38
14.358453512191772,53.28
14.689929723739624,53.28
15.0222806930542,53.28
15.354216575622559,53.38
15.686548709869385,53.38
16.034464120864868,53.57
16.36784029006958,53.28
16.698986530303955,53.38
17.031644105911255,53.38
17.381798267364502,53.28
17.714325428009033,53.38
18.046191215515137,53.38
18.378329515457153,53.28
18.710094451904297,53.38
19.042099952697754,53.28
19.37379288673401,53.38
19.705660104751587,53.67
20.037943363189697,53.47
20.36959671974182,53.27
20.718602657318115,53.28
21.050780534744263,53.38
21.382846355438232,53.38
21.714677095413208,53.38
22.04621720314026,53.94
22.378410816192627,53.38
22.710469245910645,53.38
23.042335510253906,53.27
23.374502897262573,53.57
23.706552505493164,53.28
24.03769278526306,53.28
24.37018346786499,53.28
24.70243525505066,53.28
25.034571170806885,53.28
25.368497848510742,53.47
25.701521396636963,53.07
26.031497955322266,52.97
26.36281943321228,53.57
26.696945667266846,52.88
27.029830932617188,52.97
27.362272262573242,52.97
27.695587396621704,53.57
28.02800154685974,53.38
28.36105489730835,53.38
28.697938203811646,53.38
29.031737804412842,52.97
29.36582922935486,247.39
29.70542311668396,56.71
