Time (s),GPU 0 Power (W)
0.10018754005432129,53.47
0.22954273223876953,53.47
0.35811710357666016,53.57
0.5061349868774414,53.47
0.6345105171203613,53.47
0.7634365558624268,53.57
0.8909878730773926,53.67
1.0182757377624512,53.47
1.1657168865203857,53.47
1.2938735485076904,53.76
1.4256303310394287,35.94
1.5571739673614502,35.25
1.689851999282837,35.36
1.8221590518951416,35.26
1.9557387828826904,35.25
2.086289644241333,35.24
2.2171475887298584,35.14
2.349362850189209,35.24
2.481936454772949,35.25
2.6139931678771973,35.16
2.7456107139587402,35.16
2.8746755123138428,35.26
3.0058915615081787,35.44
3.138253927230835,35.15
3.292233943939209,35.26
3.4241411685943604,35.16
3.554210901260376,35.16
3.686034679412842,35.24
3.817695140838623,35.16
3.949225425720215,35.06
4.081387758255005,35.06
4.232713460922241,35.06
4.362840890884399,35.16
4.493908405303955,35.24
4.626227617263794,35.16
4.776278495788574,35.15
4.910846948623657,35.25
5.04301118850708,35.16
5.173922538757324,35.15
5.305435657501221,35.24
5.43771505355835,35.16
5.5697150230407715,35.24
5.701562166213989,35.26
5.835773944854736,35.06
5.966328382492065,35.16
6.098100900650024,35.25
6.248389959335327,35.06
6.378690958023071,35.15
6.510047435760498,35.16
6.641936540603638,35.06
6.773390293121338,35.16
6.924595832824707,35.54
7.056135177612305,35.05
7.186386585235596,35.06
7.3181610107421875,35.25
7.44986629486084,35.15
7.579073190689087,35.15
7.7099127769470215,35.15
7.842135429382324,35.16
7.9736082553863525,35.14
8.10727071762085,35.16
8.238014698028564,35.14
8.369974851608276,35.06
8.501733303070068,35.16
8.633612632751465,35.25
8.765759944915771,35.06
8.936189651489258,35.34
9.06679105758667,35.06
9.197813987731934,35.06
9.330055236816406,35.06
9.46156358718872,35.15
9.61301565170288,35.15
9.745046377182007,35.25
9.877846240997314,35.15
10.009894132614136,35.15
10.141254901885986,35.06
10.269603729248047,35.06
10.403115272521973,35.15
10.534134149551392,35.16
10.666271686553955,34.96
10.797953605651855,35.06
10.929534673690796,35.05
11.062055826187134,35.06
11.193578958511353,34.97
11.326875448226929,35.06
11.457025051116943,35.06
11.629843950271606,35.15
11.761424541473389,35.06
11.893439769744873,35.16
12.025934219360352,35.06
12.157464981079102,35.16
12.285945177078247,35.06
12.417924880981445,35.06
12.549987316131592,35.06
12.68189001083374,35.15
12.814200639724731,35.06
12.96439528465271,35.06
13.096107482910156,35.06
13.226402759552002,34.97
13.358169317245483,35.15
13.490117311477661,35.06
13.640605449676514,35.06
13.770515441894531,34.95
13.901534795761108,34.97
14.033578872680664,34.97
14.165368556976318,35.06
14.316969633102417,34.97
14.449429750442505,35.16
14.583090543746948,34.97
14.713792562484741,35.06
14.845705032348633,35.06
14.975661277770996,35.06
15.106412887573242,34.97
15.23771333694458,35.05
15.369462966918945,35.15
15.501437664031982,35.06
15.652614831924438,35.06
15.78271746635437,35.06
15.91367769241333,35.06
16.046321630477905,35.06
16.177727937698364,35.14
16.306509256362915,35.06
16.438061237335205,35.06
16.57012391090393,35.06
16.701592206954956,35.06
16.83564066886902,35.05
16.96883988380432,34.97
17.098843336105347,35.06
17.229992389678955,35.06
17.3615403175354,35.06
17.493940591812134,35.06
17.66415810585022,35.06
17.79454731941223,34.97
17.92575240135193,34.96
18.058544397354126,35.06
18.189680814743042,34.97
18.341026306152344,35.06
18.4735209941864,35.06
18.60593032836914,34.87
18.737560987472534,35.06
18.869118213653564,35.06
19.001281261444092,34.95
19.133315086364746,35.06
19.2662513256073,34.96
19.397704362869263,34.87
19.52996563911438,35.05
19.680556774139404,35.06
19.811381340026855,34.87
19.94210457801819,35.06
20.0741708278656,35.06
20.20567536354065,35.06
20.356598615646362,35.06
20.486513137817383,35.06
20.617717742919922,34.96
20.74955701828003,34.87
20.881369590759277,35.06
21.015739917755127,34.96
21.146095037460327,34.97
21.279255390167236,34.97
21.41175389289856,34.97
21.54227924346924,34.97
21.692487001419067,35.06
21.82350754737854,35.05
21.953928470611572,34.96
22.085634231567383,34.85
22.217355489730835,34.97
22.368356704711914,35.06
22.498769998550415,35.06
22.629942893981934,34.96
22.76186203956604,34.96
22.893744707107544,35.06
23.045271635055542,34.96
23.1774160861969,35.06
23.31052851676941,35.06
23.441956281661987,34.97
23.573461532592773,34.97
23.703321933746338,34.97
23.83449673652649,34.95
23.96567726135254,34.97
24.095551252365112,35.06
24.226189374923706,34.97
24.376817226409912,35.06
24.506669521331787,34.97
24.63825011253357,34.87
24.767605781555176,34.96
24.8991436958313,35.15
25.052935123443604,34.97
25.182958602905273,35.06
25.338618755340576,34.96
25.470463752746582,34.97
25.60257339477539,34.97
25.73244619369507,34.96
25.863858938217163,34.96
25.99428153038025,35.06
26.126513242721558,34.97
26.258117198944092,34.87
26.38853669166565,34.97
26.51866126060486,35.06
26.650495290756226,34.87
26.782402515411377,34.97
26.912175178527832,34.87
27.050704956054688,34.87
27.182230234146118,35.53
27.315338850021362,35.63
27.448169231414795,35.34
27.57992649078369,35.44
27.730568408966064,35.35
27.879298210144043,35.34
28.012118101119995,35.25
28.14641571044922,34.96
28.279424905776978,34.97
28.437281608581543,134.34
28.608147382736206,122.12
28.758610486984253,224.16
28.928643703460693,56.51
