Time (s),GPU 0 Power (W)
0.10020780563354492,58.09
0.2960655689239502,58.09
0.4346644878387451,58.09
0.5800542831420898,57.99
0.7202725410461426,57.99
0.8518364429473877,57.99
0.9806866645812988,58.19
1.1314547061920166,57.9
1.2614328861236572,57.9
1.3973584175109863,38.01
1.590916633605957,38.01
1.7253224849700928,37.91
1.8905799388885498,37.91
2.025515079498291,37.91
2.160534143447876,37.91
2.3266866207122803,37.91
2.457789421081543,37.91
2.590445041656494,37.91
2.7234244346618652,37.81
2.88496994972229,38.1
3.038630723953247,37.81
3.1910393238067627,37.81
3.3240959644317627,37.81
3.4574451446533203,38.3
3.5898396968841553,39.01
3.7281641960144043,172.71
3.899343729019165,175.73
4.0678417682647705,246.02
4.240254878997803,247.5
4.371422529220581,243.69
4.497525215148926,64.76
4.670994520187378,59.37
4.8214027881622314,59.37
4.951005220413208,58.78
5.085761547088623,58.78
5.209190130233765,58.88
5.337970495223999,58.69
5.461074590682983,58.48
5.609270334243774,58.69
5.742852687835693,58.48
5.891461610794067,58.48
6.039487838745117,58.38
6.172061443328857,58.48
6.299342393875122,58.49
6.435716867446899,37.91
6.633632659912109,37.33
6.781148910522461,37.33
6.929837465286255,37.71
7.062014579772949,37.62
7.204875707626343,37.52
7.339426517486572,37.52
7.472061395645142,37.52
7.623301267623901,37.81
7.770157337188721,37.42
7.901315689086914,37.52
8.034915924072266,37.52
8.170912265777588,37.91
8.304327964782715,38.3
8.436871528625488,220.16
8.617728471755981,244.49
8.77073884010315,247.02
8.901700735092163,80.42
9.102148294448853,63.78
9.304948329925537,59.17
9.434428215026855,59.08
9.565975904464722,58.88
9.707802295684814,58.69
9.841424703598022,58.78
9.97060513496399,58.69
10.104137420654297,58.69
10.255390882492065,58.59
10.407760381698608,58.59
10.53981614112854,58.59
10.669946908950806,58.59
10.815673828125,58.59
10.94623351097107,38.41
11.189460754394531,37.71
11.363123178482056,37.52
11.515649557113647,37.62
11.670587062835693,37.52
11.805057525634766,37.52
11.937497615814209,37.42
12.069582462310791,37.52
12.221235036849976,37.42
12.356650352478027,37.52
12.490529298782349,37.52
12.643770217895508,38.1
12.778674125671387,38.4
12.92890191078186,93.24
13.107372999191284,246.73
13.254328489303589,246.23
13.387257814407349,247.4
13.526986837387085,247.69
13.65838360786438,62.09
13.79262638092041,59.37
13.94645380973816,59.17
14.07443618774414,59.17
14.208128690719604,58.88
14.378831386566162,58.88
14.511675119400024,58.69
14.646393775939941,58.59
14.795737981796265,58.59
14.927033185958862,58.48
15.059574604034424,58.59
15.19364070892334,58.59
15.325338363647461,58.49
15.451668500900269,58.49
15.581858158111572,38.51
15.78591012954712,37.52
15.939060926437378,37.62
16.102881908416748,37.62
16.227028131484985,37.62
16.350757122039795,37.52
16.47450828552246,37.52
16.598801136016846,37.62
16.723228454589844,37.42
16.84698224067688,37.62
16.993196487426758,37.52
17.120593070983887,38.01
17.294079065322876,38.4
17.462515830993652,177.58
17.639961004257202,241.27
17.764750242233276,247.12
17.94694709777832,247.21
18.079006671905518,247.69
18.22567915916443,60.37
18.360066652297974,63.28
18.5543954372406,58.88
18.678476095199585,58.78
18.801514863967896,58.88
18.924469232559204,58.88
19.04740262031555,58.69
19.188727617263794,58.69
19.311994791030884,58.88
19.43679141998291,58.59
19.564056873321533,58.49
19.694339513778687,58.49
19.86464834213257,58.49
20.01299238204956,58.69
20.150771617889404,37.91
20.332379817962646,37.42
20.476410388946533,37.52
20.600484609603882,37.81
20.754138946533203,37.52
20.90118432044983,37.52
21.03366708755493,37.62
21.16690707206726,37.52
21.300129175186157,37.52
21.46961522102356,37.52
21.60017228126526,37.42
21.75035333633423,38.62
21.883813619613647,85.83
22.055323839187622,244.58
22.187744617462158,247.21
22.371925830841064,248.95
22.497257947921753,251.57
22.64603543281555,62.59
22.77934765815735,63.19
22.97779130935669,58.98
23.111154556274414,58.98
23.255517721176147,58.69
23.388556957244873,58.69
23.519880771636963,58.69
23.653913974761963,58.69
23.78576421737671,58.59
23.917967796325684,58.59
24.06355333328247,58.59
24.195602655410767,58.59
24.32487654685974,58.59
24.455652475357056,38.31
24.638527870178223,37.62
24.772695064544678,37.62
24.92543363571167,37.52
