Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
0.000117871,304.298,286.34,590.638
0.0995376,65.1693,71.8982,137.068
0.199318,34.0122,37.4554,71.4675
0.300091,104.23,90.08,194.31
0.399842,42.2874,43.4867,85.7741
0.500588,39.3984,35.0323,74.4307
0.600342,50.8403,52.5146,103.355
0.701085,56.32,46.7866,103.107
0.800821,69.9744,72.6816,142.656
0.901558,48.5894,48.9184,97.5078
1.00132,75.6941,79.2179,154.912
1.10208,25.0816,24.5062,49.5878
1.20185,18.7258,17.4323,36.1581
1.3017,58.1721,61.8453,120.017
1.40144,15.4592,17.5226,32.9818
1.50115,21.5744,19.3587,40.9331
1.60186,63.8682,56.7034,120.572
1.70155,23.073,25.503,48.576
1.80121,61.8963,69.6243,131.521
1.90191,48.489,43.5763,92.0653
2.0016,49.4771,44.871,94.3482
2.1023,20.5318,20.937,41.4688
2.202,11.9136,12.8096,24.7232
2.30273,46.3776,47.783,94.1606
2.40245,17.3683,18.9453,36.3136
2.50315,15.7568,16.4051,32.1619
2.60286,42.9427,39.9526,82.8954
2.70354,29.0931,30.0838,59.177
2.80321,62.3309,71.4266,133.757
2.90385,35.6205,35.504,71.1245
3.00354,44.1645,37.2234,81.388
3.10324,22.048,20.8256,42.8736
3.20391,14.7347,15.648,30.3827
3.30362,54.9056,53.1674,108.073
3.40431,16.6208,19.6083,36.2291
3.50401,31.0189,23.1539,54.1728
3.6047,38.8083,40.8858,79.6941
3.70442,21.0893,22.745,43.8342
3.80507,62.7923,70.0768,132.869
3.90477,39.5546,40,79.5546
4.00453,51.6557,45.895,97.5507
4.10434,15.8255,16.9445,32.7699
4.20406,12.9395,14.192,27.1315
4.30377,69.0944,54.9587,124.053
4.40445,21.2166,23.1789,44.3955
4.50414,18.7526,16.7046,35.4573
4.60385,41.6256,44.2259,85.8515
4.70354,19.2032,20.416,39.6192
4.80319,71.6557,71.1738,142.829
4.90384,285.083,74.9728,360.056
5.00357,25.1712,28.5555,53.7267
5.1044,22.8934,23.5674,46.4608
5.20418,15.7747,17.3773,33.152
5.30501,68.9171,67.001,135.918
5.40452,55.1168,49.5104,104.627
5.50506,17.7408,17.5501,35.2909
5.60478,52.1096,57.1514,109.261
5.70448,22.1158,24.9024,47.0182
5.80414,62.1964,71.8642,134.061
5.90382,35.1027,37.911,73.0138
6.00458,27.7958,30.6445,58.4403
6.10431,20.4166,19.3434,39.76
6.20506,13.7338,14.7002,28.4339
6.30477,38.7494,42.864,81.6134
6.40541,18.4966,19.8598,38.3565
6.5051,12.0704,12.9222,24.9926
6.60581,41.1469,41.6358,82.7827
6.70556,14.2477,16.8896,31.1373
6.80629,50.0947,58.0384,108.133
6.90604,37.3466,39.1578,76.5043
7.00678,26.9088,27.8656,54.7744
7.10653,22.2406,17.8317,40.0723
7.20723,27.351,25.7472,53.0982
7.30694,37.8944,39.3702,77.2646
7.40764,15.8131,17.705,33.5181
7.50733,10.9677,11.9494,22.9171
7.60805,76.937,62.3622,139.299
7.7078,39.3958,31.271,70.6669
7.80852,57.2602,62.4774,119.738
7.90824,51.0464,50.1773,101.224
8.00899,31.1027,32.0646,63.1674
8.10875,40.6202,33.3075,73.9277
8.20949,56.7117,45.127,101.839
8.309,307.964,191.243,499.207
8.40973,179.523,120.746,300.269
8.51045,15.1501,16.6317,31.7818
8.61018,65.8016,61.7888,127.59
8.71089,21.4195,24.1043,45.5238
8.81057,65.9187,68.5574,134.476
8.91125,63.2845,57.063,120.348
9.01096,22.2867,24.5062,46.793
9.11164,13.7946,14.8077,28.6022
9.21133,25.5974,24.585,50.1824
9.31204,55.5437,46.1984,101.742
9.41172,21.3005,22.0902,43.3907
9.51237,12.7475,14.0282,26.7757
9.61307,40.6778,39.5526,80.2304
9.71276,42.5101,31.1366,73.6467
9.81341,59.1891,68.1907,127.38
9.91307,39.1853,42.6861,81.8714
10.0138,262.55,38.8262,301.377
10.1135,61.6058,34.1606,95.7664
10.2143,30.4614,32.2688,62.7302
10.314,28.2803,31.1795,59.4598
10.4147,13.5059,15.1488,28.6547
10.5144,15.5552,15.9763,31.5315
10.6152,42.2464,42.7584,85.0048
10.7149,18.8154,17.8266,36.6419
10.8155,51.7158,60.8838,112.6
10.9152,105.283,91.6247,196.908
11.0148,33.0502,32.5549,65.6051
11.1155,15.5846,16.4045,31.9891
11.2152,45.1162,43.3939,88.5101
11.3159,35.5802,38.5856,74.1658
11.4156,19.0822,19.2531,38.3354
11.5163,14.1146,15.1955,29.3101
11.616,35.9232,39.9194,75.8426
11.7167,23.7459,24.3654,48.1114
11.8164,58.9805,67.673,126.653
11.916,55.5106,50.9084,106.419
12.0167,12.3315,14.3533,26.6848
12.1164,11.7235,11.4592,23.1827
12.2171,23.6192,23.2205,46.8397
12.3168,35.2224,33.5846,68.807
12.4175,17.6966,17.8208,35.5174
12.5172,11.1213,11.2832,22.4045
12.6179,51.3702,47.2294,98.5997
12.7176,18.9683,16.4288,35.3971
12.8183,46.5472,54.2637,100.811
12.9179,42.2374,41.6941,83.9315
13.0186,19.4989,21.456,40.9549
13.1184,17.2134,14.1944,31.4078
13.2181,19.1238,19.296,38.4198
13.3188,29.0317,30.7571,59.7888
13.4185,13.5238,14.6285,28.1523
13.5192,11.6486,11.9213,23.5699
13.6189,51.1014,46.0275,97.129
13.7196,17.0963,18.7718,35.8682
13.8192,55.015,62.7693,117.784
13.9199,52.3885,47.2691,99.6576
14.0196,13.4784,13.2506,26.729
14.1202,13.9994,13.9891,27.9885
14.22,32.5857,29.6514,62.2371
14.3197,20.791,23.6595,44.4506
14.4203,9.872,11.0394,20.9114
14.52,9.66016,10.041,19.7011
14.6207,40.6464,40.4083,81.0547
14.7204,13.6237,12.2758,25.8995
14.8211,55.1142,65.415,120.529
14.9207,37.975,37.6742,75.6493
15.0214,22.0653,21.111,43.1763
15.1211,31.883,20.8239,52.7069
15.2208,32.7078,32.439,65.1469
15.3216,35.1885,36.7232,71.9117
15.4213,13.9866,15.097,29.0835
15.522,11.2122,11.5366,22.7488
15.6216,36.5062,35.5456,72.0518
15.7224,11.1258,11.5085,22.6342
15.8221,57.1712,66.6035,123.775
15.9228,46.1267,42.3744,88.5011
16.0225,15.8662,18.4768,34.343
16.1232,13.0797,14.121,27.2006
16.223,33.7965,34.6259,68.4224
16.3237,33.6506,31.6544,65.305
16.4233,39.0586,41.7683,80.8269
16.5238,22.64,22.7053,45.3453
16.6244,39.8925,41.945,81.8374
16.724,25.9053,19.8362,45.7414
16.8246,55.959,61.225,117.184
16.9243,43.0966,41.2942,84.3908
17.0239,18.4698,17.6672,36.137
17.1246,11.0048,11.0496,22.0544
17.2242,44.7533,40.8109,85.5642
17.3249,14.5869,15.9386,30.5254
17.4245,12.7642,13.8138,26.5779
17.5242,20.1794,18.7526,38.932
17.6249,31.6992,30.8198,62.519
17.7245,9.92,10.5133,20.4333
17.8252,57.0579,65.6262,122.684
17.9248,54.8589,49.8278,104.687
18.0255,13.7754,14.4397,28.215
18.1252,8.98069,9.91612,18.8968
18.2248,70.4384,63.4483,133.887
18.3254,252.598,131.637,384.235
18.4248,46.2387,39.1181,85.3568
18.5255,21.5142,22.7597,44.2739
18.6262,35.8752,36.8416,72.7168
18.7259,15.449,15.296,30.745
18.8266,67.9475,74.0909,142.038
18.9263,34.5197,34.7283,69.248
19.027,16.2234,17.2941,33.5174
19.1267,12.2304,12.7354,24.9658
19.2274,36.9299,34.4563,71.3862
19.3271,15.3869,17.2166,32.6035
19.4278,12.8314,13.8624,26.6938
19.5275,25.7197,27.1085,52.8282
19.6282,28.3302,29.0483,57.3786
19.7279,11.5206,12.588,24.1086
19.8275,57.0874,66.1965,123.284
19.9282,50.2867,51.577,101.864
20.0279,20.7565,19.3818,40.1382
20.1285,17.9642,14.9363,32.9005
20.2282,193.512,50.9158,244.428
20.3289,117.316,43.0528,160.369
20.4287,32.8506,24.1632,57.0138
20.5284,27.8251,28.2466,56.0718
20.6281,26.4805,27.7876,54.2681
20.7277,11.7997,12.0928,23.8925
20.8284,89.8886,77.4579,167.347
20.9281,48.5978,51.225,99.8227
21.0287,17.6198,17.561,35.1808
21.1284,18.6157,18.617,37.2326
21.2291,42.5414,39.2813,81.8227
21.3288,13.5334,15.52,29.0534
21.4295,10.0096,10.752,20.7616
21.5292,32.682,32.7408,65.4229
21.6289,26.5402,26.8422,53.3824
21.7286,8.7415,9.76614,18.5076
21.8283,54.889,63.3523,118.241
21.9289,52.7226,51.369,104.092
22.0284,50.8058,50.1741,100.98
22.129,9.94688,11.0957,21.0426
22.2296,39.0214,39.7894,78.8109
22.3293,16.4928,18.2208,34.7136
22.4299,13.9469,12.7885,26.7354
22.5296,30.08,31.1738,61.2538
22.6302,19.1923,21.3786,40.5709
22.7309,12.9882,13.1008,26.089
22.8306,52.6054,60.4499,113.055
22.9312,38.5299,38.8896,77.4195
23.0308,12.9312,12.5402,25.4714
23.1315,12.7635,12.745,25.5085
23.2311,36.5123,34.0971,70.6095
23.3308,15.5622,18.0576,33.6198
23.4315,11.9834,13.401,25.3843
23.5311,29.7786,28.9574,58.736
23.6318,29.881,26.1229,56.0038
23.7314,7.57312,8.35072,15.9238
23.8321,57.8573,66.8294,124.687
23.9318,38.4698,38.7969,77.2667
24.0315,18.1485,17.2563,35.4048
24.1322,8.78912,9.4784,18.2675
24.2319,32.7469,32.007,64.7539
24.3325,15.4176,15.1392,30.5568
24.4322,13.904,14.025,27.929
24.5329,26.7277,27.9827,54.7104
24.6326,17.7459,18.6048,36.3507
24.7333,9.85024,9.79072,19.641
24.833,64.1888,71.4061,135.595
24.9336,38.0608,34.5715,72.6323
25.0343,15.1366,15.2442,30.3808
25.134,15.3222,13.5008,28.823
25.2347,42.1837,44.3443,86.528
25.3344,33.4906,16.8058,50.2963
25.4351,11.8515,13.1699,25.0214
25.535,32.2125,34.089,66.3014
25.6357,41.8029,35.2109,77.0138
25.7354,15.76,13.5059,29.2659
25.836,67.3984,75.4387,142.837
25.9358,40.5568,37.6781,78.2349
26.0364,12.5274,12.9011,25.4285
26.1361,11.5782,12.1293,23.7075
26.2368,30.5184,32.6016,63.12
26.3365,17.4842,18.5056,35.9898
26.4372,13.6352,14.4531,28.0883
26.5369,37.0625,36.3559,73.4183
26.6365,24.567,23.9546,48.5216
26.7372,11.6032,11.9027,23.5059
26.8369,84.4224,92.4192,176.842
26.9376,26.3258,28.2522,54.5779
27.0373,10.9261,10.8915,21.8176
27.138,18.4499,18.3328,36.7827
27.2377,57.6864,54.7654,112.452
27.3384,15.6563,17.0131,32.6694
27.4381,14.2804,16.0071,30.2875
27.5376,63.2026,63.2211,126.424
27.6382,26.9376,26.3168,53.2544
27.7378,12.1466,11.6109,23.7574
27.8385,74.5574,84.7379,159.295
27.9382,23.2107,25.7745,48.9852
28.0378,13.1738,13.3094,26.4832
28.1385,13.7581,12.8192,26.5773
28.2382,52.7923,44.9018,97.6941
28.3389,193.162,101.666,294.828
28.4385,25.177,27.152,52.329
28.5392,45.063,44.3597,89.4227
28.6389,13.2732,15.5404,28.8136
28.7386,10.3981,10.8979,21.296
28.8393,91.369,90.9638,182.333
28.9389,15.712,18.2842,33.9962
29.0396,8.46016,9.15584,17.616
29.1393,23.8362,23.1066,46.9427
29.24,32.4275,32.6438,65.0714
29.3397,12.9222,14.1792,27.1014
29.4404,13.239,14.1472,27.3862
29.5401,37.5258,37.5763,75.1021
29.6407,17.6173,18.6957,36.313
29.7404,10.1372,9.98982,20.127
29.8401,94.3994,98.8864,193.286
29.9407,25.5603,25.4643,51.0246
30.0404,14.265,14.3494,28.6144
30.1411,32.0346,28.967,61.0016
30.2408,42.5773,39.8701,82.4474
30.3415,20.5024,18.9882,39.4906
30.4412,24.1581,20.9894,45.1475
30.5419,59.993,54.5952,114.588
30.6416,10.944,12.8601,23.8041
30.7412,18.0672,18.521,36.5882
30.8419,93.1514,99.1949,192.346
30.9416,43.1206,32.0941,75.2147
31.0423,12.5299,12.8915,25.4214
31.142,26.496,27.6627,54.1587
31.2427,37.1258,37.2902,74.416
31.3424,18.3226,16.6413,34.9638
31.4431,10.8896,11.4752,22.3648
31.5428,40.0181,39.2773,79.2954
31.6425,21.159,23.0182,44.1773
31.7421,20.3009,18.3564,38.6573
31.8418,83.5603,90.0179,173.578
31.9426,24.3117,26.1389,50.4506
32.0423,12.4032,12.5683,24.9715
32.143,23.8803,23.0342,46.9146
32.2444,29.8131,31.3203,61.1334
32.3435,14.8397,13.9322,28.7718
32.4432,13.6941,13.4304,27.1245
32.5439,42.4346,41.033,83.4675
32.6435,11.415,12.4154,23.8304
32.7442,29.8214,14.624,44.4454
32.8439,87.1245,97.4413,184.566
32.9445,23.8592,22.0672,45.9264
33.0442,10.2264,10.7242,20.9506
33.1438,59.3306,59.1699,118.5
33.2443,35.0835,33.9078,68.9914
33.344,17.031,15.1738,32.2048
33.4447,14.2771,13.3357,27.6128
33.5443,206.673,48.4519,255.125
33.644,97.9168,30.2496,128.166
33.7446,21.6474,16.7744,38.4218
33.8443,86.9498,95.8739,182.824
33.9449,16.8973,18.6509,35.5482
34.0445,15.1131,12.9752,28.0882
34.1442,30.1082,26.5171,56.6253
34.2448,26.3354,28.6816,55.017
34.3445,10.823,11.2806,22.1037
34.4451,10.96,11.4246,22.3846
34.5448,39.6493,38.5728,78.2221
34.6454,10.6349,11.4221,22.057
34.7461,7.38368,7.7152,15.0989
34.8458,89.6998,96.071,185.771
34.9465,22.2253,22.2765,44.5018
35.0462,9.16096,9.96224,19.1232
35.1469,34.0947,30.5536,64.6483
35.2466,24.5638,26.5363,51.1002
35.3473,13.2128,13.2794,26.4922
35.447,10.8038,12.1658,22.9696
35.5477,45.5443,45.3446,90.889
35.6474,18.0928,18.6822,36.775
35.7481,22.0678,16.6227,38.6906
35.8477,103.381,108.55,211.931
35.9474,19.7811,19.6858,39.4669
36.0481,20.0051,18.896,38.9011
36.1478,35.4074,34.3667,69.7741
36.2484,16.9587,19.232,36.1907
36.3481,28.5133,19.4118,47.9251
36.4488,27.6243,25.0054,52.6298
36.5485,43.2459,41.1158,84.3617
36.6482,11.9571,13.2198,25.177
36.7479,9.14877,9.55475,18.7035
36.8475,86.5088,92.5786,179.087
36.9482,19.7606,20.3654,40.1261
37.0479,7.98208,8.63616,16.6182
37.1485,42.7437,38.3674,81.111
37.2482,20.8186,21.6723,42.4909
37.3489,19.8925,16.2189,36.1114
37.4486,10.4398,12.1025,22.5422
37.5483,38.745,39.6326,78.3776
37.648,19.681,18.2613,37.9423
37.7477,12.2208,11.6781,23.8989
37.8484,81.3632,90.5139,171.877
37.948,18.1152,19.2147,37.3299
38.0487,11.1898,11.568,22.7578
38.1484,30.2208,29.8579,60.0787
38.2491,19.2774,19.9546,39.232
38.3487,181.257,95.3891,276.646
38.4484,20.2234,21.767,41.9904
38.5481,43.2,42.1909,85.3909
38.6477,173.42,59.351,232.771
38.7483,116.836,19.4886,136.324
38.848,85.5853,95.2762,180.861
38.9486,19.1923,18.9728,38.1651
39.0484,13.1801,14.0393,27.2194
39.148,26.7968,27.1795,53.9763
39.2487,25.6608,23.9117,49.5725
39.3484,12.3366,12.7411,25.0778
39.4491,13.7818,14.6682,28.4499
39.5488,28.4,29.609,58.009
39.6495,19.2064,16.5926,35.799
39.7491,11.8778,11.9443,23.8221
39.8498,86.1715,92.1171,178.289
39.9495,19.4886,18.4211,37.9098
40.0502,13.6314,13.3933,27.0246
40.1499,29.7975,29.952,59.7495
40.2496,28.4723,25.7453,54.2176
40.3503,10.4026,10.4749,20.8774
40.45,14.4589,14.4851,28.944
40.5508,42.8186,41.9174,84.736
40.6504,13.2454,13.865,27.1104
40.7512,10.0461,10.7776,20.8237
40.8508,86.9434,91.4765,178.42
40.9515,36.2918,37.0547,73.3466
41.0512,8.97728,10.5274,19.5046
41.1519,37.6115,36.7245,74.336
41.2516,27.8349,26.6682,54.503
41.3523,11.6032,11.872,23.4752
41.452,17.5955,17.2451,34.8406
41.5517,36.8525,35.584,72.4365
41.6514,15.5507,14.208,29.7587
41.7511,26.9901,17.7722,44.7622
41.8518,79.5949,89.7683,169.363
41.9515,16.1626,18.2624,34.425
42.0521,9.87136,10.2214,20.0928
42.1518,38.375,35.4701,73.8451
42.2525,17.1226,15.504,32.6266
42.3522,14.0525,12.5171,26.5696
42.4529,31.2589,27.8541,59.113
42.5526,26.2174,27.6758,53.8932
42.6523,9.55072,10.5158,20.0666
42.7529,10.313,10.9933,21.3062
42.8526,110.609,112.082,222.691
42.9533,22.3987,22.199,44.5978
43.053,19.6186,18.1382,37.7568
43.1537,124.305,95.6947,219.999
43.2534,26.1037,27.4368,53.5405
43.3541,12.4742,13.8413,26.3155
43.4538,20.4461,21.7466,42.1926
43.5545,36.4294,40.4486,76.8781
43.6542,17.7765,18.421,36.1975
43.7539,17.6691,17.6954,35.3645
43.8536,91.7618,97.995,189.757
43.9532,19.4835,19.9014,39.385
44.0539,17.9878,19.4067,37.3946
44.1536,41.9968,41.9078,83.9046
44.2542,58.585,57.5366,116.122
44.3537,17.4261,17.7202,35.1463
44.4533,25.1245,24.583,49.7075
44.5539,44.057,45.2474,89.3043
44.6535,11.3926,13.0938,24.4864
44.7542,10.4653,11.3037,21.769
44.8548,116.525,124.893,241.418
44.9544,29.5962,26.5773,56.1734
45.055,12.6912,13.6826,26.3738
45.1548,82.7669,72.8417,155.609
45.2544,24.3898,27.7376,52.1274
45.3541,12.5925,13.0004,25.5929
45.4537,19.3459,20.4922,39.8381
45.5544,39.3216,41.1066,80.4282
45.654,15.3229,15.5776,30.9005
45.7546,11.2346,12.1536,23.3882
45.8543,99.0591,110.832,209.892
45.954,18.2765,19.0176,37.2941
46.0547,38.9274,37.9763,76.9037
46.1545,54.8179,61.5296,116.348
46.2552,26.1651,30.1158,56.281
46.3549,11.5309,12.7437,24.2746
46.4556,27.0682,23.7242,50.7923
46.5553,50.2618,48.905,99.1667
46.656,12.1632,13.5725,25.7357
46.7557,11.5456,12.8832,24.4288
46.8563,111.665,109,220.666
46.9559,16.3064,18.165,34.4714
47.0556,23.111,21.2858,44.3968
47.1563,43.0374,39.7786,82.816
47.256,28.3386,27.4067,55.7453
47.3567,20.6445,19.031,39.6755
47.4563,22.3008,23.4016,45.7024
47.557,36.3232,38.8576,75.1808
47.6567,24.0454,21.6326,45.6781
47.7574,21.0093,17.1782,38.1875
47.8571,100.749,110.869,211.618
47.9567,15.088,16.2438,31.3318
48.0574,15.3741,16.5434,31.9174
48.1571,46.7885,43.6218,90.4102
48.2579,29.7408,28.3706,58.1114
48.3576,203.625,97.3658,300.991
48.4583,43.1584,37.6211,80.7795
48.558,33.0842,34.8698,67.9539
48.6587,217.624,37.6237,255.247
48.7584,64.9229,19.3338,84.2566
48.8592,138.237,139.825,278.062
48.9589,23.1469,23.6038,46.7507
49.0596,14.8218,16.2829,31.1046
49.1594,93.1994,82.16,175.359
49.2602,26.6419,29.7152,56.3571
49.3599,17.1712,17.9066,35.0778
49.4607,29.0317,26.4723,55.504
49.5604,65.5942,63.3389,128.933
49.6611,18.8326,18.2752,37.1078
49.7606,56.0474,50.9792,107.027
49.8612,110.547,117.725,228.273
49.9618,20.9069,21.0003,41.9072
50.0614,17.913,19.399,37.312
50.162,61.3152,56.6554,117.971
50.2616,35.0675,35.6467,70.7142
50.3612,21.6557,18.3117,39.9674
50.4618,41.5456,33.2301,74.7757
50.5615,51.543,51.7638,103.307
50.6621,17.2531,16.5075,33.7606
50.7617,13.1982,14.0063,27.2045
50.8614,108.275,110.58,218.856
50.9621,37.3862,30.8819,68.2682
51.0617,21.3299,21.6998,43.0298
51.1625,49.7971,49.4541,99.2512
51.2622,28.4678,30.4819,58.9498
51.3629,14.9638,16.2694,31.2333
51.4626,30.5088,32.5715,63.0803
51.5633,29.6166,31.4566,61.0733
51.663,14.9773,16.1429,31.1202
51.7627,14.0307,12.9242,26.9549
51.8625,103.469,111.777,215.246
51.9622,22.3635,18.4346,40.7981
52.0629,18.6733,18.016,36.6893
52.1626,61.3178,57.0253,118.343
52.2633,33.2218,31.8502,65.072
52.363,12.6675,12.9235,25.591
52.4637,38.7219,38.3942,77.1162
52.5634,20.0698,20.5101,40.5798
52.6641,10.4038,11.1181,21.5219
52.7638,8.58432,9.07136,17.6557
52.8645,83.3491,90.6541,174.003
52.9641,26.4672,24.1542,50.6214
53.0648,10.8762,10.921,21.7971
53.1645,41.1992,43.9266,85.1258
53.2642,21.0106,22.2528,43.2634
53.3648,12.9446,12.2438,25.1885
53.4645,41.5373,40.0595,81.5968
53.5652,15.4406,17.7971,33.2378
53.6649,10.2848,10.1062,20.391
53.7656,22.7149,21.9277,44.6426
53.8653,82.8224,88.7123,171.535
53.966,9.04128,10.5261,19.5674
54.0657,13.0336,13.3178,26.3514
54.1664,34.4973,34.5651,69.0624
54.2661,16.236,17.8398,34.0758
54.3658,8.8032,9.76832,18.5715
54.4656,58.3253,57.9646,116.29
54.5653,21.0541,23.5981,44.6522
54.666,11.2685,12.1146,23.383
54.7657,20.5882,21.1571,41.7453
54.8664,69.6666,81.3997,151.066
54.9661,14.6534,15.7421,30.3955
