Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
0.000105302,1543.13,1471.37,3014.5
0.099647,1274.85,1209.05,2483.9
0.200164,1281.54,1232.01,2513.55
0.299674,1333.99,1311.24,2645.23
0.399196,1300.62,1247.15,2547.77
0.499699,1221.57,1180.03,2401.6
0.600176,1217.1,1199.85,2416.95
0.699657,1328.82,1311.24,2640.06
0.799163,1260.74,1219.84,2480.59
0.899603,1218.43,1194.7,2413.14
1.00004,1335.43,1324.96,2660.38
1.10053,1237.14,1193.2,2430.34
1.20002,1197.55,1169.63,2367.18
1.3005,1305.53,1298.93,2604.46
1.40098,1314.57,1212.73,2527.3
1.50126,1755.24,1496.12,3251.36
1.60049,1228.11,1120.84,2348.95
1.69973,1381.07,1289.14,2670.21
1.79898,1270.23,1237.24,2507.47
1.89824,1205.35,1180.3,2385.65
1.99746,1380.03,1310.03,2690.06
2.0967,1214.35,1169.96,2384.31
2.19593,1254.15,1204.42,2458.57
2.29528,1293.25,1246.37,2539.62
2.39453,1233.48,1205.7,2439.18
2.49472,1235.12,1175.32,2410.44
2.59495,1203.13,1175.79,2378.92
2.69519,1326.62,1302.67,2629.29
2.79567,1278.96,1208.87,2487.83
2.89616,1204.08,1184.88,2388.96
2.99667,1360.22,1329.71,2689.93
3.09715,1215.88,1152.74,2368.62
3.19665,1196.34,1169.59,2365.93
3.29714,1345.82,1300.72,2646.54
3.39763,1232.5,1193.41,2425.91
3.49811,1241.96,1190.42,2432.38
3.59761,1191.57,1156.7,2348.27
3.69811,1329.23,1310.34,2639.57
3.79865,1279.33,1210.37,2489.7
3.89816,1219.19,1199.19,2418.38
3.99765,1347.99,1328.7,2676.69
4.09816,1244.49,1153.54,2398.03
4.19866,1206.83,1182.91,2389.74
4.29813,1348.31,1306.83,2655.14
4.39763,1234.09,1182.78,2416.88
4.49811,1202.56,1176.29,2378.85
4.59866,1235.3,1186.38,2421.68
4.69817,1342.84,1322.99,2665.83
4.79868,1343.79,1270.85,2614.65
4.89918,1209.78,1164.76,2374.55
4.99967,1340.87,1334.89,2675.76
5.09917,994.124,911.418,1905.54
5.19969,959.311,907.545,1866.86
5.30019,1081.57,1046.84,2128.41
5.3997,1034.44,979.87,2014.31
5.49919,949.368,914.801,1864.17
5.59967,1004.39,958.036,1962.43
5.70013,1059.59,1025.7,2085.29
5.7996,997.086,979.199,1976.28
5.89902,982.235,917.968,1900.2
5.99944,1077.7,1055.88,2133.57
6.09992,1021.39,976.613,1998
6.2004,947.215,889.625,1836.84
6.29986,1058.85,1041.82,2100.68
6.39935,998.372,945.185,1943.56
6.49982,949.391,911.29,1860.68
6.60032,1261.24,990.989,2252.23
6.69979,1177.87,1050.47,2228.34
6.79927,998.596,966.776,1965.37
6.89967,993.45,943.05,1936.5
7.00006,1078.41,1041.95,2120.36
7.10055,988.095,953.508,1941.6
7.20001,957.689,904.563,1862.25
7.30048,1063.66,1040.58,2104.24
7.40097,993.338,950.044,1943.38
7.50145,951.432,909.11,1860.54
7.60093,994.985,961.683,1956.67
7.70041,1058.26,1019.69,2077.95
7.80089,991.398,954.143,1945.54
7.90129,959.64,933.268,1892.91
8.00074,1097.51,1051.35,2148.85
8.10022,949.867,921.143,1871.01
8.20069,984.568,943.067,1927.64
8.3012,1062.46,1022.34,2084.81
8.40167,967.93,943.318,1911.25
8.50113,974.817,925.684,1900.5
8.60163,969.969,928.491,1898.46
8.70212,1088.58,1059.45,2148.02
8.80271,1003.34,955.015,1958.36
8.90211,950.495,927.108,1877.6
9.00258,1106.62,1072.57,2179.2
9.10307,995.29,955.357,1950.65
9.20354,957.103,912.791,1869.89
9.30303,1081.71,1025.51,2107.22
9.40352,973.935,940.972,1914.91
9.50395,992.198,942.461,1934.66
9.60442,993.54,952.205,1945.75
9.70388,1022.09,998.764,2020.85
9.80438,1031.34,990.703,2022.05
9.90481,951.02,902.117,1853.14
10.0052,1068.41,1050.04,2118.45
10.1047,999.622,949.416,1949.04
10.2042,982.975,916.536,1899.51
10.3046,1076.82,1058.64,2135.46
10.4051,1002.43,935.816,1938.25
10.5056,947.685,916.818,1864.5
10.6051,1012.97,973.328,1986.3
10.7055,1055.68,1010.77,2066.45
10.806,1002.1,978.991,1981.09
10.9065,1006.92,953.311,1960.23
11.006,1049.51,1023.32,2072.83
11.1065,991.022,946.253,1937.28
11.207,955.428,904.449,1859.88
11.3075,1058.6,1042.29,2100.89
11.407,999.462,941.576,1941.04
11.5072,1441.6,1190.9,2632.5
11.6075,1038.86,917.575,1956.43
11.7077,1234.61,1000.1,2234.71
11.808,1043.4,972.467,2015.87
11.9082,1005.57,957.871,1963.44
12.0084,1075.7,1026.53,2102.22
12.1086,949.987,920.688,1870.67
12.2089,3625.18,2388.8,6013.98
