Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
0.000101355,489.559,426.112,915.671
0.0998472,263.361,228.869,492.23
0.199341,232.796,206.704,439.499
0.299822,354.22,299.959,654.179
0.400294,262.943,240.49,503.433
0.500804,230.646,215.029,445.675
0.600276,267.468,251.054,518.522
0.700764,251.529,233.441,484.97
0.801302,267.681,247.904,515.585
0.900816,329.557,307.241,636.799
1.00029,226.422,218.01,444.431
1.10077,226.837,216.81,443.647
1.20123,240.815,229.841,470.656
1.30173,265.819,258.46,524.278
1.40125,222.997,217.615,440.612
1.50174,238.946,223.873,462.819
1.60218,257.475,249.029,506.504
1.70161,239.928,229.186,469.114
1.80112,262.916,261.93,524.846
1.90166,269.839,258.451,528.289
2.00215,264.581,246.628,511.209
2.10162,226.205,215.097,441.302
2.20114,228.767,217.821,446.588
2.30162,252.577,242.026,494.604
2.40209,231.508,223.456,454.964
2.50154,222.82,216.834,439.654
2.60098,245.135,237.466,482.601
2.70148,229.789,224.228,454.017
2.80196,245.055,241.612,486.667
2.90247,490.118,475.927,966.045
3.00193,251.837,231.074,482.911
3.10241,298.56,279.594,578.154
3.20287,359.516,339.374,698.89
3.30334,402.891,374.496,777.387
3.40281,114.725,114.221,228.946
3.50327,237.343,221.147,458.49
3.60375,329.742,288.351,618.093
3.70423,234.329,220.609,454.938
3.80371,243.81,228.334,472.144
3.90318,290.385,267.465,557.85
4.00365,231.078,214.029,445.107
4.10412,222.961,215.061,438.022
4.20365,231.287,220.523,451.81
4.30312,246.54,240.864,487.404
4.4036,296.578,261.935,558.513
4.50408,218.415,212.975,431.389
4.60357,258.382,243.064,501.446
4.70304,230.223,210.739,440.962
4.80351,252.117,247.307,499.424
4.90398,277.318,265.452,542.771
5.00346,294.187,260.926,555.113
5.10292,237.384,238.564,475.948
5.20341,238.471,233.001,471.472
5.30387,231.816,211.687,443.503
5.4042,269.923,231.366,501.289
5.50358,225.826,217.392,443.218
5.60306,267.326,270.409,537.735
5.70352,244.112,227.803,471.915
5.80399,240.326,237.35,477.676
5.90449,316.921,315.706,632.627
6.00395,241.775,233.156,474.931
6.10445,216.636,203.984,420.62
6.20493,237.837,226.292,464.13
6.30542,238.321,229.205,467.526
6.40491,224.311,214.426,438.737
6.50539,215.098,212.112,427.21
6.60586,245.976,243.281,489.256
6.70634,222.62,214.931,437.551
6.80581,247.893,248.888,496.781
6.9063,272.534,265.604,538.138
7.0068,223.2,222.793,445.993
7.10727,221.261,217.409,438.669
7.20673,237.843,237.274,475.117
7.3072,222.82,221.778,444.598
7.40766,251.928,244.961,496.888
7.50808,224.182,220.07,444.252
7.60751,265.579,257.487,523.066
7.70697,224.359,216.415,440.774
7.80745,254.058,253.839,507.898
7.90793,257.29,256.509,513.8
8.00844,228.323,227.524,455.846
8.1079,227.242,218.513,445.756
8.20838,248.275,246.632,494.907
8.30887,226.468,223.987,450.455
8.40932,230.942,225.25,456.192
8.5088,219.545,218.204,437.749
8.60827,253.332,245.927,499.259
8.70875,220.791,222.139,442.93
8.80931,255.754,258.038,513.792
8.90882,256.957,252.572,509.53
9.0093,222.952,222.121,445.073
9.10977,214.818,214.724,429.542
9.21024,276.071,259.521,535.592
9.30973,226.017,226.365,452.383
9.41019,221.91,214.519,436.429
