Time (s),GPU 0 Power (W)
0.10019183158874512,34.27
0.2368016242980957,33.98
0.37229061126708984,33.98
0.5041615962982178,33.98
0.6393368244171143,34.08
0.7716324329376221,33.98
0.9066882133483887,34.08
1.0393517017364502,34.08
1.170551061630249,34.08
1.306347131729126,34.26
1.438995361328125,34.27
1.5771362781524658,34.27
1.7110888957977295,34.46
1.8496813774108887,34.27
1.9805021286010742,34.17
2.118401050567627,34.17
2.2566277980804443,34.17
2.3934223651885986,34.08
2.53337025642395,34.17
2.6699154376983643,34.37
2.8062775135040283,34.56
2.94181227684021,34.45
3.0776846408843994,34.85
3.2138376235961914,34.66
3.3472299575805664,34.86
3.4825901985168457,34.85
3.6188912391662598,34.95
3.757502794265747,34.96
3.8965916633605957,34.86
4.03375244140625,34.95
4.169670820236206,34.85
4.3044233322143555,34.85
4.43834376335144,35.06
4.5740602016448975,35.74
4.710817813873291,35.25
4.849669933319092,35.34
4.986241579055786,35.34
5.121200799942017,35.24
5.256967544555664,35.14
5.390416622161865,35.53
5.520860910415649,35.34
5.658237457275391,35.44
5.793677091598511,35.64
5.93162989616394,35.64
6.065687656402588,35.64
6.2006402015686035,35.64
6.336016654968262,35.64
6.471338272094727,36.53
