Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
0.00013206,365.674,367.24,732.914
0.099718,121.06,117.571,238.631
0.199503,59.2403,56.6413,115.882
0.299242,145.209,137.113,282.322
0.398977,97.2096,101.258,198.468
0.498638,52.9435,53.8001,106.744
0.598337,46.6547,53.3946,100.049
0.699057,109.645,96.903,206.548
0.798766,586.792,387.755,974.547
0.899549,141.092,115.811,256.904
0.999165,82.7923,79.2314,162.024
1.09986,57.001,59.2026,116.204
1.19947,64.6707,65.3178,129.988
1.30006,42.7974,42.1626,84.96
1.39975,63.4583,62.7103,126.169
1.4995,76.8019,77.216,154.018
1.59923,81.311,75.9247,157.236
1.69896,49.3485,49.8285,99.177
1.7986,121.094,119.529,240.623
1.89818,101.347,105.638,206.986
1.99874,55.5539,59.7088,115.263
2.09828,47.029,46.5286,93.5577
2.19783,60.1018,59.3824,119.484
2.29845,95.449,82.8442,178.293
2.39817,63.8397,62.8286,126.668
2.49788,41.079,40.3475,81.4266
2.59759,79.3393,75.6486,154.988
2.69728,72.0141,71.6774,143.692
2.7969,84.2783,81.62,165.898
2.89649,62.3098,62.2963,124.606
2.99706,85.8586,78.7411,164.6
3.09662,71.5397,67.2246,138.764
3.19621,38.0794,36.72,74.7994
3.29679,105.396,78.72,184.116
3.39649,74.7934,77.3172,152.111
3.49622,55.095,53.1315,108.227
3.59593,76.8808,66.5594,143.44
3.69564,81.0752,74.5306,155.606
3.79529,107.743,111.037,218.78
3.89487,78.5882,85.6365,164.225
3.99544,47.1187,44.3174,91.4362
4.09503,61.0541,63.9386,124.993
4.19459,65.4029,63.4368,128.84
4.29516,85.8144,77.4566,163.271
4.39472,41.2761,41.0512,82.3273
4.49432,295.306,199.144,494.449
4.59489,409.825,148.964,558.789
4.69449,1239.35,780.37,2019.72
4.79547,428.013,321.955,749.967
4.89487,211.014,177.4,388.414
4.99523,91.8528,84.7008,176.554
5.09557,99.7677,106.38,206.147
5.19599,637.046,762.799,1399.85
5.29635,169.922,136.43,306.352
5.39681,135.624,116.996,252.621
5.49632,84.2112,85.8605,170.072
5.59675,53.2198,53.1482,106.368
5.69718,117.647,98.5766,216.223
5.79754,108.004,114.95,222.954
5.89789,72.4013,80.1414,152.543
5.99725,38.8027,39.4867,78.2895
6.09661,69.5546,70.8384,140.393
6.197,97.2051,99.8579,197.063
6.29736,61.1411,62.2182,123.359
6.39777,96.055,79.623,175.678
6.49813,52.4365,53.207,105.644
6.5985,79.7139,82.6573,162.371
6.69786,64.9451,70.1951,135.14
6.79725,92.8186,96.3469,189.165
6.89769,66.2656,55.5904,121.856
6.99808,75.1469,74.5977,149.745
7.09846,82.8742,84.215,167.089
7.19886,65.1162,70.2918,135.408
7.29925,32.937,32.9894,65.9264
7.39863,75.7139,77.7102,153.424
7.498,68.983,70.951,139.934
7.59836,58.5344,58.2867,116.821
7.69874,35.1366,36.2963,71.433
7.79915,90.1549,95.7824,185.937
7.89953,84.167,87.1622,171.329
7.99989,72.7002,71.7267,144.427
8.09926,39.2669,41.2968,80.5637
8.19862,66.1709,65.7971,131.968
8.29898,69.1955,60.6502,129.846
8.39934,115.788,92.6957,208.483
8.4997,46.3104,48.9158,95.2262
8.60005,54.1824,56.2266,110.409
8.7004,60.6784,63.5974,124.276
8.80076,126.481,127.134,253.615
8.90013,56.6639,59.8833,116.547
8.99949,40.6477,41.0387,81.6864
9.09986,58.7968,62.2854,121.082
9.20021,72.7066,70.5165,143.223
9.30057,55.1174,52.9421,108.06
9.40091,53.5699,55.5046,109.075
9.50127,77.0342,76.4013,153.436
9.60163,64.1107,65.3165,129.427
9.70098,285.889,75.2847,361.174
9.80035,109.058,96.4691,205.527
9.90073,69.5827,77.4707,147.053
10.0011,72.423,74.9856,147.409
10.1015,1316.69,870.149,2186.84
10.2019,28.073,29.9718,58.0448
10.3022,71.5059,58.5869,130.093
10.4016,99.4166,87.0361,186.453
10.501,74.295,74.2746,148.57
10.6025,570.116,596.003,1166.12
10.7031,271.632,217.54,489.172
10.8035,639.297,383.073,1022.37
10.9029,125.628,107.937,233.564
11.0033,40.5146,44.233,84.7475
11.1037,84.9088,82.5389,167.448
11.2041,82.4493,77.2256,159.675
11.3046,71.1878,72.0736,143.261
11.404,37.6391,35.6325,73.2716
11.5034,64.0173,55.744,119.761
11.6039,73.7677,75.8394,149.607
11.7043,86.7174,88.0717,174.789
