Time (s),GPU 0 Power (W)
0.10019922256469727,59.08
0.23352265357971191,59.08
0.3652317523956299,58.98
0.4960484504699707,58.98
0.6287379264831543,59.17
0.7614974975585938,58.98
0.8970186710357666,58.98
1.0293350219726562,58.98
1.161360263824463,58.78
1.2924940586090088,58.88
1.4240329265594482,59.08
1.5591259002685547,58.78
1.6921072006225586,58.88
1.825014591217041,51.41
1.9631493091583252,38.1
2.0981743335723877,38.1
2.2335758209228516,38.4
2.370180606842041,38.1
2.5076680183410645,38.1
2.6374990940093994,38.3
2.772024154663086,38.01
2.910371780395508,37.91
3.049347162246704,38.1
3.178823232650757,38.01
3.3151516914367676,38.1
3.44599986076355,38.01
3.5789661407470703,38.3
3.7142279148101807,38.81
3.8497750759124756,39.69
3.986515522003174,164.29
4.121124505996704,234.41
4.257665395736694,251.29
4.390350341796875,251.87
4.531243324279785,251.97
4.666289567947388,60.74
4.803374767303467,62.79
4.93761134147644,59.67
5.128133535385132,59.37
5.26090145111084,59.47
5.386982440948486,59.08
5.516446828842163,58.98
5.646628379821777,58.98
5.779229640960693,58.98
5.911396026611328,58.88
6.044214487075806,58.98
6.17169713973999,58.88
6.303553104400635,58.88
6.4328835010528564,58.78
6.5638298988342285,50.63
6.700948715209961,38.01
6.835880279541016,38.2
6.970578908920288,38.1
7.106540679931641,38.1
7.242424249649048,38.1
7.378107309341431,38.01
7.5142576694488525,38.01
7.6450514793396,38.01
7.780249834060669,38.01
7.916630983352661,38.01
8.049837112426758,37.91
8.183207035064697,38.01
8.313145637512207,38.71
8.44714903831482,38.41
8.584058284759521,105.99
8.713866472244263,149.87
8.846120834350586,199.15
8.977646827697754,247.11
9.166857719421387,247.3
9.354777574539185,63.87
9.489546060562134,59.87
9.618160009384155,59.27
9.778376340866089,59.67
9.908444166183472,58.98
10.040101289749146,59.08
10.172755002975464,58.98
10.302005529403687,58.88
10.432350635528564,58.88
10.56028699874878,58.88
10.687031745910645,59.08
10.814167261123657,58.88
10.942163467407227,58.88
11.0725736618042,58.98
11.204301118850708,48.86
11.340003967285156,37.91
11.474441766738892,38.1
11.610354900360107,38.01
11.749105453491211,38.01
11.88606309890747,38.01
12.019891023635864,38.01
12.149922609329224,38.1
12.283520698547363,38.01
12.41304636001587,37.91
12.545881509780884,37.91
12.679539442062378,37.91
12.811849117279053,38.01
12.949283123016357,37.91
13.083683967590332,38.3
13.21716022491455,39.98
13.351339340209961,115.25
13.486017942428589,175.93
13.620321989059448,246.83
13.794313430786133,247.89
13.997658967971802,247.88
14.129353523254395,62.7
14.262674808502197,59.27
14.403626203536987,62.9
14.60697054862976,59.37
14.742093801498413,58.88
14.875854730606079,58.88
14.997770309448242,58.98
15.130879163742065,58.69
15.263647556304932,58.88
15.39267635345459,58.88
15.524603843688965,59.17
15.6560537815094,58.69
15.79149055480957,58.78
15.923842668533325,58.48
16.05817699432373,49.24
16.188830137252808,37.81
16.326310396194458,38.1
16.46151852607727,38.01
16.59614658355713,37.91
16.725829601287842,38.01
16.85499906539917,37.91
16.98753046989441,37.81
17.121488571166992,37.91
17.25447726249695,37.71
17.384403944015503,37.81
17.515300035476685,37.71
17.64834427833557,38.2
17.781381368637085,38.91
17.915265798568726,40.19
18.047749280929565,175.93
18.17898988723755,243.79
18.309730291366577,246.23
18.441769123077393,247.59
18.62905263900757,247.78
18.75707769393921,62.4
18.88818669319153,59.27
19.03627371788025,59.27
19.160287618637085,58.88
19.281687259674072,58.59
19.40293788909912,58.59
19.530279397964478,58.59
19.65752673149109,58.59
19.787086248397827,58.49
19.92017698287964,58.49
20.051860332489014,58.78
20.179256200790405,58.29
20.306517362594604,58.29
20.43581795692444,58.48
20.56710720062256,38.1
20.70207977294922,37.91
20.83778214454651,38.01
20.972527742385864,37.91
21.104369401931763,37.91
21.234301328659058,37.81
21.368692874908447,37.81
21.501331567764282,37.71
21.635019302368164,37.91
21.775307416915894,37.71
21.90527892112732,37.71
22.03714418411255,37.71
22.169965505599976,37.71
22.30532479286194,37.71
22.440879344940186,38.4
22.57695484161377,38.51
22.71527624130249,157.84
22.84972071647644,233.25
22.984625816345215,246.62
23.11815094947815,247.21
23.25614333152771,69.93
