Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
0.00012725,1413.75,1375.53,2789.28
0.100038,1203.9,1181.4,2385.31
0.199809,1192.32,1176.87,2369.19
0.300579,1260.78,1243.05,2503.83
0.400345,1186.97,1171.63,2358.6
0.501107,1186.2,1177.5,2363.69
0.600825,1202,1196.63,2398.63
0.701603,1185.4,1170.08,2355.48
0.801346,1384.49,1357.72,2742.2
0.902041,1267.88,1192.69,2460.57
1.00173,1143.88,1138.32,2282.2
1.10253,1201.66,1188.47,2390.13
1.20232,1228.35,1187.51,2415.85
1.30313,1156.24,1138.99,2295.23
1.40301,1190.93,1171.04,2361.97
1.50281,1242.3,1199.99,2442.29
1.60258,1150.89,1140.5,2291.39
1.70237,1205.18,1181.69,2386.87
1.80316,1256.54,1217.77,2474.3
1.90294,1154.01,1150.15,2304.16
2.00372,1213.91,1180.44,2394.35
2.10355,1251.22,1206.6,2457.81
2.20336,1216.39,1195.51,2411.91
2.30316,1181.11,1149.04,2330.15
2.40295,1189.62,1169.77,2359.4
2.50265,1192.21,1165.46,2357.67
2.6024,1185.63,1152.05,2337.68
2.70321,1165.2,1161.02,2326.22
2.80301,1261.22,1198.02,2459.24
2.90377,1233.59,1207.82,2441.41
3.00352,1188.48,1166.32,2354.8
3.10429,1162.88,1133.74,2296.62
3.20409,1187.68,1173.66,2361.35
3.30484,1215.05,1174.35,2389.41
3.40456,1202.28,1168.6,2370.88
3.50531,1312.67,1314.48,2627.15
3.60508,1214.28,1190.33,2404.61
3.70481,1240.67,1241.1,2481.77
3.80455,1291.04,1225.14,2516.18
3.90422,1289.87,1211.48,2501.34
4.00394,1234.6,1246.14,2480.75
4.10471,1214.84,1189.63,2404.47
4.20449,1184.84,1196.36,2381.19
4.30425,1260.34,1272.67,2533.02
4.40402,1201.38,1198.19,2399.57
4.50377,1221.6,1235.38,2456.98
4.60359,1299.54,1272.77,2572.31
4.70336,1168.88,1168.35,2337.23
4.80413,1257.62,1249.38,2507
4.90381,1278.5,1252.95,2531.45
5.00448,1152.91,1181.33,2334.24
5.10421,1247.23,1243.29,2490.52
5.20397,1244.32,1283.02,2527.34
5.30386,937.492,904.809,1842.3
5.40367,1000.34,1000.27,2000.62
5.50342,1002.65,1016.04,2018.69
5.60422,971.121,996.092,1967.21
5.704,1002.39,1060.08,2062.47
5.80474,1077.58,1124.49,2202.07
5.90444,954.723,990.399,1945.12
6.00517,1041.61,1075.88,2117.49
6.10489,1044.67,1104.45,2149.12
6.20564,913.409,1028.29,1941.7
6.30535,1014.13,1087.35,2101.48
6.40615,1048.86,1068.93,2117.79
6.50593,917.75,960.517,1878.27
6.60564,1074.8,1095.55,2170.35
6.70542,975.801,1042.17,2017.97
6.80522,954.912,954.906,1909.82
6.90502,1110.91,1101.69,2212.6
