Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
0.000116931,1316.34,1194.19,2510.53
0.0998765,1209.65,1125.74,2335.39
0.199862,1318.46,1224.47,2542.94
0.300698,1142.5,1042.6,2185.1
0.400494,4271.04,2828.01,7099.05
0.517067,10630.6,5491.42,16122
0.616621,7880.31,6932.77,14813.1
0.717169,2016.91,5454.9,7471.8
0.817675,2070.28,5249.99,7320.27
0.91711,1327.59,6698.42,8026.02
1.03975,2400.26,4505.7,6905.97
1.14044,1442.57,2660.94,4103.51
1.24011,1440.15,2552.57,3992.72
1.3408,655.563,5645.77,6301.33
1.44047,88.2458,7138.77,7227.01
1.54113,109.183,7226.82,7336
1.68576,192.164,7203.31,7395.47
1.78521,239.722,8410.22,8649.94
1.88559,526.923,5797.26,6324.18
1.98596,858.599,513.667,1372.27
