Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
0.000135201,376.329,341.91,718.239
0.0999645,144.335,134.728,279.063
0.203348,120.822,121.531,242.354
0.299373,213.665,172.413,386.078
0.399161,85.4103,76.3591,161.769
0.499012,151.401,144.929,296.33
0.598773,69.961,65.0605,135.021
0.699556,128.474,114.689,243.162
0.799387,132.772,112.743,245.515
0.900184,127.283,117.222,244.505
1.00007,100.298,98.2234,198.522
1.11122,63.8397,60.8646,124.704
1.21104,90.0202,80.9891,171.009
1.31083,130.969,117.279,248.248
1.41059,142.422,132.988,275.41
1.51035,56.4086,53.4607,109.869
1.61017,85.5456,82.6861,168.232
1.71298,66.4589,63.241,129.7
1.8108,118.663,116.745,235.408
1.91157,137.222,117.318,254.54
2.01116,33.0285,36.5632,69.5917
2.11198,115.459,108.445,223.904
2.21169,63.1066,59.049,122.156
2.31233,87.769,81.8842,169.653
2.41224,89.9706,81.2186,171.189
2.51209,119.418,108.566,227.984
2.61195,80.4966,77.7875,158.284
2.71176,54.8154,53.8522,108.668
2.81254,126.444,125.888,252.332
2.91228,64.5581,57.7638,122.322
3.01293,132.808,120.882,253.69
3.11277,60.3334,60.9101,121.244
3.21358,76.7565,71.8438,148.6
3.31327,75.2749,70.951,146.226
3.41411,84.103,81.0285,165.132
3.51379,305.907,226.187,532.094
3.6145,45.255,46.1779,91.433
3.71425,132.077,130.608,262.685
3.81499,107.51,99.8189,207.329
3.91471,117.942,103.791,221.733
4.01551,69.4221,69.2224,138.644
4.11531,117.424,100.221,217.645
4.21516,107.671,95.7369,203.408
4.31506,70.5146,64.5555,135.07
4.41486,117.09,107.376,224.466
4.51566,67.3325,59.3267,126.659
4.61554,184.87,163.772,348.641
4.71543,914.212,569.698,1483.91
4.81618,543.782,406.534,950.316
4.91601,211.745,141.72,353.465
5.01855,79.0908,70.1622,149.253
5.11831,79.4848,74.5229,154.008
5.21913,549.556,659.455,1209.01
5.31879,274.728,210.072,484.801
