Time (s),Core 0 Uncore Frequency (GHz),Core 1 Uncore Frequency (GHz)
0.10019207000732422,1.5,1.5
0.2392868995666504,1.5,1.5
0.373626708984375,1.5,1.5
0.5083403587341309,2.2,2.2
0.6411850452423096,2.2,2.2
0.7730915546417236,2.2,2.2
0.9042253494262695,2.2,2.2
1.0435388088226318,2.1,2.1
1.1765573024749756,2.1,2.1
1.3115661144256592,2.2,2.2
1.4443855285644531,2.2,2.2
1.5797898769378662,2.2,2.2
1.7177402973175049,2.0,2.0
1.8463103771209717,2.0,2.0
1.978065013885498,1.9,1.9
2.1129512786865234,1.9,1.9
2.246762752532959,1.8,1.8
2.3808515071868896,1.8,1.8
2.5140626430511475,1.7,1.7
2.6471080780029297,1.7,1.7
2.778425455093384,2.2,2.2
2.9094557762145996,2.2,2.2
3.041624069213867,2.2,2.2
3.1734094619750977,2.2,2.2
3.305264472961426,2.2,2.2
3.4389917850494385,2.2,2.2
3.568774461746216,2.2,2.2
3.700237989425659,2.2,2.2
3.833505153656006,1.6,1.6
3.965928554534912,1.6,1.6
4.101006746292114,1.5,1.5
4.235829591751099,1.5,1.5
4.36956262588501,1.4,1.4
4.501565456390381,1.4,1.4
4.636882781982422,1.4,1.4
4.770202398300171,1.3,1.3
4.904448509216309,1.3,1.3
5.037925720214844,2.2,2.2
5.172863721847534,2.2,2.2
5.305805206298828,2.2,2.2
5.441009759902954,2.2,2.2
5.571557521820068,2.2,2.2
5.704736948013306,2.2,2.2
5.8392298221588135,2.2,2.2
5.972441911697388,2.2,2.2
6.107062578201294,2.2,2.2
6.238554000854492,1.4,1.4
6.369633436203003,1.4,1.4
6.499752521514893,1.4,1.4
6.634742498397827,1.4,1.4
6.769308090209961,2.2,2.2
6.901417970657349,2.2,2.2
7.033649921417236,2.2,2.2
7.164963722229004,2.2,2.2
7.300110340118408,1.3,1.3
7.431150913238525,1.3,1.3
7.564779281616211,1.2,1.2
7.70116114616394,1.2,1.2
7.830714464187622,2.2,2.2
7.962329387664795,2.2,2.2
8.097105026245117,2.2,2.2
8.234360456466675,2.2,2.2
8.36257529258728,2.2,2.2
8.492608070373535,2.2,2.2
8.629600048065186,2.2,2.2
8.762721061706543,2.2,2.2
8.896077394485474,2.2,2.2
9.027839660644531,2.2,2.2
9.161467552185059,2.2,2.2
9.296373128890991,2.2,2.2
9.429888248443604,2.2,2.2
9.56379246711731,2.2,2.2
9.695009708404541,2.2,2.2
9.828444480895996,2.2,2.2
9.959345579147339,2.2,2.2
10.091475009918213,2.2,2.2
10.222192764282227,2.2,2.2
10.35295581817627,2.2,2.2
10.484329223632812,2.2,2.2
10.618328332901001,2.2,2.2
10.752453565597534,2.2,2.2
10.885413885116577,1.3,1.3
11.023678302764893,1.3,1.3
11.157183170318604,1.2,1.2
11.290041446685791,1.2,1.2
11.424671411514282,1.2,1.2
11.558881759643555,1.2,1.2
11.692441463470459,1.2,1.2
11.826017141342163,2.2,2.2
11.955107927322388,2.2,2.2
12.087836742401123,2.2,2.2
12.216907739639282,2.2,2.2
12.352154970169067,2.2,2.2
12.483575582504272,1.3,1.3
12.61664867401123,1.3,1.3
12.746093988418579,1.4,1.4
12.881514310836792,1.4,1.4
13.016119718551636,2.2,2.2
13.147507429122925,2.2,2.2
13.279665231704712,1.3,1.3
13.414441585540771,1.3,1.3
13.554261684417725,1.2,1.2
