Time (s),Core 0 Uncore Frequency (GHz),Core 1 Uncore Frequency (GHz)
0.10018205642700195,2.2,2.2
0.27929258346557617,2.2,2.2
0.4606757164001465,2.2,2.2
0.6484308242797852,2.2,2.2
0.8044357299804688,2.2,2.2
0.9802134037017822,2.2,2.2
1.1586053371429443,2.2,2.2
1.343968152999878,2.2,2.2
1.527705192565918,2.2,2.2
1.7249398231506348,2.2,2.2
1.9047186374664307,2.2,2.2
2.077286958694458,2.2,2.2
2.263157606124878,2.2,2.2
2.4408533573150635,2.2,2.2
2.623645544052124,2.2,2.2
2.8078255653381348,2.2,2.2
2.989813804626465,2.2,2.2
3.178558826446533,2.2,2.2
3.3530728816986084,2.2,2.2
3.537287712097168,2.2,2.2
3.717337131500244,2.2,2.2
3.900606632232666,2.2,2.2
4.08343768119812,2.2,2.2
4.272760391235352,2.2,2.2
4.461395740509033,2.2,2.2
4.642367124557495,2.2,2.2
4.820379018783569,2.2,2.2
5.00776219367981,2.2,2.2
5.18576979637146,2.2,2.2
5.3767194747924805,2.2,2.2
5.553443670272827,2.2,2.2
5.744843244552612,2.2,2.2
5.927114963531494,2.2,2.2
6.103818893432617,2.2,2.2
6.287703037261963,2.2,2.2
6.4847612380981445,2.2,2.2
6.6585938930511475,2.2,2.2
6.844898700714111,2.2,2.2
7.018179893493652,2.2,2.2
7.197986364364624,2.2,2.2
7.381097793579102,2.2,2.2
7.5576231479644775,2.2,2.2
7.737613201141357,2.2,2.2
7.930194139480591,2.2,2.2
8.11108946800232,2.2,2.2
8.290806293487549,2.2,2.2
8.485580921173096,2.2,2.2
8.663361310958862,2.2,2.2
8.842463731765747,2.2,2.2
9.022081136703491,2.2,2.2
9.208356142044067,2.2,2.2
9.388537883758545,2.2,2.2
9.567420959472656,2.2,2.2
9.73885202407837,2.2,2.2
9.918407678604126,2.2,2.2
10.110212087631226,2.2,2.2
10.305264711380005,2.2,2.2
10.48796796798706,2.2,2.2
10.66404914855957,2.2,2.2
10.8417649269104,2.2,2.2
11.018957614898682,2.2,2.2
11.19729471206665,2.2,2.2
11.380916833877563,2.2,2.2
11.567899942398071,2.2,2.2
11.753318309783936,2.2,2.2
11.947125434875488,2.2,2.2
12.133679389953613,2.2,2.2
12.310525178909302,2.2,2.2
12.48904538154602,2.2,2.2
12.664833068847656,2.2,2.2
12.838432788848877,2.2,2.2
13.034472227096558,2.2,2.2
13.216376066207886,2.2,2.2
13.39542293548584,2.2,2.2
13.589659452438354,2.2,2.2
13.760895252227783,2.2,2.2
13.945189952850342,2.2,2.2
14.11816930770874,2.2,2.2
14.296471357345581,2.2,2.2
14.469624042510986,2.2,2.2
14.659951210021973,2.2,2.2
14.843987226486206,2.2,2.2
15.027878522872925,2.2,2.2
15.225842475891113,2.2,2.2
15.416335582733154,2.2,2.2
15.606592416763306,2.2,2.2
15.784871339797974,2.2,2.2
15.959835052490234,2.2,2.2
16.148285627365112,2.2,2.2
16.33549165725708,2.2,2.2
16.513145923614502,2.2,2.2
16.687299966812134,2.2,2.2
16.867040872573853,2.2,2.2
17.061912298202515,2.2,2.2
17.25128412246704,2.2,2.2
17.431084394454956,2.2,2.2
17.61767578125,2.2,2.2
17.7999267578125,2.2,2.2
17.979151248931885,2.2,2.2
18.166499853134155,2.2,2.2
18.347396850585938,2.2,2.2
18.54011058807373,2.2,2.2
18.72376823425293,2.2,2.2
18.903624057769775,2.2,2.2
19.081822872161865,2.2,2.2
19.252686262130737,2.2,2.2
19.437835693359375,2.2,2.2
19.608150482177734,2.2,2.2
19.78391122817993,2.2,2.2
19.95598316192627,2.2,2.2
