Time (s),Core 0 Uncore Frequency (GHz),Core 1 Uncore Frequency (GHz)
0.10017848014831543,1.8,1.8
0.27438902854919434,1.8,1.8
0.4499337673187256,1.7,1.7
0.6180305480957031,2.2,2.2
0.8218779563903809,2.2,2.2
0.9910705089569092,2.2,2.2
1.1742198467254639,2.2,2.2
1.3455955982208252,2.1,2.1
1.529489278793335,2.1,2.1
1.7010912895202637,2.0,2.0
1.8860647678375244,1.9,2.0
2.0711464881896973,1.9,1.9
2.2544384002685547,1.8,1.8
2.4230563640594482,1.8,1.8
2.5974786281585693,1.8,1.7
2.779632329940796,1.7,1.7
2.955597400665283,1.7,1.6
3.1295855045318604,1.6,1.6
3.308645725250244,1.6,1.5
3.4854719638824463,1.5,1.5
3.672668695449829,1.4,1.5
3.8546082973480225,1.4,1.4
4.034160614013672,1.4,1.4
4.205256462097168,2.2,2.2
4.391674280166626,2.2,2.2
4.557870864868164,2.2,2.2
4.734495162963867,2.2,2.2
4.909772634506226,2.2,2.2
5.083579063415527,2.2,2.2
5.259257793426514,2.1,2.1
5.437723398208618,2.1,2.1
5.619146108627319,2.0,2.0
5.804168462753296,1.9,2.0
5.974385499954224,1.9,1.9
6.1541407108306885,1.9,2.2
6.314262866973877,2.2,2.2
6.48652458190918,2.1,2.2
6.665611982345581,2.1,2.1
6.84993052482605,2.0,2.1
7.029883623123169,2.0,2.0
7.231843948364258,1.9,1.9
7.418108224868774,1.9,1.9
7.603270530700684,1.8,1.8
7.791589260101318,1.8,1.8
7.966413736343384,2.2,2.2
8.143629789352417,2.2,2.2
8.316103219985962,2.1,2.1
8.49201488494873,2.1,2.1
8.670992612838745,2.2,2.2
8.855561971664429,2.2,2.2
9.042351484298706,2.2,2.2
9.214648485183716,2.2,2.2
9.401827335357666,2.1,2.1
9.59005331993103,2.1,2.1
9.7657151222229,2.0,2.0
9.945658922195435,2.0,2.0
10.117144346237183,1.9,1.9
10.2920401096344,1.9,1.9
10.472356796264648,1.8,1.8
10.645566463470459,1.8,1.8
10.820739507675171,1.7,1.7
10.995947122573853,1.7,1.7
11.181924819946289,1.6,1.6
11.362184286117554,1.6,1.6
11.542944431304932,1.5,1.5
11.730159044265747,1.5,1.5
11.904588222503662,1.4,1.4
12.081280946731567,1.4,1.4
12.261425733566284,1.4,1.4
12.434187173843384,2.2,2.2
12.620921611785889,2.2,2.2
12.799741983413696,2.2,2.2
12.978764057159424,2.2,2.2
13.164275646209717,2.1,2.1
13.33796215057373,2.1,2.1
13.528492212295532,2.0,2.0
13.708505868911743,2.0,2.0
13.88450002670288,2.0,2.0
14.061119794845581,2.2,2.2
14.243330478668213,2.2,2.2
14.420314311981201,2.2,2.2
14.603131771087646,2.2,2.2
14.776209592819214,2.1,2.1
14.95484209060669,2.1,2.1
15.130439758300781,2.0,2.0
15.311385154724121,2.0,2.0
15.487425327301025,1.9,1.9
15.681719064712524,2.2,1.9
15.858668565750122,2.2,2.2
16.04026961326599,2.1,2.2
16.199576139450073,2.1,2.1
16.382781744003296,2.1,2.1
16.563783645629883,2.1,2.1
16.74163842201233,2.1,2.1
16.92026424407959,2.1,2.1
17.097196340560913,2.2,2.2
17.278628826141357,2.2,2.2
17.45498824119568,2.2,2.2
17.634817600250244,2.2,2.2
17.807231187820435,2.1,2.1
18.00111484527588,2.1,2.1
18.165710926055908,2.0,2.0
18.36548113822937,2.0,2.0
18.544764757156372,2.2,2.2
18.732964277267456,2.2,2.2
18.90150475502014,2.2,2.2
19.089797735214233,2.1,2.2
19.248597383499146,2.1,2.1
19.430378198623657,2.0,2.1
19.612292051315308,2.0,2.0
19.792555809020996,2.0,1.9
19.976815938949585,1.9,1.9
20.152953147888184,1.8,1.9
20.32058048248291,1.8,1.8
20.500839471817017,1.7,1.7
20.671388149261475,1.7,1.7
20.859339952468872,1.6,1.7
21.041247606277466,1.6,1.6
21.219820737838745,1.6,1.6
21.387940406799316,1.5,1.5
21.56426739692688,1.5,1.5
21.745659589767456,1.4,1.4
21.931602001190186,1.4,1.4
22.104588508605957,1.3,1.3
22.283341646194458,1.2,1.3
22.45606017112732,1.2,1.2
22.63668704032898,1.2,1.2
22.813737869262695,1.2,1.2
22.969473361968994,2.2,2.2
23.145403146743774,2.2,2.2
23.33279538154602,2.2,2.2
23.511595010757446,2.2,2.2
23.687537670135498,2.2,2.2
23.862499952316284,2.2,2.2
24.048505544662476,2.2,2.2
24.221521139144897,2.1,2.1
24.397722244262695,2.1,2.1
24.560356616973877,2.2,2.2
24.7358455657959,2.2,2.2
24.9195499420166,2.2,2.2
25.108999967575073,2.2,2.2
25.293623208999634,2.1,2.1
25.47312355041504,2.1,2.1
25.65341544151306,2.1,2.1
25.83754849433899,2.2,2.2
26.030104637145996,2.2,2.2
26.209681034088135,2.2,2.2
26.393383026123047,2.2,2.2
26.56165385246277,2.1,2.1
26.745147466659546,2.1,2.1
26.927093505859375,2.0,2.0
27.114925622940063,2.0,2.0
27.292053699493408,1.9,1.9
27.447299003601074,1.9,1.9
27.633115768432617,2.2,2.2
27.82035756111145,2.2,2.2
27.99931836128235,2.1,2.1
28.17368173599243,2.1,2.1
28.368311882019043,2.0,2.0
28.53080129623413,2.0,2.0
28.71587085723877,1.9,1.9
28.8969566822052,1.9,1.9
29.07046890258789,1.8,1.8
29.235493659973145,1.8,1.8
29.416966915130615,1.8,1.8
29.605538845062256,2.2,2.2
29.786030292510986,2.2,2.2
29.972031593322754,2.2,2.2
30.153003692626953,2.2,2.2
30.327183961868286,2.1,2.1
30.513295888900757,2.1,2.1
30.70082116127014,2.0,2.0
30.872289896011353,2.0,2.0
31.033073663711548,2.2,2.2
31.20773220062256,2.2,2.2
31.382011651992798,2.2,2.2
31.557573318481445,2.2,2.2
31.739818334579468,2.2,2.2
31.92389488220215,2.2,2.2
32.11780118942261,2.1,2.1
32.30208730697632,2.1,2.1
32.495136737823486,2.0,2.0
32.68171167373657,2.0,2.0
32.87076449394226,1.9,1.9
33.054794788360596,1.8,1.9
33.229735136032104,1.8,1.8
33.41201972961426,1.7,1.8
33.59068512916565,1.7,1.7
33.770968198776245,1.7,1.7
33.93461608886719,1.6,1.6
34.10960054397583,1.6,1.6
34.28341293334961,2.2,2.2
34.45657420158386,2.1,2.2
34.622798442840576,2.1,2.1
34.80035710334778,2.0,2.1
34.97343611717224,2.0,2.0
35.1460964679718,1.9,2.0
35.326932430267334,1.9,1.9
35.5094428062439,1.9,1.8
35.6849308013916,1.8,1.8
35.85668611526489,1.8,1.7
36.04024529457092,1.7,1.7
36.21566295623779,1.7,1.6
36.39975690841675,1.6,1.6
36.59136891365051,1.5,1.5
36.76712393760681,1.5,1.5
36.95216393470764,1.5,1.5
37.11808943748474,1.4,1.4
37.29442381858826,1.4,1.4
37.4687876701355,2.2,2.2
37.65483379364014,2.2,2.2
37.83428382873535,2.2,2.2
38.01043772697449,2.2,2.2
38.1837944984436,2.2,2.2
38.35960292816162,2.2,2.2
38.53359651565552,2.2,2.2
38.70337390899658,2.2,2.2
38.88993763923645,2.2,2.2
39.0660343170166,2.1,2.1
39.24704432487488,2.1,2.1
39.41357088088989,2.0,2.0
39.58997583389282,2.0,2.0
39.776187896728516,1.9,1.9
39.95305037498474,1.9,1.9
40.126579999923706,1.8,1.8
40.301326274871826,1.7,1.8
40.4712450504303,1.7,1.7
40.650978088378906,1.6,1.7
40.83485674858093,1.6,1.6
41.02559161186218,1.5,1.5
41.208740234375,1.5,1.5
41.393266916275024,1.4,1.4
41.58031725883484,1.4,1.4
41.759196043014526,2.2,2.2
41.941545248031616,2.2,2.2
42.12003517150879,2.2,2.2
42.29162240028381,2.2,2.2
42.471479654312134,2.2,2.2
42.64848852157593,2.2,2.2
42.82562208175659,2.1,2.1
43.00068807601929,2.1,2.1
43.16491746902466,2.0,2.0
43.34864950180054,2.0,2.0
43.538700342178345,2.0,2.0
43.71537661552429,2.0,2.0
43.90789532661438,2.2,2.2
44.102142333984375,2.2,2.2
44.27364230155945,2.1,2.1
44.45142912864685,2.1,2.1
44.63203978538513,2.0,2.0
44.80251932144165,2.0,2.0
44.9789776802063,2.2,2.2
45.16494107246399,2.2,2.2
45.37674593925476,2.2,2.2
45.56448173522949,2.2,2.2
45.739869117736816,2.2,2.2
45.9210479259491,2.1,2.2
46.099085092544556,2.1,2.1
46.280641078948975,2.1,2.1
46.45312190055847,2.0,2.0
46.63561153411865,2.0,2.0
46.797000885009766,1.9,1.9
46.96960186958313,1.9,1.9
47.14640831947327,1.8,1.8
47.31851601600647,1.8,1.8
47.498358964920044,1.7,1.7
47.690091133117676,1.6,1.6
47.875120401382446,1.6,1.6
48.0586621761322,1.5,1.5
48.21912717819214,1.5,1.5
48.40567207336426,2.2,2.2
48.58878540992737,2.2,2.2
48.769104957580566,2.2,2.2
48.955206632614136,2.2,2.2
49.14062309265137,2.1,2.1
49.29923439025879,2.1,2.1
49.47693943977356,2.0,2.1
49.643197536468506,2.0,2.0
49.82489061355591,2.0,1.9
49.979212284088135,1.9,1.9
50.158859729766846,1.9,1.9
50.35515904426575,2.2,1.9
50.52379107475281,2.2,2.2
50.704371213912964,2.2,2.2
50.88123846054077,2.2,2.2
51.04536247253418,2.2,2.2
51.22969889640808,2.2,2.2
51.4150915145874,2.2,2.2
51.60763072967529,2.2,2.1
51.785104751586914,2.1,2.1
51.961568117141724,2.1,2.2
52.12561392784119,2.2,2.2
52.29926609992981,2.2,2.2
52.48564028739929,2.2,2.2
52.665682315826416,2.2,2.2
52.83818483352661,2.2,2.2
53.02327752113342,2.1,2.1
53.19767880439758,2.1,2.1
53.3682279586792,2.1,2.0
53.546910762786865,2.0,2.0
53.71905565261841,2.0,2.0
53.90780425071716,1.9,1.9
54.07909941673279,1.9,1.9
54.25184679031372,1.8,1.8
54.42352509498596,2.2,1.8
54.596492767333984,2.2,2.2
54.77927207946777,2.2,2.2
54.95493745803833,2.2,2.2
55.13124871253967,2.2,2.2
55.31465148925781,2.2,2.2
55.492151737213135,2.1,2.1
55.66664171218872,2.1,2.1
55.81447649002075,2.0,2.0
55.99658465385437,2.0,2.0
56.16734170913696,1.9,1.9
56.351154804229736,1.9,1.9
56.53050470352173,1.8,1.8
56.719764709472656,1.8,1.8
56.901185035705566,1.7,1.7
57.084372997283936,1.7,1.7
57.262160778045654,1.7,1.7
57.446669578552246,2.2,2.2
57.62709379196167,2.2,2.2
57.80183434486389,2.2,2.2
57.99341130256653,2.2,2.2
58.16558599472046,2.2,2.2
58.34565567970276,2.2,2.2
58.519644021987915,2.2,2.2
58.690542221069336,2.2,2.2
58.86903786659241,2.2,2.2
59.03758502006531,2.1,2.1
59.22237253189087,2.1,2.1
59.403597831726074,2.0,2.0
59.5828971862793,2.0,2.0
59.75910711288452,1.9,1.9
59.947495222091675,1.9,1.8
60.12555646896362,1.8,1.8
60.307260036468506,1.8,1.8
60.50457167625427,2.2,1.8
60.68169069290161,2.2,2.2
60.866559743881226,2.2,2.2
61.03971195220947,2.2,2.2
61.21763873100281,2.1,2.1
61.38838028907776,2.1,2.1
61.57724452018738,2.1,2.0
61.74193596839905,2.0,2.0
61.91537046432495,2.0,2.0
62.086312770843506,1.9,1.9
62.26448321342468,1.8,1.8
62.43887710571289,1.8,1.8
62.62367653846741,1.7,1.7
62.80020880699158,1.7,1.7
62.990352630615234,1.6,1.6
63.162638425827026,1.6,1.6
63.345898151397705,1.5,1.5
63.52453923225403,1.5,1.5
63.69525861740112,1.4,1.4
63.88211536407471,1.4,1.4
64.05997586250305,1.3,1.3
64.2416923046112,1.3,1.3
64.42168545722961,1.2,1.2
64.60026144981384,1.2,1.2
64.76360058784485,2.2,2.2
64.93467855453491,2.2,2.2
65.117436170578,2.2,2.2
65.30009341239929,2.2,2.2
65.47910141944885,2.1,2.1
65.6592264175415,2.1,2.1
65.83885955810547,2.0,2.0
66.01640725135803,2.0,2.0
66.19290781021118,1.9,1.9
66.37853145599365,1.9,1.9
66.55153012275696,2.2,2.2
66.72290301322937,2.2,2.2
66.89481735229492,2.1,2.1
67.0783760547638,2.1,2.1
67.25877547264099,2.2,2.2
67.44283771514893,2.2,2.2
67.60560441017151,2.2,2.2
67.79066348075867,2.2,2.2
67.96000862121582,2.2,2.2
68.14536380767822,2.2,2.2
68.32455444335938,2.2,2.2
68.49369478225708,2.2,2.2
68.67921948432922,2.2,2.2
68.84370398521423,2.2,2.2
69.02836394309998,2.2,2.2
69.1893572807312,2.1,2.1
69.36843538284302,2.0,2.1
69.54200553894043,2.0,2.0
69.71751475334167,2.0,2.0
69.89621758460999,2.2,2.2
70.08606338500977,2.2,2.2
70.2581627368927,2.2,2.2
70.44322347640991,2.1,2.1
70.61590456962585,2.1,2.1
70.79342460632324,2.1,2.1
70.9685411453247,2.0,2.0
71.14729452133179,2.0,1.9
71.32726860046387,1.9,1.9
71.50380659103394,1.9,1.9
71.68287992477417,1.8,1.8
71.87371325492859,1.7,1.7
72.04764556884766,1.7,1.7
72.2214674949646,1.7,1.7
72.38784551620483,1.6,1.6
72.56353330612183,1.5,1.6
72.74955916404724,1.5,1.5
72.93136310577393,1.5,1.4
73.10349297523499,1.4,1.4
73.29849600791931,1.3,1.4
73.4673216342926,1.3,1.3
73.64293503761292,1.3,1.3
