Time (s),DRAM Power (W),IPC
0.0001,0.00,1.97
0.2869,24.70,2.33
0.4908,17.12,2.80
0.6942,16.97,2.72
0.9370,20.24,2.61
1.1607,18.62,2.34
1.3786,18.25,2.62
1.6063,18.98,2.67
1.8286,18.50,2.35
2.0385,17.60,2.76
2.2607,18.46,2.75
2.4753,17.92,2.44
2.6847,17.58,2.64
2.8928,17.41,2.67
3.1248,19.46,2.33
3.3324,17.34,2.76
3.5368,17.08,2.33
3.7507,17.86,2.58
3.9604,17.43,2.28
4.1723,17.65,2.65
4.3723,16.71,2.40
4.5843,17.73,2.78
4.8003,18.17,2.59
5.0042,17.21,2.23
5.2122,17.42,2.62
5.4239,17.75,2.45
5.6261,16.92,2.29
5.8241,16.66,2.74
6.0322,17.43,2.64
6.2418,17.51,2.33
6.4395,16.50,2.49
6.6539,17.83,2.63
6.8734,18.45,2.65
7.0757,16.88,2.55
7.2856,17.58,2.56
7.4957,17.56,2.78
7.7037,17.40,2.40
7.9197,17.94,2.61
8.1498,19.25,2.28
8.3639,17.88,2.39
8.5639,16.76,2.78
8.7679,17.09,2.40
8.9720,17.06,2.61
9.1984,19.02,2.25
9.4021,17.16,2.70
9.6263,18.84,2.55
9.8280,16.88,2.61
10.0360,17.52,2.34
10.2400,17.09,2.64
10.4358,16.41,2.29
10.6483,17.85,2.70
10.8664,18.33,2.78
11.0704,17.23,2.37
11.2902,18.49,2.59
11.4980,17.40,2.25
11.7040,17.33,2.78
11.9121,17.44,2.66
12.1081,16.54,2.52
12.3119,17.14,2.78
12.5199,17.50,2.57
12.7176,16.63,2.57
12.9241,17.27,2.42
13.1319,17.47,2.75
13.3622,19.37,2.60
13.5791,18.33,2.61
13.8071,19.11,2.36
14.0070,16.80,2.66
14.2132,17.27,2.38
14.4304,18.16,2.83
14.6291,16.61,1.81
14.8953,22.24,2.70
15.0991,17.00,2.65
15.3337,19.72,2.78
15.5369,16.93,2.68
15.7651,19.09,2.33
15.9831,18.27,2.65
16.1992,18.06,2.54
16.3991,16.68,2.80
16.6128,17.96,2.38
16.8341,18.55,2.72
17.0500,18.10,2.55
17.2506,16.85,2.32
17.4587,17.43,2.79
17.6768,18.25,2.65
17.9008,18.68,2.16
18.0850,15.39,2.49
18.3089,18.84,2.52
18.5309,18.61,2.40
18.7388,17.41,2.78
18.9425,17.03,2.36
19.1687,18.96,2.65
19.3890,18.41,2.25
19.6049,18.10,2.70
19.8028,16.57,2.64
20.0189,18.12,2.78
20.2308,17.72,2.64
20.4569,19.00,2.31
20.6629,17.17,2.67
20.8706,17.32,2.61
21.0787,17.39,2.68
21.3010,18.63,2.63
21.5130,17.83,2.27
21.7249,17.69,2.63
21.9436,18.26,2.71
22.1598,17.95,2.55
22.3741,17.80,2.63
22.5983,18.71,2.37
22.8002,16.78,2.46
23.0120,17.63,2.69
23.2121,16.74,2.66
23.4241,17.77,2.45
23.6200,16.30,2.76
23.8334,17.75,2.39
24.0363,16.93,2.58
24.2603,18.79,2.41
24.4722,17.67,2.78
24.6680,16.22,2.76
24.8760,17.41,2.27
25.0904,17.94,2.55
25.3040,17.84,2.67
25.5243,18.29,2.77
25.7279,16.93,2.76
25.9440,17.97,2.34
26.1519,17.38,2.64
26.3559,16.95,2.63
26.5681,17.66,2.56
26.7784,17.44,2.50
26.9721,16.16,2.80
27.1925,18.36,2.34
27.3882,16.26,2.62
27.5892,16.78,2.35
27.7880,16.58,2.68
27.9841,16.27,2.38
28.1963,17.62,2.71
28.4091,17.74,2.72
28.6043,16.32,2.71
28.7960,16.11,2.43
29.0161,18.44,2.38
29.2320,18.06,2.77
29.4503,18.25,2.77
29.6531,17.00,2.36
29.8520,16.56,2.66
30.0599,17.33,2.53
30.2572,16.39,2.28
30.4599,16.82,2.79
30.6682,17.42,2.76
30.8881,18.34,2.33
31.1024,17.83,2.52
31.3000,16.44,2.53
31.5122,17.69,2.74
31.7240,17.56,2.39
31.9324,17.50,2.48
32.1441,17.67,2.45
32.3441,16.69,2.30
32.5481,17.00,2.70
32.7531,17.06,2.38
32.9523,16.64,2.81
33.1657,17.76,2.56
33.3881,18.55,2.62
33.6051,18.02,2.32
33.8042,16.58,2.65
34.0081,16.92,2.59
34.2161,17.38,2.76
34.4320,17.91,2.33
34.6464,17.87,2.62
34.8482,16.88,2.38
35.0529,17.17,2.49
35.2641,17.69,2.76
35.4944,19.27,2.27
35.6870,16.06,2.64
35.8840,16.41,2.62
36.0927,17.44,2.31
36.2960,17.08,2.74
36.5078,17.65,2.37
36.7121,17.17,2.69
36.9344,18.60,2.62
37.1562,18.59,2.41
37.3600,17.08,2.79
37.5639,16.96,2.76
37.7649,16.78,2.35
37.9824,18.15,2.67
38.2013,18.32,2.28
