Time (s),GPU 0 Power (W)
0.10017251968383789,66.21
0.26681041717529297,65.36
0.408733606338501,66.23
0.5738484859466553,65.36
0.7167062759399414,66.52
0.8622786998748779,65.26
1.0048656463623047,66.12
1.169959545135498,65.36
1.3160572052001953,66.41
1.4644246101379395,65.45
1.6122782230377197,41.19
1.7807121276855469,41.28
1.931868314743042,41.08
2.082942008972168,41.08
2.2466824054718018,40.98
2.397230863571167,40.98
2.5446712970733643,40.98
2.6908349990844727,41.08
2.8228251934051514,41.08
2.9680633544921875,40.98
3.1018311977386475,40.98
3.2326064109802246,40.98
3.388340950012207,40.98
3.52207088470459,40.87
3.688063621520996,40.87
3.834841728210449,40.98
3.963547945022583,40.87
4.1305272579193115,41.19
4.27944540977478,40.87
4.430884122848511,41.38
4.584611177444458,40.87
4.715191602706909,40.87
4.8456761837005615,40.87
5.0123045444488525,40.77
5.145411491394043,40.98
5.27621054649353,40.77
5.422378778457642,40.77
5.555390119552612,41.28
5.686633825302124,40.67
5.816770076751709,40.77
5.948548316955566,40.77
6.079200506210327,40.67
6.226569652557373,40.67
6.359712839126587,40.67
6.515302419662476,40.67
6.66995906829834,40.67
6.81984281539917,40.58
6.952023506164551,40.88
7.100019216537476,40.77
7.250288248062134,40.87
7.399162769317627,40.87
7.555588245391846,40.58
7.738389492034912,40.67
7.890881299972534,40.58
8.021535873413086,40.67
8.167330503463745,40.67
8.315555334091187,40.58
8.447339534759521,41.19
8.605385780334473,40.58
8.735863447189331,40.58
8.86754035949707,40.58
9.038857221603394,40.58
9.1828031539917,40.67
9.314460277557373,40.58
9.446335792541504,40.77
9.618861675262451,40.58
9.766148805618286,40.58
9.937193393707275,40.58
10.106636047363281,40.58
10.254873037338257,40.58
10.425093650817871,40.58
10.558243989944458,40.58
10.689951419830322,40.58
10.837049722671509,40.58
11.007503509521484,40.48
11.154616594314575,40.58
11.303331851959229,40.48
11.455188512802124,40.48
11.592117309570312,40.48
11.76274585723877,40.48
11.894469022750854,40.38
12.062617063522339,40.38
12.194318056106567,40.58
12.325864315032959,40.48
12.490793943405151,40.77
12.624853610992432,40.38
12.755540132522583,40.48
12.902533769607544,40.38
13.03778076171875,40.38
13.202324628829956,40.38
13.355212450027466,40.38
13.524571180343628,40.38
13.65262246131897,40.38
13.8029043674469,40.38
13.950668811798096,40.38
14.082460641860962,40.38
14.21432113647461,40.28
14.38368535041809,40.28
14.552969217300415,40.38
14.685182571411133,40.38
14.815141916275024,40.28
14.964930295944214,40.67
15.135616064071655,40.28
15.308897972106934,40.38
15.474464416503906,40.38
15.60379958152771,40.28
15.752264976501465,40.38
15.903404951095581,40.38
16.036123752593994,40.38
16.182671308517456,40.38
16.315324544906616,40.28
16.482399225234985,40.38
16.616459369659424,40.28
16.767186641693115,40.19
16.916311025619507,40.28
17.08406114578247,40.19
17.23547887802124,40.19
17.40697145462036,40.58
17.540494441986084,40.48
17.67184352874756,40.58
17.804301977157593,40.67
17.95495295524597,40.48
18.09880518913269,40.58
18.245593786239624,40.58
18.379231691360474,40.48
18.511006832122803,40.97
18.663299798965454,40.58
18.831087350845337,40.48
18.979700326919556,40.58
19.14679479598999,40.58
19.314837217330933,40.67
19.46614646911621,40.58
19.61461329460144,40.48
19.7785427570343,40.48
19.92730450630188,40.48
20.07897639274597,40.48
20.24690008163452,40.48
20.399457454681396,40.48
20.531336307525635,40.48
20.700902700424194,40.67
20.868470907211304,40.38
20.996023416519165,40.38
21.145090579986572,40.58
21.27302598953247,40.48
21.4025981426239,40.58
21.556301593780518,40.58
21.729170083999634,40.77
21.900524854660034,40.77
22.052208423614502,40.67
22.204270124435425,40.67
22.335811138153076,40.87
22.48440146446228,40.67
22.62096118927002,40.98
22.788345336914062,40.58
22.960700035095215,40.67
23.113450527191162,40.58
23.245527029037476,40.58
23.39297842979431,40.58
23.5483877658844,40.58
23.717163562774658,40.67
23.892674446105957,40.58
24.04794955253601,40.58
24.18319535255432,40.58
24.336915016174316,40.58
24.467166900634766,40.48
24.615219831466675,40.48
24.78788661956787,40.28
24.944310426712036,43.53
