Time (s),GPU 0 Power (W)
0.10019564628601074,33.98
0.26706957817077637,34.08
0.42351222038269043,33.97
0.5537877082824707,33.88
0.7042429447174072,34.08
0.854731559753418,33.98
0.9902780055999756,33.97
1.1430583000183105,33.97
1.2760870456695557,34.17
1.4242539405822754,34.08
1.5563867092132568,33.98
1.6878643035888672,33.98
1.86069917678833,34.07
1.9974489212036133,34.26
2.1347804069519043,33.87
2.2710766792297363,33.98
2.4469149112701416,33.98
2.5960323810577393,34.08
2.7281832695007324,33.97
2.860649347305298,34.07
2.9905171394348145,34.07
3.1259686946868896,33.98
3.2592315673828125,33.96
3.392827272415161,33.97
3.5437889099121094,33.98
3.674182891845703,33.96
3.803983449935913,34.08
3.9350364208221436,33.98
4.069573879241943,34.06
4.220109939575195,33.97
4.3561928272247314,33.98
4.504322528839111,34.07
4.634598731994629,34.07
4.788303375244141,34.06
4.9230055809021,33.97
5.08063817024231,33.98
5.214537620544434,34.08
5.348183870315552,33.98
5.486003637313843,34.07
5.657337665557861,33.98
5.791971921920776,34.06
5.941483497619629,33.97
6.090277671813965,34.07
6.219770669937134,34.16
6.3526611328125,33.97
6.485340118408203,33.97
6.655694007873535,33.97
6.80421781539917,33.97
6.93474817276001,33.97
7.067887306213379,33.98
7.220004558563232,34.45
7.35468864440918,33.98
7.488129138946533,33.97
7.637253284454346,33.97
7.771705389022827,33.98
7.901812314987183,33.97
8.03203821182251,34.46
8.164838075637817,33.97
8.317646265029907,34.07
8.45047640800476,34.08
8.584104537963867,33.78
8.71618103981018,33.87
8.851171493530273,34.17
8.983760118484497,34.45
9.124592304229736,35.05
9.29253101348877,36.44
9.44024658203125,35.55
9.572849988937378,36.14
9.70519208908081,36.24
9.841490268707275,41.85
9.995174407958984,40.67
10.130414962768555,40.67
10.262419700622559,41.27
10.434871196746826,41.76
10.566233158111572,42.05
10.698083400726318,51.89
10.830769062042236,52.09
10.961890697479248,53.36
11.103027582168579,54.53
11.255383253097534,52.38
11.382741928100586,52.57
11.534589529037476,52.77
11.686196088790894,57.0
11.819727659225464,53.86
11.949196100234985,51.99
12.096350193023682,53.38
12.228134393692017,53.08
12.36035442352295,53.75
12.492253541946411,53.28
12.64375925064087,52.97
12.7760009765625,52.87
12.906509160995483,52.77
13.039170742034912,55.23
13.169883012771606,51.78
13.321608304977417,52.09
13.474740982055664,53.38
13.60967230796814,56.32
13.741698265075684,52.57
13.909961700439453,52.57
14.044219970703125,54.83
14.192296266555786,53.07
14.342628240585327,54.53
14.478604555130005,51.88
14.62960696220398,52.57
14.783827304840088,52.97
14.936747074127197,54.53
15.068802118301392,52.97
15.201314687728882,52.09
15.333876848220825,52.97
15.46400761604309,57.3
15.6119065284729,53.96
15.757733345031738,52.18
15.888121843338013,53.47
16.018816709518433,52.88
16.150503158569336,66.43
16.28031301498413,51.99
16.43172264099121,52.57
16.59774136543274,52.88
16.746039390563965,89.13
16.874303817749023,54.24
17.00491499900818,52.57
17.1410813331604,53.57
17.29036521911621,152.52
17.44564723968506,54.04
17.57865810394287,52.48
17.729573965072632,53.57
17.861603260040283,53.07
17.993964910507202,54.24
18.148736238479614,52.57
18.281771898269653,53.17
18.41341233253479,52.97
18.5663743019104,53.75
18.69903802871704,53.28
18.847315311431885,52.78
18.992427587509155,54.14
19.12552309036255,53.65
19.279395818710327,53.67
19.44716215133667,52.09
19.575860738754272,52.67
