Time (s),DRAM Power (W),IPC
0.0000,0.00,1.44
0.2732,23.87,1.91
0.5924,27.07,2.54
0.8600,22.57,2.81
1.1369,23.26,2.85
1.4078,22.72,2.37
1.6745,22.35,2.62
1.9720,24.91,2.61
2.2532,23.57,2.63
2.4676,18.10,2.77
2.7544,24.17,2.80
3.0305,23.18,2.74
3.3102,23.47,2.60
3.5867,23.22,2.61
3.8774,24.29,2.62
4.1513,22.98,2.65
4.4205,22.60,2.44
4.7282,25.76,2.53
5.0027,22.97,2.62
5.2035,16.84,2.49
5.4035,16.76,2.72
5.6794,23.09,2.55
5.9518,22.82,2.67
6.2377,24.03,2.68
6.5107,22.95,2.76
6.8115,25.44,1.59
7.0867,23.24,2.66
7.3629,23.36,2.59
7.5674,17.23,2.68
7.7696,17.07,2.72
8.0475,23.39,2.45
8.2436,16.58,2.86
8.5149,22.84,2.61
8.7932,23.38,2.62
8.9930,16.83,2.66
9.2001,17.27,2.63
9.3923,16.13,2.62
9.5919,16.77,2.66
9.7921,16.75,2.62
9.9918,16.80,2.61
10.2099,18.32,2.57
10.4063,16.51,2.56
10.6146,17.52,2.61
10.8102,16.35,2.64
11.0236,17.89,2.62
11.2223,16.58,2.56
11.4222,16.81,2.50
11.6241,16.96,2.64
11.8225,16.69,2.45
12.0775,21.45,2.45
12.2787,16.89,2.83
12.5612,23.74,2.55
12.8296,22.59,2.55
13.0866,21.58,2.81
13.3537,22.55,1.55
13.5441,15.92,2.63
13.8212,23.33,2.56
14.0939,22.91,2.63
14.3618,22.45,2.61
14.5807,18.51,2.59
14.7906,17.66,2.76
15.0846,24.84,2.62
15.3516,22.52,2.54
15.5560,17.16,2.59
15.7643,17.45,2.58
15.9682,17.11,2.62
16.1722,17.02,2.70
16.3787,17.39,2.55
16.5761,16.53,2.65
16.7782,16.89,2.63
16.9722,16.15,2.60
17.1722,16.70,2.62
17.3760,17.10,2.72
17.5721,16.37,2.58
17.7864,18.01,2.77
18.0692,23.66,2.58
18.3418,22.84,2.61
18.5463,17.13,2.66
18.7442,16.57,2.84
19.0303,24.02,2.87
19.2973,22.49,2.65
19.5692,22.78,2.63
19.7767,17.42,1.61
20.0606,24.08,2.38
20.3360,23.33,2.53
20.6172,23.72,2.45
20.8248,17.32,2.69
21.1086,23.76,2.61
21.3868,23.42,2.44
21.5841,16.58,2.85
21.8583,23.15,2.83
22.1376,23.48,2.65
22.3303,16.21,2.64
22.6086,23.42,2.52
22.8863,23.37,2.39
23.0888,17.00,2.80
23.3623,22.98,2.65
23.6356,23.01,2.65
23.8342,16.74,2.45
24.1013,22.51,2.46
24.3772,23.35,2.60
24.5967,18.54,2.64
24.8947,25.08,2.66
25.1594,22.28,2.65
25.3601,16.89,2.63
25.5623,17.02,2.60
25.7622,16.81,2.74
25.9582,16.42,2.62
26.1623,17.07,2.84
26.4473,24.09,1.74
