Time (s),Core 0 Uncore Frequency (GHz),Core 1 Uncore Frequency (GHz)
0.3003959655761719,2.2,2.2
0.6289494037628174,2.2,2.2
0.9594476222991943,2.2,2.2
1.2951264381408691,2.2,2.2
1.6278495788574219,2.2,2.2
1.960195779800415,2.2,2.2
2.29459810256958,2.2,2.2
2.6271631717681885,2.2,2.2
2.9599831104278564,2.2,2.2
3.290847063064575,2.2,2.2
3.6232118606567383,2.2,2.2
3.954806327819824,2.2,2.2
4.288311719894409,2.2,2.2
4.624955892562866,2.2,2.2
4.960893154144287,2.2,2.2
5.2957563400268555,2.2,2.2
5.6301445960998535,2.2,2.2
5.9635984897613525,2.2,2.2
6.300105810165405,2.2,2.2
6.634472131729126,2.2,2.2
6.969672679901123,2.2,2.2
7.303438186645508,2.2,2.2
7.634807348251343,2.2,2.2
7.962749242782593,2.2,2.2
8.29853367805481,2.2,2.2
8.634661674499512,2.2,2.2
8.967201709747314,2.2,2.2
9.291345834732056,2.2,2.2
9.626841068267822,2.2,2.2
9.959493398666382,2.2,2.2
10.296656131744385,2.2,2.2
10.629793167114258,2.2,2.2
10.96406602859497,2.2,2.2
11.299906969070435,2.2,2.2
11.633138656616211,2.2,2.2
11.965678691864014,2.2,2.2
12.300906658172607,2.2,2.2
12.633944034576416,2.2,2.2
12.968846321105957,2.2,2.2
13.304672241210938,2.2,2.2
13.640647172927856,2.2,2.2
13.973963022232056,2.2,2.2
14.30929160118103,2.2,2.2
14.645634651184082,2.2,2.2
14.975034952163696,2.2,2.2
15.309205770492554,2.2,2.2
15.644027948379517,2.2,2.2
15.978639602661133,2.2,2.2
16.31386089324951,2.2,2.2
16.647622108459473,2.2,2.2
16.977348804473877,0.8,0.8
17.309205770492554,0.8,0.8
17.642901182174683,2.2,2.2
17.978076219558716,2.2,2.2
18.31318736076355,2.2,2.2
18.646547555923462,2.2,2.2
18.98088002204895,2.2,2.2
19.312422513961792,2.2,2.2
19.646681785583496,2.2,2.2
19.979370594024658,2.2,2.2
20.314098596572876,2.2,2.2
20.64862871170044,0.8,0.8
20.98528552055359,0.8,0.8
21.32068395614624,0.8,0.8
