System,System,System,System,System,System,System,System,System,System
Time,EXEC,CFREQ,READ,WRITE,INST,PhysIPC%,Proc Energy (Joules),DRAM Energy (Joules),UncFREQ (Ghz)
02:26:56.772,0.0,1.12,0.0,0.0,3.14,12.67,2.89,0.02,0.2
02:26:56.872,0.0,1.0,0.0,0.0,6.14,25.01,2.69,0.01,0.17
02:26:56.972,0.0,1.0,0.0,0.0,6.08,25.18,2.57,0.01,0.1
02:26:57.072,0.0,1.0,0.0,0.0,5.98,25.47,2.49,0.01,0.08
02:26:57.172,0.0,1.0,0.0,0.0,6.07,24.78,2.5,0.01,0.08
02:26:57.273,0.01,1.91,0.01,0.01,183.82,5.4,6.43,0.46,1.31
02:26:57.373,0.09,3.0,0.25,0.44,1105.04,4.24,14.74,1.01,1.87
02:26:57.473,0.62,2.42,3.86,1.61,7735.25,33.51,18.3,1.98,2.4
02:26:57.573,0.56,2.31,5.73,2.01,6970.49,31.81,17.94,2.33,2.4
02:26:57.673,0.66,2.35,5.24,1.89,8206.83,36.72,18.42,2.24,2.4
02:26:57.772,0.67,2.36,4.65,1.68,8262.33,37.15,18.15,2.1,2.4
02:26:57.873,0.56,2.3,6.37,2.2,7026.83,31.86,18.32,2.49,2.4
02:26:57.974,0.66,2.34,4.98,1.82,8300.29,37.22,18.32,2.19,2.4
02:26:58.074,0.55,2.29,6.08,2.05,6813.57,31.2,18.14,2.42,2.4
02:26:58.174,0.67,2.36,4.91,1.82,8362.22,37.31,18.39,2.18,2.4
02:26:58.274,0.64,2.39,4.9,1.75,8001.9,35.3,18.27,2.15,2.39
02:26:58.374,0.57,2.32,6.08,2.11,7115.39,32.18,18.41,2.45,2.4
02:26:58.474,0.63,2.38,4.31,1.88,7874.91,34.74,18.05,2.09,2.4
02:26:58.574,0.53,2.31,6.44,2.28,6606.17,30.1,18.33,2.52,2.4
02:26:58.673,0.67,2.32,4.47,1.68,8351.27,38.0,17.99,2.09,2.4
02:26:58.773,0.54,2.31,6.51,2.27,6673.26,30.43,18.37,2.53,2.4
02:26:58.873,0.67,2.32,4.46,1.68,8338.51,37.78,18.06,2.1,2.4
02:26:58.973,0.64,2.35,5.61,2.01,8015.61,35.86,18.48,2.3,2.4
02:26:59.074,0.57,2.35,5.78,2.08,7206.32,31.93,18.56,2.4,2.4
02:26:59.174,0.68,2.36,4.7,1.77,8430.83,37.61,18.25,2.14,2.4
02:26:59.274,0.46,2.42,5.26,1.86,5768.32,24.93,18.19,2.25,2.4
02:26:59.374,0.54,2.53,3.73,1.69,6659.93,27.75,17.95,1.93,2.4
02:26:59.474,0.55,2.3,5.86,2.11,6873.23,31.46,18.17,2.4,2.41
02:26:59.574,0.68,2.38,4.78,1.75,8510.72,37.54,18.39,2.13,2.4
02:26:59.675,0.56,2.33,6.51,2.28,7060.56,31.59,18.66,2.54,2.41
02:26:59.774,0.66,2.35,4.99,1.84,8198.59,36.94,18.19,2.18,2.39
02:26:59.874,0.63,2.35,5.73,2.03,7780.22,35.19,18.35,2.35,2.41
02:26:59.973,0.51,2.46,4.18,1.54,6259.19,26.92,17.88,2.02,2.39
02:27:00.073,0.67,2.33,5.19,1.84,8361.03,37.45,18.38,2.22,2.4
02:27:00.173,0.58,2.33,6.1,2.15,7140.53,32.26,18.35,2.45,2.4
02:27:00.273,0.64,2.35,4.38,1.91,7955.53,35.39,18.15,2.12,2.4
02:27:00.374,0.55,2.32,6.43,2.32,6814.4,30.87,18.36,2.52,2.4
02:27:00.473,0.66,2.31,4.51,1.69,8183.9,37.55,17.91,2.1,2.4
02:27:00.574,0.52,2.31,6.32,2.26,6556.89,29.58,18.44,2.51,2.4
02:27:00.674,0.62,2.4,4.23,1.61,7720.68,33.66,18.22,2.05,2.4
02:27:00.774,0.6,2.33,5.72,2.05,7396.03,33.49,18.21,2.37,2.4
02:27:00.874,0.64,2.36,5.29,1.93,8007.1,35.59,18.5,2.28,2.4
02:27:00.975,0.68,2.38,5.03,1.86,8494.56,37.31,18.57,2.22,2.4
02:27:01.075,0.54,2.33,6.51,2.3,6771.37,30.42,18.49,2.55,2.39
02:27:01.175,0.66,2.42,4.31,1.91,8162.79,35.48,18.37,2.09,2.4
02:27:01.275,0.54,2.35,6.53,2.32,6807.84,30.39,18.56,2.56,2.4
02:27:01.375,0.68,2.38,4.67,1.74,8417.58,37.23,18.4,2.15,2.4
02:27:01.475,0.66,2.35,5.29,1.93,8257.77,37.01,18.42,2.27,2.4
02:27:01.575,0.56,2.31,5.98,2.17,6933.71,31.68,18.25,2.43,2.4
02:27:01.675,0.67,2.38,5.03,1.86,8344.96,36.72,18.61,2.22,2.4
02:27:01.775,0.55,2.29,5.91,2.12,6832.19,31.37,18.02,2.41,2.4
02:27:01.874,0.67,2.38,4.97,1.84,8283.93,36.83,18.53,2.22,2.41
02:27:01.974,0.51,2.35,6.02,2.37,6328.19,28.25,18.1,2.45,2.39
02:27:02.075,0.66,2.33,4.5,1.8,8283.72,37.05,18.41,2.18,2.4
02:27:02.175,0.66,2.35,5.1,1.91,8190.76,36.69,18.32,2.23,2.41
02:27:02.276,0.54,2.3,5.93,2.2,6838.75,31.03,18.41,2.47,2.4
02:27:02.376,0.66,2.36,4.77,1.81,8291.17,36.78,18.23,2.15,2.4
02:27:02.476,0.55,2.32,6.08,2.24,6812.91,30.88,18.48,2.5,2.4
02:27:02.576,0.67,2.38,4.97,1.88,8369.36,36.81,18.62,2.23,2.4
02:27:02.676,0.6,2.32,5.62,2.09,7467.23,33.92,18.2,2.35,2.4
02:27:02.777,0.62,2.35,5.31,1.98,7702.86,34.31,18.49,2.31,2.4
02:27:02.877,0.62,2.42,4.67,2.01,7778.37,33.72,18.48,2.17,2.4
02:27:02.977,0.56,2.29,6.03,2.13,6941.86,31.92,18.12,2.43,2.4
02:27:03.076,0.66,2.34,4.86,1.73,8198.18,36.86,18.23,2.14,2.4
02:27:03.176,0.56,2.3,6.17,2.11,7020.84,32.07,18.21,2.44,2.4
02:27:03.276,0.68,2.33,5.02,1.8,8431.41,37.94,18.32,2.2,2.4
02:27:03.377,0.66,2.35,5.66,1.96,8225.35,36.85,18.58,2.34,2.4
02:27:03.477,0.57,2.32,5.98,2.08,7154.31,32.26,18.39,2.41,2.4
02:27:03.577,0.68,2.38,4.86,1.73,8529.48,37.64,18.41,2.16,2.4
02:27:03.677,0.57,2.3,6.25,2.14,7055.7,32.25,18.28,2.48,2.4
02:27:03.777,0.64,2.42,4.3,1.87,7927.58,34.45,18.34,2.11,2.4
02:27:03.878,0.56,2.31,6.58,2.29,7010.7,31.7,18.48,2.55,2.4
02:27:03.978,0.67,2.37,5.08,1.83,8345.45,36.79,18.52,2.22,2.4
