Time (s),GPU 0 Power (W)
0.10018062591552734,32.49
0.23659205436706543,32.59
0.41042041778564453,32.59
0.5617210865020752,32.49
0.7135977745056152,32.49
0.8440682888031006,32.49
1.0047869682312012,32.49
1.1566898822784424,32.49
1.2875676155090332,32.49
1.4256365299224854,32.49
1.560598373413086,32.59
1.6982769966125488,32.59
1.910947561264038,35.56
2.070230484008789,34.86
2.223456382751465,35.94
2.37601375579834,35.94
2.508833408355713,35.53
2.642716884613037,35.25
2.7752628326416016,35.06
2.9035706520080566,35.15
3.0567421913146973,35.06
3.1907410621643066,35.15
3.323669195175171,35.15
3.473233461380005,35.14
3.6194281578063965,35.24
3.7540366649627686,35.35
3.905863046646118,35.15
4.0364227294921875,34.56
4.169488191604614,34.56
4.306594371795654,34.37
4.439870595932007,34.37
4.574237108230591,34.27
4.70392107963562,34.37
4.853874444961548,34.37
5.022037029266357,34.27
5.154047012329102,34.47
5.285151243209839,34.27
5.418668508529663,34.27
5.550846099853516,34.27
5.721522092819214,34.27
5.8717200756073,34.37
6.005896091461182,34.27
6.136479616165161,34.27
6.270965576171875,34.27
6.405185222625732,34.27
6.551229238510132,34.37
6.683504819869995,34.27
6.818310499191284,34.27
6.953633785247803,34.37
7.082697868347168,34.27
7.2357141971588135,34.27
7.368175029754639,34.37
7.502365589141846,34.27
7.637323379516602,34.47
7.803634881973267,34.27
7.960484743118286,34.47
8.107666254043579,34.27
8.240011215209961,34.27
8.3725004196167,34.37
8.505584001541138,34.27
8.651285409927368,34.27
8.78382158279419,34.27
8.919317483901978,34.27
9.08005404472351,34.37
9.217477321624756,34.27
9.365834712982178,34.27
9.489669799804688,34.27
9.619174480438232,34.26
9.751096248626709,34.27
9.884361505508423,34.27
10.034195899963379,34.27
10.16741943359375,34.37
10.299513101577759,34.27
10.451691627502441,34.27
10.598955631256104,34.27
10.751555442810059,34.27
10.903726577758789,34.17
11.037827968597412,34.27
11.174085140228271,34.27
11.33901834487915,34.27
11.474748134613037,34.27
11.647031307220459,34.27
11.778868913650513,34.27
11.912159442901611,34.27
12.04967737197876,34.37
12.18048095703125,34.27
12.347678422927856,34.27
12.49582290649414,34.08
12.627768754959106,34.27
12.780950546264648,34.27
12.910647630691528,34.08
13.04915714263916,34.27
13.183674097061157,34.27
13.338646650314331,34.27
13.471473932266235,34.27
13.608016014099121,34.37
13.737812995910645,34.27
13.868911743164062,34.37
14.027765989303589,34.27
14.162399053573608,34.08
14.295743465423584,34.27
14.450254440307617,34.27
14.583623886108398,34.27
14.716050863265991,34.27
14.852184534072876,34.27
14.990496158599854,34.27
15.121385097503662,34.37
15.26715898513794,34.27
15.399824142456055,34.37
15.535757303237915,34.27
15.687408447265625,34.27
15.859549045562744,34.27
15.996753692626953,34.27
16.128352880477905,34.27
16.25822925567627,34.17
16.41018033027649,34.37
16.543278455734253,34.27
16.673269271850586,34.27
16.810025930404663,34.27
16.942269325256348,34.37
17.075576782226562,34.27
17.20788598060608,34.27
17.35961127281189,34.26
17.53782296180725,34.27
17.709052562713623,34.36
17.876704692840576,34.27
18.051772117614746,34.37
18.22046685218811,34.27
18.372716665267944,34.27
18.536355018615723,34.37
18.665274381637573,34.27
18.81835174560547,34.47
18.96974778175354,34.27
19.100771188735962,34.27
19.2671377658844,34.26
19.41989827156067,34.37
19.551674842834473,34.37
19.725054264068604,34.27
19.89315438270569,34.37
20.02628254890442,34.37
20.15947413444519,34.27
20.291394472122192,34.27
20.42448902130127,34.37
20.557420015335083,34.36
20.70724844932556,34.27
20.860629558563232,34.27
20.995718717575073,34.27
21.12883496284485,34.27
21.28960680961609,36.34
21.458032369613647,45.11
21.623162031173706,44.71
21.7932026386261,44.81
21.93899130821228,44.03
22.090168476104736,44.01
22.23631238937378,44.22
22.357895612716675,44.12
22.479153633117676,44.12
22.620383501052856,44.12
22.741461753845215,44.12
22.871915340423584,44.12
22.998236417770386,44.22
23.12696075439453,44.12
23.248160123825073,34.17
23.407236099243164,34.58
23.574729442596436,34.08
23.712617874145508,34.27
23.862324953079224,34.46
23.997251272201538,34.27
24.130604028701782,34.37
24.287456274032593,34.37
24.420514822006226,34.37
24.63666319847107,34.86
24.786081314086914,34.67
24.95683526992798,34.67
25.130106925964355,35.06
25.264647483825684,34.77
25.39939785003662,34.37
25.554560661315918,34.36
25.687235593795776,34.87
25.82057023048401,34.77
25.957075119018555,34.77
26.10428738594055,34.67
26.239945650100708,34.67
26.38848328590393,34.87
26.523451805114746,34.37
26.677024364471436,34.47
26.80898094177246,34.27
26.94056272506714,38.91
27.075511932373047,34.47
27.207960605621338,81.13
27.35968518257141,61.2
27.49137592315674,99.78
27.621408700942993,210.9
27.76905846595764,148.77
27.93808627128601,97.89
28.085585594177246,120.96
28.217304468154907,185.46
28.364466667175293,141.8
