Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
8.0156e-05,602.769,542.725,1145.49
0.0948028,760.744,685.65,1446.39
0.195582,381.149,243.445,624.595
0.295327,466.048,342.061,808.109
0.396014,896.324,514.184,1410.51
0.495711,262.545,189.807,452.353
0.596412,206.257,134.225,340.483
0.696127,366.728,276.494,643.222
0.796838,815.508,563.892,1379.4
0.896609,1170.01,528.731,1698.74
0.997253,755.667,432.265,1187.93
1.09684,476.399,288.719,765.119
1.19746,350.009,197.051,547.06
1.29803,2154.48,870.712,3025.19
1.3976,555.766,252.253,808.019
1.49817,425.536,228.24,653.776
1.59876,289.396,192.22,481.617
1.69832,265.51,198.442,463.953
1.79922,258.825,211.439,470.264
1.89892,426.732,332.367,759.1
1.99969,883.937,757.247,1641.18
2.09956,1725.3,1571.53,3296.83
2.20016,944.216,842.924,1787.14
2.29979,1145.21,1045.93,2191.14
2.40039,981.954,893.94,1875.89
2.49999,1013.68,921.332,1935.01
2.59958,1209.32,1109.99,2319.31
2.70018,956.269,917.469,1873.74
2.7998,1662.01,1574.45,3236.46
2.89945,340.022,290.761,630.783
3.00004,1178.59,713.519,1892.11
3.09965,2584.62,814.502,3399.13
3.20024,364.009,187.31,551.319
3.30015,297.531,171.877,469.408
3.40082,337.265,215.344,552.609
3.50055,2540.61,800.433,3341.04
3.60027,913.622,322.458,1236.08
3.69997,671.677,457.666,1129.34
3.79976,1069.6,905.782,1975.38
3.9,872.041,529.755,1401.8
3.99975,1142.55,850.781,1993.33
4.09932,7906.06,4254.95,12161
4.1999,1766.32,755.192,2521.51
4.29948,381.94,179.096,561.036
4.39999,618.64,382.377,1001.02
4.50051,1930.66,1501.37,3432.03
4.60083,2437.59,2084.77,4522.36
4.70126,3788.6,2866.34,6654.94
4.80091,4287.05,2644.52,6931.57
4.90185,2818.41,1718.95,4537.35
5.00185,1057.85,674.139,1731.99
5.10186,447.062,336.598,783.66
5.20161,242.241,170.84,413.081
5.30231,234.283,167.416,401.699
5.40203,287.665,230.463,518.127
5.50174,209.533,170.362,379.895
5.60144,168.328,121.336,289.664
5.7011,206.044,166.456,372.5
5.80178,244,178.724,422.724
5.90147,220.354,173.981,394.335
6.00213,131.517,92.4218,223.939
6.10188,197.947,143.972,341.919
6.20257,174.218,127.782,301.999
6.30219,169.471,128.179,297.651
6.40292,234.408,157.617,392.025
6.50266,227.233,183.99,411.223
6.6157,1551.52,829.74,2381.26
6.70389,3350.76,919.321,4270.08
6.80356,287.42,138.781,426.2
6.90416,203.804,131.034,334.838
7.00375,223.59,120.689,344.279
7.10464,365.058,236.071,601.129
7.20436,159.471,98.4141,257.885
7.3051,187.386,130.021,317.407
7.40475,169.466,111.608,281.073
7.50541,173.628,118.51,292.138
7.6051,151.504,103.478,254.981
7.70477,203.668,131.744,335.412
7.80546,270.207,199.783,469.99
7.90515,196.968,154.078,351.046
8.00583,130.607,88.7622,219.369
8.10563,236.346,172.182,408.527
8.20638,265.812,202.027,467.839
8.30615,218.723,144.184,362.907
8.40683,101.732,71.5437,173.276
8.5065,522.109,444.843,966.952
8.60721,1645.06,1099.61,2744.67
8.70747,2027.5,1224.65,3252.16
