Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
4.8795e-05,712.335,536.18,1248.51
0.0953452,317.906,204.426,522.332
0.195616,336.463,288.207,624.67
0.295915,726.326,443.697,1170.02
0.396155,269.799,179.436,449.235
0.496402,286.014,169.304,455.318
0.596671,1263.42,735.49,1998.91
0.696891,610.077,341.252,951.329
0.797111,485.131,272.463,757.595
0.897537,1448.16,592.563,2040.73
0.997951,628.625,339.983,968.607
1.09835,354.584,218.276,572.861
1.19776,483.925,332.299,816.224
1.29718,2173.65,807.406,2981.05
1.39759,744.42,539.791,1284.21
1.49799,700.694,662.721,1363.41
1.59844,1024.69,931.124,1955.82
1.69757,2992.27,2936.8,5929.07
1.79781,746.609,551.473,1298.08
1.89832,771.463,747.983,1519.45
1.99791,4153.61,3478.63,7632.24
2.09833,2036.11,1842.13,3878.25
2.19879,1641.66,1550.68,3192.34
2.29931,2010.33,1878.56,3888.89
2.39885,1119.6,974.334,2093.94
2.49934,1588.23,1431.7,3019.93
2.60427,2660.97,2346.52,5007.49
2.69942,63262.4,55601.9,118864
2.96674,70151.5,69935.4,140087
3.06719,72567.3,75609.5,148177
3.19684,21222.8,21932.7,43155.5
3.26542,7744.12,8928.46,16672.6
3.36595,972.501,781.231,1753.73
3.46577,659.941,478.084,1138.03
3.56632,468.822,331.726,800.548
3.66601,465.675,363.169,828.844
3.7667,218.151,148.227,366.378
3.86641,368.039,327.288,695.327
3.96711,161.572,125.496,287.068
4.06689,190.186,169.233,359.419
4.16664,253.468,172.852,426.32
4.26637,84.0557,62.2579,146.314
4.36714,171.222,126.38,297.602
4.46688,119.473,83.3107,202.784
4.56762,228.481,158.152,386.634
4.66721,838.231,688.268,1526.5
4.76768,2784.23,2661.8,5446.02
4.86828,2559.8,2507.65,5067.46
4.96863,25166.5,22957.2,48123.7
5.06873,47974.1,35008.9,82983
5.16803,51501.8,37605.4,89107.2
5.26842,4618.23,4669.31,9287.54
5.36925,3771.75,4082.33,7854.07
5.4699,2815.43,3041.98,5857.41
5.56944,1989.11,2606.79,4595.9
5.66996,3646.75,4143.43,7790.17
5.77047,3918.51,4498.34,8416.85
5.8701,3177.56,3725.37,6902.94
5.97077,3273.89,3251.92,6525.8
6.07037,2317.23,2975.77,5293
6.17,2168.84,2147.57,4316.41
6.27061,3408.32,2873.41,6281.74
6.37026,4008.47,3293.99,7302.46
6.48014,4776.6,4186.89,8963.48
6.57678,5891.15,4729.42,10620.6
6.67753,5867.59,4376.52,10244.1
6.77724,5643.5,5112.76,10756.3
6.87787,6357.16,5172.32,11529.5
6.97741,6152.91,4873.34,11026.3
7.07699,6209.27,5054.19,11263.5
7.17753,6021.66,4623.79,10645.4
7.28414,6292.91,4904.02,11196.9
7.38412,6360.26,4801.46,11161.7
7.48017,5724.98,4413.49,10138.5
7.5881,6580.14,5278.1,11858.2
7.67834,5945.44,4493.8,10439.2
7.77808,5519.96,4531.35,10051.3
7.8778,6900.18,5352.52,12252.7
7.97854,5568.94,5198.47,10767.4
8.07838,5507.48,5289.53,10797
8.17922,6256.29,4977.58,11233.9
8.27902,6462.97,4894.24,11357.2
8.37993,6686.07,4995.88,11681.9
8.47973,5708.12,4439.36,10147.5
8.57967,5627.81,4996.58,10624.4
8.68049,6451.64,5931.62,12383.3
8.78033,6528.03,5063.62,11591.6
8.88013,6751.32,5273.37,12024.7
8.97994,6053.34,4952.14,11005.5
9.07983,6085.68,4981.48,11067.2
9.18067,6178.91,5248.82,11427.7
9.28058,5833.94,5080.01,10914
9.38036,6843.45,5397.54,12241
9.48107,6001.32,4626.77,10628.1
9.58073,5722.46,4498.23,10220.7
9.68059,6748.35,5413.84,12162.2
9.78045,6185.46,4748.28,10933.7
9.88118,6227.71,4820.82,11048.5
9.98087,5900.54,4693.85,10594.4
10.0816,6572.43,5026.94,11599.4
10.1814,6364.94,5202.94,11567.9
10.2821,5932.31,4609.36,10541.7
10.3818,6311.79,4979.83,11291.6
10.4826,5860.46,4803.78,10664.2
10.5822,6463.33,4798.45,11261.8
10.6829,6105.5,4872.74,10978.2
10.7827,6172.77,4799.76,10972.5
10.8835,6038.91,4679.23,10718.1
10.9832,6573,5242.11,11815.1
11.084,6252.38,4904.63,11157
11.1839,5938.67,4495.54,10434.2
11.2846,6241.01,4754.71,10995.7
11.3845,6221.96,4564.2,10786.2
11.4843,6641.42,6048.57,12690
11.585,5811.71,4393.46,10205.2
11.6851,5887.64,4587.5,10475.1
11.7854,5655.43,4465.88,10121.3
11.8852,5775,4509.72,10284.7
11.9848,6160.43,4734.17,10894.6
12.0856,6718.97,5321.63,12040.6
12.1854,4054.99,3751.26,7806.25
12.285,762.749,862.48,1625.23
12.3847,983.938,1059.67,2043.61
12.4854,1016.13,1117.06,2133.19
12.585,563.872,270.193,834.065
12.6856,1324.21,1214.44,2538.66
12.7853,701.706,521.902,1223.61
12.885,513.961,549.267,1063.23
12.9847,597.523,684.891,1282.41
13.0844,578.28,487.756,1066.04
13.1841,984.698,804.633,1789.33
13.2838,1433.44,1138.07,2571.51
13.3845,1649.13,1532,3181.13
13.4843,1732.15,1471.12,3203.27
13.5851,3383.8,2804.58,6188.38
13.6849,37656.3,29269.6,66925.9
13.7851,48260.5,36877.2,85137.7
13.8846,35669.1,22503.9,58173
13.984,8455.95,5369.82,13825.8
14.0847,4938.9,3807.12,8746.02
14.1852,10145.4,6716.98,16862.4
14.2848,10292.7,8762.55,19055.3
14.3853,16521.2,10794.3,27315.4
14.4857,18761.8,11940.1,30701.9
14.5852,15203.4,10862.8,26066.2
14.6846,14054.4,12153.4,26207.7
14.7851,3206.31,2514.83,5721.15
14.8855,1171.48,162.977,1334.46
14.9859,1027.72,35.7402,1063.46
15.0853,988.265,84.5259,1072.79
15.1847,1214.65,157.162,1371.81
15.2842,1080.33,77.2659,1157.59
15.3846,1114.66,109.1,1223.76
15.485,3961.3,2729.85,6691.14
15.5857,1513.78,1396.01,2909.79
15.685,426.065,484.602,910.667
15.7855,420.063,278.797,698.86
15.886,1440.96,822.913,2263.87
15.9855,5558.44,4622.36,10180.8
16.0849,6798.22,5265.13,12063.4
16.1854,6829.87,5304.26,12134.1
16.2859,5721.74,5308.85,11030.6
16.3863,6543.69,5551.76,12095.5
16.4858,5844.84,4782.85,10627.7
16.5863,5823.29,4814.94,10638.2
16.6869,6780.16,5893.77,12673.9
16.7874,6083.32,4830.23,10913.6
16.8869,6601.53,6123.46,12725
16.9875,6418.69,5449.91,11868.6
17.0881,6115.21,4888.96,11004.2
17.1876,5967.74,4503.4,10471.1
17.2881,5714.4,4989.27,10703.7
17.3885,6474.7,5650.72,12125.4
17.489,6752.44,5573.29,12325.7
17.5886,5548.01,4536.9,10084.9
17.689,6042.57,5266.88,11309.4
17.7895,6614.26,5496.47,12110.7
17.8891,6307.98,5164.78,11472.8
