Time (s),GPU 0 Power (W)
0.10018086433410645,57.83
0.2504110336303711,55.7
0.39911937713623047,55.8
0.549705982208252,55.59
0.7019472122192383,55.98
0.843193531036377,60.51
1.0138614177703857,55.98
1.1659355163574219,55.78
1.294039011001587,55.8
1.4430415630340576,37.59
1.5976226329803467,37.78
1.747084617614746,36.7
1.8994715213775635,36.31
2.0302395820617676,35.82
2.179469108581543,35.82
2.310464859008789,35.42
2.442194938659668,35.92
2.5744426250457764,35.13
2.731807231903076,33.83
2.8620312213897705,33.64
3.0111916065216064,33.64
3.1608057022094727,33.64
3.3286337852478027,33.64
3.4839444160461426,33.54
3.6601409912109375,33.44
3.812962293624878,33.54
3.968258857727051,33.54
4.103813648223877,33.44
4.23388671875,33.44
4.368021249771118,33.44
4.521314382553101,33.54
4.695302963256836,33.44
4.830876111984253,33.44
4.96469259262085,33.54
5.099690198898315,33.44
5.253016948699951,33.54
5.386896371841431,33.44
5.522815704345703,33.44
5.659104108810425,33.54
5.813673257827759,33.44
5.948166131973267,33.44
6.081259727478027,33.44
6.236729621887207,33.44
6.371347904205322,33.44
6.526827573776245,33.44
6.679443836212158,33.44
6.847952365875244,33.44
6.986130237579346,33.64
7.138994932174683,33.64
7.274327993392944,33.74
7.408000707626343,33.64
7.556454420089722,33.74
7.692082643508911,33.44
7.827236652374268,33.64
8.000607013702393,33.64
8.148839712142944,33.74
8.280977010726929,33.83
8.411691665649414,33.74
8.547316551208496,33.64
8.683443784713745,33.64
8.840609312057495,33.64
8.972476482391357,33.64
9.129374265670776,33.64
9.26112961769104,33.64
9.4131338596344,33.74
9.568475008010864,33.64
9.703386306762695,33.64
9.839576005935669,33.64
9.975667238235474,33.44
10.111495971679688,33.64
10.241650581359863,33.64
10.388712167739868,33.64
10.538039445877075,33.64
10.714967012405396,33.64
10.841767311096191,33.64
10.99617075920105,33.64
11.12956976890564,33.44
11.261237859725952,33.64
11.39557147026062,33.54
11.565277338027954,33.64
11.724194765090942,33.64
11.895347833633423,33.54
12.051374673843384,33.54
12.17845606803894,33.35
12.32946228981018,33.54
12.483980417251587,33.54
12.616502285003662,33.35
12.770351886749268,33.54
12.949333429336548,33.64
13.08189606666565,33.44
13.239897966384888,33.54
13.371153116226196,33.64
13.541375637054443,33.54
13.695226430892944,33.54
13.828450679779053,33.35
13.964441299438477,33.64
14.09493088722229,33.54
14.228914737701416,33.54
14.354965448379517,33.54
14.506059408187866,33.54
14.682590007781982,33.54
14.812824964523315,33.54
14.962654113769531,33.54
15.095654010772705,33.54
15.228995561599731,33.54
15.380619287490845,33.64
15.532039642333984,33.35
15.68263864517212,33.54
15.815093517303467,33.54
15.947388410568237,33.35
16.10054636001587,33.55
16.233465909957886,33.35
16.382689237594604,33.54
16.533400774002075,33.54
16.683213472366333,33.54
16.854498624801636,33.54
16.984158992767334,33.74
17.162906408309937,33.54
17.29408288002014,33.54
17.428645133972168,33.55
17.564910173416138,33.54
17.728917360305786,33.64
17.86166214942932,33.54
18.00905966758728,33.54
18.13945245742798,33.54
18.296513319015503,33.54
18.430513381958008,33.54
18.565298318862915,33.54
18.698893070220947,33.54
18.85294008255005,33.54
18.985934495925903,33.25
19.12034583091736,33.44
19.25140619277954,33.54
19.40197515487671,33.54
19.5573251247406,33.54
19.69498872756958,33.54
19.846420764923096,33.54
19.981240272521973,33.54
20.128204822540283,33.54
20.283035039901733,33.54
20.41698169708252,33.54
20.553985118865967,33.74
20.68662142753601,33.54
20.86737060546875,33.54
21.036327362060547,33.54
21.188270807266235,33.54
21.355852127075195,33.54
21.5084445476532,33.54
21.671117305755615,33.54
21.80494999885559,33.44
21.942685842514038,33.54
22.076040267944336,33.54
22.212419509887695,33.54
22.34891104698181,33.54
22.48369812965393,33.54
22.61951756477356,33.54
22.7548565864563,33.54
22.88889479637146,33.54
23.039692401885986,33.64
23.194039583206177,33.44
23.34474754333496,33.44
23.476110219955444,33.44
23.628855228424072,33.54
23.786418914794922,33.54
23.921205520629883,33.64
24.097989559173584,33.44
24.248313426971436,33.44
24.40276288986206,33.44
24.536104202270508,33.44
24.67201042175293,33.44
24.828407287597656,33.44
24.959267616271973,33.44
25.11276388168335,33.44
25.248293161392212,33.44
25.381637573242188,33.54
25.5387122631073,33.44
25.69479274749756,33.44
25.82909083366394,33.54
25.98383641242981,33.44
26.1366548538208,33.44
26.303988933563232,33.44
26.457828998565674,33.54
26.61788558959961,33.44
26.795222282409668,33.44
26.967994928359985,33.44
27.09984588623047,33.44
27.231950283050537,33.44
27.414091110229492,33.44
27.547432899475098,33.64
27.724331378936768,33.54
27.872565031051636,33.35
28.02867031097412,33.44
28.16154646873474,33.44
28.312811136245728,33.44
28.44723606109619,33.44
28.600932836532593,33.35
28.760770559310913,33.44
28.892122268676758,33.64
29.024567127227783,33.44
29.15994095802307,33.35
29.31006932258606,33.44
29.44427251815796,33.35
29.594526290893555,33.44
29.751734256744385,33.35
29.884469032287598,33.44
30.01694107055664,33.44
30.172657012939453,33.44
30.30395269393921,33.44
30.43987798690796,33.35
30.609745025634766,33.35
30.789023637771606,33.54
30.94220471382141,33.44
31.092361450195312,33.44
31.241066932678223,33.35
31.372043132781982,33.35
31.53059434890747,33.35
31.690773248672485,33.45
31.862303733825684,33.45
32.01894283294678,33.45
32.19177603721619,33.44
32.326422452926636,33.35
32.46078419685364,33.44
32.6088125705719,33.35
32.76365280151367,33.35
32.914146423339844,33.44
33.05018949508667,33.44
33.18623924255371,33.35
33.34091544151306,33.35
33.50014019012451,33.35
33.63530993461609,33.44
33.769731283187866,33.44
33.921138763427734,33.35
34.076035261154175,33.35
34.208991289138794,33.44
34.34395956993103,33.35
34.48370289802551,33.35
34.61475610733032,33.54
34.76727795600891,33.35
34.940553188323975,33.35
35.07169795036316,33.35
35.24497079849243,33.35
35.37647747993469,33.35
35.544167041778564,33.44
35.684887409210205,33.35
35.83353853225708,33.44
36.00054979324341,33.35
36.14921760559082,33.35
36.28348898887634,33.35
36.40911364555359,33.35
36.54335331916809,33.54
36.6806902885437,33.35
36.81945729255676,33.44
36.972808599472046,33.35
37.12697076797485,33.35
37.262367725372314,33.35
37.43668603897095,33.35
37.57259154319763,33.44
37.7451069355011,33.35
37.89230275154114,33.35
38.051419258117676,33.44
38.182732343673706,33.35
38.31651186943054,33.35
38.46518349647522,33.35
38.60340595245361,33.35
38.77636384963989,33.35
38.916385650634766,33.44
39.043659925460815,33.35
39.21564793586731,33.35
39.3510525226593,33.15
39.50737428665161,33.35
39.6405143737793,33.15
39.792160749435425,33.35
39.96818923950195,33.35
40.10426926612854,33.35
40.251848459243774,33.35
40.40454936027527,33.35
40.55279612541199,33.35
40.70983552932739,33.35
40.84234690666199,33.35
41.00132513046265,33.35
41.13875675201416,33.35
41.27243232727051,33.35
41.41186714172363,33.35
41.56649446487427,33.54
41.703402519226074,33.35
41.85670495033264,33.44
42.00480318069458,33.35
42.13633942604065,33.35
42.28579306602478,33.25
42.440479040145874,33.35
42.5744833946228,33.35
42.731693983078,33.35
42.86914777755737,33.35
43.02316093444824,33.35
43.15926194190979,33.35
43.29234719276428,33.25
43.42593789100647,33.35
43.58311939239502,33.54
43.71646475791931,33.35
43.847583293914795,33.35
43.98318004608154,33.35
44.1519341468811,33.35
44.281890869140625,33.35
44.4160521030426,33.35
44.55242848396301,33.06
44.68565082550049,33.35
44.82166790962219,33.35
44.956528186798096,33.25
45.08676719665527,33.35
45.21969676017761,33.35
45.36819648742676,33.15
45.54145431518555,33.35
45.67577600479126,33.35
45.805768966674805,33.35
45.957265853881836,33.35
46.088133573532104,33.06
46.21926736831665,33.35
46.3720600605011,33.35
46.54692888259888,33.35
46.72335243225098,33.35
46.856810331344604,33.25
46.9909782409668,33.35
47.122066259384155,33.35
47.293301582336426,33.35
47.42600417137146,33.26
47.5962028503418,33.35
47.7307493686676,33.25
47.88425302505493,33.06
48.0179705619812,33.35
48.15134358406067,33.25
48.30447268486023,33.35
48.43533372879028,33.25
48.566012382507324,33.35
48.72103762626648,33.35
48.85315752029419,33.35
49.005260705947876,33.06
49.137932538986206,33.26
49.273478269577026,33.35
49.40747117996216,33.35
49.58016848564148,33.25
49.716983795166016,33.35
49.852391958236694,33.25
50.000680923461914,33.35
50.150521993637085,33.25
50.28395438194275,33.35
50.4130072593689,33.35
50.56265449523926,33.35
50.71715259552002,33.25
50.89895725250244,33.25
51.0329864025116,33.25
51.180299043655396,33.25
51.313570976257324,33.06
51.46101975440979,33.35
51.59377956390381,33.06
51.72375679016113,33.25
51.87939810752869,33.25
52.01389026641846,33.06
52.19034194946289,33.25
52.34531617164612,33.35
52.480586767196655,33.25
52.61253619194031,33.25
52.7679557800293,33.25
52.922709465026855,33.25
53.05853843688965,32.96
53.21250557899475,33.25
53.365034103393555,33.25
53.516693115234375,33.25
53.6757378578186,32.96
53.807536602020264,33.35
53.96204447746277,33.25
54.09840250015259,33.06
54.25384831428528,33.25
54.41031336784363,33.25
54.54325032234192,32.96
54.715110301971436,33.25
54.868234634399414,33.25
55.01858997344971,32.96
55.1726291179657,33.15
55.325376749038696,32.96
55.456350326538086,33.15
55.629239082336426,32.96
55.75915217399597,33.25
55.93194031715393,32.96
56.06412148475647,33.25
56.21652913093567,33.25
56.3515625,33.25
56.50967216491699,33.25
56.65930795669556,33.15
56.7946982383728,33.25
56.92573642730713,33.15
57.0570170879364,33.25
57.20937132835388,33.25
57.36072087287903,33.25
57.528377532958984,33.25
57.684199810028076,33.15
57.863709926605225,33.35
57.99827861785889,33.25
58.17900013923645,32.96
58.33483648300171,33.15
58.51067352294922,32.96
58.66769337654114,33.35
58.82078742980957,32.96
58.99226450920105,33.25
59.12884879112244,33.06
59.28065299987793,33.25
59.416839361190796,33.15
59.569663763046265,33.44
59.72058296203613,33.15
59.86848211288452,33.15
60.00382661819458,33.15
60.13377666473389,33.15
60.270684003829956,33.25
60.40419244766235,33.25
60.55730223655701,32.96
60.69062376022339,33.15
60.86603403091431,33.15
60.997724294662476,33.25
61.130414724349976,33.15
61.267738342285156,33.25
61.4033567905426,33.15
61.56035614013672,33.25
61.69536209106445,33.15
61.85265755653381,33.25
61.98619031906128,33.25
62.16286849975586,32.96
62.31902837753296,33.15
62.45157194137573,33.15
62.619985818862915,32.96
62.75486755371094,33.15
62.885619163513184,33.15
63.03230381011963,32.96
63.184587717056274,33.15
63.31473755836487,33.15
63.47268605232239,32.96
63.62138533592224,33.15
63.77581310272217,33.15
63.912025451660156,32.96
64.05065703392029,33.25
64.18245530128479,33.15
64.31697082519531,32.96
64.45268893241882,33.15
