Time (s),GPU 0 Power (W)
0.10017156600952148,33.16
0.2567582130432129,32.58
0.403045654296875,32.58
0.5388622283935547,32.58
0.673898458480835,32.58
0.8087992668151855,36.44
0.9618122577667236,36.73
1.1348564624786377,37.91
1.2611174583435059,37.81
1.3874611854553223,60.33
1.5298166275024414,60.42
1.6759905815124512,60.52
1.8031442165374756,60.42
1.9333937168121338,60.52
2.059278964996338,61.21
2.182831048965454,60.72
2.306349754333496,61.21
2.454108238220215,60.72
2.6233179569244385,60.62
2.765627145767212,60.52
2.893549680709839,60.62
3.022958278656006,60.52
3.1654529571533203,60.52
3.294588804244995,60.81
3.426131010055542,60.52
3.574162483215332,60.62
3.705611228942871,60.62
3.835326671600342,60.62
3.967533826828003,60.62
4.096763610839844,60.62
4.2231764793396,60.72
4.3534204959869385,60.62
4.481935262680054,60.62
4.610586881637573,60.72
4.759064197540283,60.62
4.890963077545166,60.72
5.057985544204712,60.81
5.186293601989746,60.62
5.314165830612183,60.62
5.461807012557983,60.52
5.590273141860962,60.62
5.719621896743774,60.62
5.846528053283691,60.62
5.978423357009888,60.62
6.106267213821411,60.81
6.23447847366333,60.72
6.362698793411255,60.72
6.494273662567139,60.81
6.643166780471802,61.41
6.769557476043701,60.72
6.9007158279418945,60.81
7.0457444190979,60.72
7.174062490463257,60.72
7.303617477416992,60.62
7.469909429550171,60.52
7.622619152069092,60.72
7.774772644042969,60.91
7.906659841537476,60.72
8.076076030731201,60.72
8.219727754592896,60.81
8.36335301399231,60.62
8.506664752960205,61.02
8.658650636672974,60.72
8.821767807006836,61.02
8.953290939331055,60.72
9.081270694732666,60.72
9.250723838806152,60.72
9.394668102264404,60.81
9.52513575553894,61.12
9.65726375579834,60.72
9.82585096359253,60.81
9.976295948028564,61.51
10.118118286132812,60.81
10.265760660171509,60.72
10.393993616104126,60.81
10.522310256958008,60.81
10.671148777008057,60.81
10.80148959159851,60.81
10.92996621131897,60.72
11.099084615707397,60.72
11.231283903121948,60.81
11.375657081604004,60.72
11.517729997634888,60.72
11.645437955856323,60.81
11.773234844207764,60.81
11.91950249671936,60.72
12.044353723526001,60.91
12.189728260040283,60.81
12.315384149551392,60.72
12.461872816085815,60.81
12.611654281616211,60.81
12.755439281463623,60.81
12.885294437408447,60.81
13.014660358428955,60.91
13.16200852394104,60.92
13.331991910934448,61.02
13.47457480430603,60.81
13.622963905334473,60.81
13.754379272460938,61.51
13.882368564605713,60.72
14.007184028625488,60.81
14.149852752685547,60.91
14.273884296417236,60.81
14.403170824050903,60.72
14.54586386680603,60.62
14.695868253707886,60.81
14.820220708847046,60.72
14.94676399230957,60.72
15.0900297164917,60.81
15.218264102935791,60.72
15.362495183944702,60.72
15.490469932556152,60.62
15.620707273483276,60.81
15.749961137771606,61.6
15.877898931503296,61.51
16.00750970840454,60.62
16.140666484832764,60.91
16.28823184967041,60.72
16.453673601150513,60.81
16.602144479751587,60.72
16.75163245201111,60.91
16.883299350738525,60.81
17.030842781066895,60.81
17.173832654953003,60.81
17.29918885231018,60.81
17.446171283721924,60.81
17.598928928375244,60.81
17.767008304595947,60.81
17.897525548934937,60.72
18.030932188034058,60.81
18.175554990768433,60.91
18.303291082382202,60.81
18.44994878768921,60.91
18.59806203842163,60.91
18.7477068901062,60.81
18.878748178482056,60.91
19.02318239212036,60.91
19.16967463493347,61.01
19.3003671169281,60.81
19.429746866226196,60.81
19.593477249145508,60.91
19.726415634155273,60.91
19.854354858398438,60.91
19.983320951461792,60.81
20.12590479850769,60.91
20.254124879837036,61.02
20.404949426651,60.91
20.536564111709595,60.92
20.66685652732849,60.91
20.799293994903564,60.91
20.94819474220276,60.91
21.07496666908264,60.91
21.217790365219116,60.91
21.345903158187866,60.92
21.493839025497437,60.91
21.618679523468018,60.81
21.76812243461609,61.01
21.8940110206604,60.91
22.02116346359253,60.91
22.146967887878418,60.91
22.29013228416443,60.91
22.418291091918945,60.91
22.545917987823486,60.91
22.677987337112427,61.02
22.80560564994812,61.01
22.949841260910034,61.02
23.07895302772522,61.01
23.209532499313354,60.81
23.37367534637451,61.02
23.541570901870728,61.02
23.666714429855347,61.01
23.794363498687744,61.02
23.942413091659546,61.12
24.070545196533203,61.02
24.19893527030945,61.02
24.3287091255188,60.91
24.473894596099854,61.02
24.6182119846344,61.02
24.747782707214355,60.91
24.873249292373657,61.02
25.002655506134033,61.02
25.169631242752075,61.01
25.297417640686035,61.12
25.42781352996826,61.02
25.573869466781616,61.02
25.706233501434326,61.12
25.83415722846985,61.02
25.98146414756775,61.21
26.131690979003906,61.02
26.273781776428223,61.12
26.40311336517334,61.12
26.526938676834106,61.02
26.6755268573761,61.02
26.818166971206665,60.81
26.945908784866333,61.12
27.076775074005127,61.21
27.203592777252197,61.02
27.333465814590454,61.12
27.48240876197815,61.12
27.609936952590942,61.02
27.756535530090332,61.02
27.88546586036682,61.12
28.01264762878418,61.12
28.142698287963867,61.02
28.275017499923706,61.12
28.422492265701294,61.12
28.569865226745605,61.12
28.719956636428833,61.02
28.8468017578125,61.12
28.977195978164673,61.12
29.106009244918823,61.21
29.234617948532104,61.12
29.382534742355347,61.02
29.51053023338318,61.12
29.639996767044067,61.12
29.781694412231445,61.02
29.905307054519653,61.02
30.03078007698059,61.21
30.174416542053223,61.12
30.301995754241943,61.12
30.430649280548096,61.21
30.557939529418945,61.01
30.687921047210693,61.12
30.81710171699524,61.12
30.94953465461731,61.89
31.114492416381836,61.21
31.242517948150635,61.12
31.371922492980957,61.99
31.51800012588501,61.12
31.68751859664917,61.12
31.81800150871277,61.21
31.96571636199951,61.12
32.09471654891968,61.12
32.2264347076416,61.21
32.37410831451416,61.12
32.53799891471863,61.21
32.68745493888855,61.12
32.81236743927002,61.21
32.93970775604248,61.21
33.0668842792511,61.12
33.209628105163574,61.12
33.3400502204895,61.21
33.50628042221069,61.21
33.67071270942688,61.31
33.81595039367676,61.21
33.94783425331116,61.21
34.07501721382141,61.21
34.21764540672302,61.21
34.34588932991028,61.21
34.47437930107117,61.21
34.62348818778992,61.31
34.752445697784424,61.21
34.89840316772461,61.12
35.02647686004639,61.21
35.15447211265564,61.21
35.282427072525024,61.21
35.41085910797119,61.21
35.557801961898804,61.31
35.707632541656494,61.21
35.837541580200195,61.31
35.986090421676636,61.21
36.11454796791077,61.21
36.24183249473572,61.41
36.36803865432739,61.31
36.49219226837158,61.21
36.621429204940796,61.31
36.75115394592285,61.89
36.913705348968506,61.31
37.06267762184143,61.21
37.19040632247925,61.31
37.31856083869934,61.21
37.446242332458496,61.41
37.57425236701965,61.21
37.70522928237915,61.31
37.82876801490784,61.31
37.953941106796265,61.31
38.07964897155762,61.31
38.207282066345215,61.21
38.33767342567444,61.31
38.48635458946228,61.31
38.63824772834778,61.31
38.78657007217407,61.31
38.93400859832764,61.31
39.0597403049469,61.41
39.18606448173523,61.31
39.31434154510498,61.31
39.442007064819336,61.02
39.59034991264343,60.72
