Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
0.00012976,272.124,230.844,502.968
0.100226,417.168,310.285,727.453
0.200944,898.884,730.144,1629.03
0.301211,578.637,360.651,939.289
0.401007,539.358,434.574,973.932
0.501792,244.419,201.311,445.731
0.601561,286.059,230.508,516.567
0.702383,286.799,232.549,519.348
0.80218,357.903,280.627,638.53
0.902937,304.839,248.572,553.411
1.00276,281.117,226.088,507.205
1.10252,302.076,239.299,541.374
1.20229,283.071,229.377,512.448
1.30206,296.943,241.671,538.614
1.40181,284.382,230.941,515.323
1.50155,280.473,228.036,508.509
1.60233,299.113,239.937,539.05
1.70214,294.52,234.846,529.366
1.80285,370.257,307.253,677.51
1.90263,273.603,222.275,495.878
2.00334,326.643,260.538,587.181
2.10312,289.266,234.762,524.027
2.20387,287.564,232.343,519.907
2.30362,291.21,236.092,527.302
2.40436,279.528,226.322,505.85
2.5041,293.692,236.254,529.946
2.60485,275.395,222.188,497.583
2.7046,291.432,237.556,528.988
2.80526,342.247,284.056,626.303
2.905,301.325,252.54,553.865
3.00578,291.42,235.108,526.529
3.10554,298.181,237.534,535.715
3.20629,335,260.85,595.85
3.30607,302.856,243.116,545.973
3.40681,307.495,250.653,558.148
3.50658,349.698,257.777,607.475
3.60738,315.329,252.038,567.367
3.70714,303.62,250.776,554.396
3.80684,343.269,284.351,627.62
3.90661,300.943,247.372,548.315
4.00633,282.942,226.178,509.12
4.10609,298.675,242.926,541.601
4.20585,295.291,236.994,532.285
4.3056,280.364,224.595,504.959
4.40533,292.583,235.135,527.718
4.50507,285.087,230.879,515.967
4.60481,295.784,240.183,535.967
4.70456,272.417,220.372,492.789
4.80424,327.798,275.197,602.995
4.90499,288.337,235.713,524.05
5.00473,294.703,238.659,533.362
5.10446,282.289,228.657,510.946
5.2042,316.507,250.169,566.675
5.30378,356.872,278.252,635.124
5.40447,277.646,226.849,504.495
5.50419,290.924,234.644,525.568
5.60494,280.091,226.652,506.743
5.70469,322.298,252.017,574.315
5.80538,328.515,279.948,608.463
5.90513,298.779,242.39,541.169
6.00596,294.074,237.194,531.267
6.10574,287.71,228.165,515.875
6.20549,304.308,249.514,553.822
6.30523,279.377,226.214,505.592
6.40501,303.485,244.168,547.653
6.50476,280.535,227.256,507.791
6.60449,296.641,241.449,538.091
6.70426,283.731,230.1,513.831
6.80393,325.846,269.101,594.948
6.90468,301.58,250.385,551.965
7.00444,286.986,232.201,519.187
7.1042,325.352,255.311,580.663
