Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
5.777e-05,629.776,453.077,1082.85
0.0976899,316.746,195.057,511.802
0.197478,569.084,324.019,893.103
0.298029,727.01,530.863,1257.87
0.397455,362.227,329.062,691.289
0.497132,334.156,293.48,627.636
0.597865,441.262,360.836,802.098
0.697455,102.57,107.039,209.609
0.798141,579.192,446.231,1025.42
0.897341,133.153,116.179,249.332
0.99694,306.37,230.468,536.838
1.0965,163.475,151.647,315.122
1.19707,83.1021,78.8365,161.939
1.29639,5338.27,3266.1,8604.37
1.39585,8295.97,4942.77,13238.7
1.49777,8406.77,5103.22,13510
1.59532,8178.71,4896.07,13074.8
1.69489,8308.98,5016.82,13325.8
1.79558,8321.51,5012.41,13333.9
1.89519,8235.96,4971.12,13207.1
1.99477,8563.68,5395.22,13958.9
2.09515,8341.49,4967.73,13309.2
2.19468,8328.34,5028.91,13357.2
2.29419,8275.86,4993.52,13269.4
2.39479,8350.64,5016.48,13367.1
2.49545,8331.56,5030.04,13361.6
2.595,8240.73,5605.1,13845.8
2.69559,8373.16,8271.15,16644.3
2.79516,8235.11,5546.64,13781.8
2.89472,8306.51,4991.66,13298.2
2.99526,8240.99,7203.12,15444.1
3.09482,8445,8430.53,16875.5
3.19442,8166.75,8064.69,16231.4
3.29987,9914.91,8721.53,18636.4
3.3953,34812.5,28046.6,62859.1
3.49471,34535.2,28039.8,62574.9
3.59416,12503,9796.44,22299.5
3.69474,775.849,774.046,1549.9
3.79529,1346.52,1220.82,2567.34
3.89486,1702.97,1469.97,3172.94
3.9954,193.937,103.06,296.996
4.09599,1358.95,1094.55,2453.49
4.19554,3003.62,2525.23,5528.86
4.29508,2012.27,2005.35,4017.62
4.39566,2169.8,2275.15,4444.95
4.49519,2204.77,2927.1,5131.87
4.59473,2191.95,2387.13,4579.08
4.69531,2206.91,2345.8,4552.7
4.79486,3340.73,2980.29,6321.02
4.89528,2584.67,2297.31,4881.97
4.99587,1841.19,1523.29,3364.48
5.09644,3760.9,2572.8,6333.7
5.19603,5774.84,3196.2,8971.04
5.29652,9173.67,5198.96,14372.6
5.39711,11160.5,6720.8,17881.3
5.49672,6500.8,4617.52,11118.3
5.59727,8699.08,4006.78,12705.9
5.6978,5983.99,4701.26,10685.3
5.79735,4939.75,3806.22,8745.97
5.8979,6724.77,4628.51,11353.3
5.99844,7555.71,5582.78,13138.5
6.09798,2105.03,2200.31,4305.34
6.19751,2436.95,2677.14,5114.09
6.29815,2628.47,2907.7,5536.17
6.39769,2053.51,2096.26,4149.77
6.49723,1999.63,1842.22,3841.85
6.59777,2005.83,2119.86,4125.69
6.6973,1803.29,1814.09,3617.38
6.79685,2034.68,2008.19,4042.87
6.89742,1479.91,1265.17,2745.08
6.99796,202.579,185.427,388.006
7.0975,3743.67,927.796,4671.46
7.19811,5541.06,2844.41,8385.47
7.29865,6465.53,2332.9,8798.42
7.39824,8190.72,3202.63,11393.3
7.49878,4098.46,2161.53,6259.98
7.59933,8143.09,3149.86,11292.9
7.69887,5602.58,2955.72,8558.3
7.7994,6753.66,2456.52,9210.18
7.89998,8287.75,3218,11505.8
7.99957,3722.36,1931.36,5653.72
8.10021,8551.58,3465.21,12016.8
8.20077,7056.59,3439.67,10496.3
8.30032,5477.21,2099.05,7576.26
8.4009,8162.68,3301.03,11463.7
8.50146,5155.47,2671.27,7826.74
8.60102,7096.93,2607.32,9704.25
8.70157,7998.2,3080.38,11078.6
8.80213,3892.18,2029.92,5922.11
8.90169,8270.24,3233.01,11503.3
9.00223,6268.53,3155.22,9423.75
9.10279,6246.07,2186.96,8433.04
9.20234,7996.66,3087.01,11083.7
9.30289,4714.5,2414.12,7128.62
9.40345,7263.23,2686.36,9949.59
9.503,6967.57,3338.96,10306.5
9.60256,5645.17,2150.05,7795.22
9.7031,8231.24,3237.17,11468.4
9.80264,5141.44,2648.53,7789.97
9.90228,7057.58,2594.96,9652.54
10.0028,8594.42,3404.44,11998.9
10.1024,3962.5,1994.13,5956.62
10.202,8424.48,3309.25,11733.7
10.3025,6523.38,3405.31,9928.69
10.4021,5817.2,1895.26,7712.46
10.5016,8322.07,3321.21,11643.3
10.6022,3973.26,2040.99,6014.26
10.7018,8140.65,3126.98,11267.6
10.8013,7352.43,3342.09,10694.5
10.9019,5482.22,2098.14,7580.36
11.0015,8830.61,3349.27,12179.9
11.101,5938.43,2931.29,8869.72
11.2016,6496.57,2427.25,8923.82
11.3011,8380.92,3268.96,11649.9
11.4007,4162.94,2201.32,6364.26
11.5013,6103.73,2126.49,8230.21
11.6009,123.168,101.035,224.204
11.7004,2120.57,88.9965,2209.57
11.801,2162.99,125.384,2288.37
11.9015,60.9126,58.3674,119.28
12.0011,2060.37,79.2262,2139.6
12.1016,305.31,190.527,495.837
12.2022,2232.18,1221.92,3454.1
12.3015,1377.2,918.502,2295.7
12.4018,1592.12,1158.59,2750.71
12.5023,4009.15,2692.07,6701.22
12.6029,7138.61,3734.52,10873.1
12.7025,13914.2,6644.56,20558.7
12.802,14196.3,6744.77,20941.1
12.9026,12907.7,5578.16,18485.9
13.0022,5998.14,3060.81,9058.96
13.1017,8492.07,3340.72,11832.8
13.2023,8271.29,7103.24,15374.5
13.3019,4139.85,3696.56,7836.41
13.4014,8724.84,3380.12,12105
13.502,5206.86,5562.27,10769.1
13.6016,7144,4975.22,12119.2
13.7011,8574.91,3869.53,12444.4
13.8017,4122.31,3088.26,7210.57
13.9012,7978.17,7047.49,15025.7
14.0008,7832.15,4408.86,12241
14.1015,5111.05,2114.78,7225.83
14.201,8122.87,3069.31,11192.2
14.3006,4296.41,2216.24,6512.65
14.4011,8231.21,3176.22,11407.4
14.5006,8132.66,3125.19,11257.8
14.6002,3946.8,2121.79,6068.59
14.7008,8529.62,3593.78,12123.4
14.8004,5567.28,2851.05,8418.34
14.8999,6441.56,2247.55,8689.1
15.0005,8524.16,3370.01,11894.2
15.1001,4575.02,2274.66,6849.68
15.1997,7980.35,2996.36,10976.7
15.3002,6162.16,3137.14,9299.29
15.3998,6269.33,2131.67,8401
15.4993,8247.65,3210.37,11458
15.5999,4513.23,2269.1,6782.33
15.6994,7743.66,2873.98,10617.6
15.799,7338.25,3051.72,10390
15.8996,4809.28,2021.12,6830.4
16.0002,8420.39,3261.85,11682.2
16.0997,5403.38,2623.99,8027.37
16.2003,7419.09,2683.51,10102.6
16.2999,8228.39,3115.28,11343.7
16.3993,4096.21,1836.65,5932.86
16.4998,8891.39,3313.8,12205.2
16.6003,5573.24,2769.83,8343.07
16.6999,7314.86,2710.82,10025.7
16.7995,8131.48,3185.67,11317.1
16.9001,4899.42,2279.5,7178.92
16.9998,8244.36,3103.6,11348
17.1004,8209.08,3085.54,11294.6
17.2009,4932.15,2061.66,6993.81
17.3006,6660.43,2391.18,9051.6
17.4011,174.572,123.622,298.195
17.5016,2121.66,87.3798,2209.04
17.6012,2091.23,63.4976,2154.73
17.7018,196.523,199.504,396.027
17.8023,2180.89,188.734,2369.63
17.9018,121.373,79.1424,200.515
18.0024,2179.29,1271.49,3450.78
18.1029,1860.07,1124.5,2984.58
18.2025,3214.85,2154.35,5369.2
18.303,4925.38,2686.2,7611.59
18.4036,8838.27,5041.45,13879.7
18.5032,14738.3,7666.2,22404.4
18.6037,13610.9,5816.04,19426.9
18.7043,8895.38,3565.36,12460.7
18.8039,4168.32,2174.42,6342.74
18.9034,8358.1,3154.07,11512.2
19.004,6452.03,3172.02,9624.06
19.1035,6087.51,2169.48,8256.99
19.2032,8116.19,3068.69,11184.9
19.3037,5103.63,2743.39,7847.02
19.4034,7127.4,2581.9,9709.31
19.504,8145.52,3169.93,11315.4
19.6045,4718.67,2074.09,6792.76
19.7041,8572.3,3410.01,11982.3
19.8046,6240.49,3175.17,9415.65
19.9052,5784.11,1892.07,7676.18
20.0048,8641.53,3434.71,12076.2
20.1053,4668.81,2346.51,7015.33
20.2059,7580.24,2795.99,10376.2
20.3054,6863.96,3199.49,10063.5
20.4049,5473.66,2067.94,7541.6
20.5055,8324.92,3256.38,11581.3
20.6051,5380.96,2749,8129.96
20.7047,6911.48,2423.6,9335.09
20.8053,8379.32,3275.46,11654.8
20.9048,3988.68,1961.59,5950.28
21.0054,8710.68,3427.17,12137.8
21.106,6666.24,3316.96,9983.19
21.2056,5622.51,1922.66,7545.17
21.3051,8481.85,3324.07,11805.9
21.4057,6200.4,3148.57,9348.98
21.5052,6422.01,2103.39,8525.4
21.6058,8557.42,3280.55,11838
21.7064,4414.25,1986.91,6401.16
21.806,8677.16,3371.6,12048.8
21.9056,5218.85,2680.09,7898.94
22.0061,7029.63,2492.74,9522.37
22.1056,8416.05,3317.1,11733.2
22.2051,4095.61,1777.87,5873.48
22.3057,9201.92,3641.47,12843.4
22.4052,8068.38,3259.11,11327.5
22.5049,5105.21,2169.79,7275
22.6054,8145.75,3072.19,11217.9
22.7049,6249.72,3346.8,9596.52
22.8045,6361.27,2167.1,8528.37
22.9051,8025.99,3050.93,11076.9
23.0056,3937.57,1938.55,5876.12
23.1052,6544.25,2356.4,8900.65
23.2057,459.274,182.834,642.107
23.3062,1941.95,110.118,2052.06
23.4058,2098.57,76.7117,2175.29
23.5063,70.1875,56.5018,126.689
23.6069,2068.68,71.6134,2140.29
23.7064,779.525,520.204,1299.73
23.8142,3239.87,2340.9,5580.77
23.9068,1621.82,1358.97,2980.8
24.0063,932.836,485.868,1418.7
24.1068,1664.51,1526.84,3191.35
24.2074,1059,358.077,1417.08
24.3069,825.767,300.14,1125.91
24.4075,1381.09,811.835,2192.92
24.5081,1355.91,821.044,2176.96
24.6077,1063.1,540.41,1603.51
24.7082,1876.38,675.84,2552.22
24.8088,4577.79,998.554,5576.35
24.9084,1254.88,598.335,1853.21
25.0097,1217.4,889.767,2107.17
25.1087,666.953,471.663,1138.62
25.2083,484.196,329.432,813.628
Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
2.3259e-05,619.349,417.144,1036.49
0.0966755,679.508,344.826,1024.33
0.196354,743.336,535.295,1278.63
0.297015,507.338,411.095,918.433
0.396661,239.574,208.212,447.786
0.497377,219.404,130.147,349.551
0.596862,214.635,150.338,364.973
0.696405,365.048,212.38,577.428
0.796976,240.939,180.781,421.72
0.897552,267.367,190.704,458.071
0.997148,114.776,75.4618,190.237
1.0977,106.442,39.8963,146.338
1.19714,756.02,580.004,1336.02
1.29641,8283.49,7949.74,16233.2
1.39669,8314.92,8230.77,16545.7
1.49709,8331.64,8267.14,16598.8
1.59742,8452.76,8530.84,16983.6
1.69779,8487.04,8297.08,16784.1
1.79814,8318.23,8248.31,16566.5
1.89852,7744.54,6321.28,14065.8
1.99885,8418.98,5125.55,13544.5
2.0982,8259.63,4929.6,13189.2
2.19757,8197.18,4889.85,13087
2.29786,8364.93,5122.89,13487.8
2.39824,8535.33,5122.19,13657.5
2.49856,8104.48,4904.9,13009.4
2.59885,8457.83,5103.73,13561.6
2.69917,8462.75,5168.15,13630.9
2.79984,8362.72,5055.95,13418.7
2.89941,8342.27,5014.16,13356.4
3.00005,8401.49,5134.08,13535.6
3.1007,8407.06,5022.97,13430
3.20032,8221.45,4983.69,13205.1
3.304,22630.6,23273.7,45904.3
3.41197,34447.5,37147.9,71595.4
3.49995,31046.4,32155.6,63202.1
3.60039,2342.62,2467.53,4810.15
3.70094,746.55,716.947,1463.5
3.8005,1243.06,1177.06,2420.12
3.90016,1527,1298.79,2825.78
4.00074,191.444,114.386,305.83
4.10031,1644.26,1668.59,3312.84
4.20091,2164.19,2383.73,4547.92
4.30146,2144.66,2206.91,4351.56
4.40098,1902.76,2154.78,4057.54
4.50151,2262.05,2258.24,4520.29
4.60204,2786.88,2427.68,5214.56
4.70156,2088.63,2063.15,4151.78
4.80111,3730.7,2924.02,6654.72
4.90173,2859.62,2387.45,5247.08
5.00136,1986.36,1418.62,3404.97
5.10099,3356.02,2284.75,5640.77
5.20162,7651.32,3925.22,11576.5
5.30121,10590.3,6630.45,17220.8
5.40181,7446.58,4268.62,11715.2
5.50141,6140.1,4042.21,10182.3
5.60104,8129.08,4979.01,13108.1
5.70162,7093.79,3597.04,10690.8
5.80117,7269.76,5129.83,12399.6
5.90078,3363.72,3042.33,6406.05
6.00133,5823.13,3989.32,9812.45
6.10089,2347.34,2587.53,4934.87
6.20046,2357.98,2683.6,5041.57
6.30106,2347,2631.86,4978.85
6.4007,2241.32,2375.13,4616.45
6.50124,1667.02,1435.29,3102.31
