Time (s),GPU 0 Power (W)
0.10023379325866699,35.63
0.2782292366027832,35.63
0.42859911918640137,35.63
0.586435079574585,35.63
0.7204861640930176,35.63
0.8982861042022705,35.63
1.033447265625,35.63
1.1998381614685059,35.63
1.334993839263916,35.63
1.4716076850891113,35.53
1.620971918106079,35.63
1.8031392097473145,35.63
1.930480718612671,35.63
2.086799144744873,35.63
2.264932870864868,35.63
2.4365463256835938,35.53
2.5898444652557373,35.63
2.7220401763916016,35.63
2.8718552589416504,36.05
3.110999822616577,35.63
3.266561508178711,35.63
3.4234955310821533,39.59
3.588508367538452,38.2
3.7402024269104004,38.4
3.894385814666748,38.71
4.067135572433472,38.4
4.199062824249268,38.4
4.348816871643066,38.3
4.517337083816528,38.62
4.669652700424194,38.4
4.843168020248413,38.4
5.010715484619141,38.4
5.167914390563965,38.4
5.302534580230713,38.91
5.4726715087890625,37.52
5.608362913131714,37.52
5.7434022426605225,37.62
5.879735946655273,37.42
6.014695882797241,37.42
6.1432483196258545,37.52
6.263634204864502,37.62
6.384115219116211,37.42
6.5549156665802,37.52
6.731457471847534,37.91
6.902325391769409,41.55
7.06683874130249,51.4
7.193113088607788,38.3
7.316352844238281,37.52
7.440963506698608,37.42
7.56629204750061,58.79
7.694005489349365,97.79
7.844627141952515,133.76
7.988718032836914,226.05
8.128248929977417,232.21
8.273123025894165,247.46
8.413629293441772,252.61
8.574190616607666,222.36
8.73751711845398,236.7
8.901703119277954,233.95
9.059958219528198,257.93
9.228692054748535,255.75
9.39176630973816,240.15
9.557266473770142,229.2
9.722608089447021,237.07
9.886072635650635,254.41
10.038097620010376,257.41
10.177319765090942,222.87
10.318563461303711,228.42
10.480501174926758,241.35
10.645079612731934,256.97
10.813549518585205,262.43
10.978501558303833,214.59
11.138798236846924,232.05
11.27981424331665,248.9
11.422645092010498,258.82
11.638009071350098,222.09
11.786561727523804,250.99
11.952029466629028,259.04
12.096690654754639,271.18
12.257073402404785,263.36
12.396214962005615,217.71
12.538821697235107,236.47
12.702788829803467,248.11
12.870522260665894,254.46
13.034645318984985,245.93
13.196926832199097,210.8
13.3600332736969,250.2
13.509247064590454,235.93
13.674649477005005,227.25
13.797759532928467,62.09
13.937463521957397,62.38
14.057759046554565,62.49
14.18073558807373,61.41
14.323734045028687,61.7
14.446556091308594,61.51
14.571354389190674,61.6
14.693304300308228,60.72
14.851720333099365,60.42
15.01163101196289,60.33
15.136472225189209,60.33
15.306263446807861,60.23
15.451822519302368,60.23
15.5973379611969,45.6
15.739639282226562,197.68
15.906693458557129,183.29
16.04817032814026,242.76
16.217554092407227,218.84
16.36672282218933,243.54
16.5138680934906,250.29
16.63627314567566,252.74
16.759793043136597,241.15
16.904698610305786,240.1
17.02486538887024,208.76
17.170440435409546,61.12
17.309292554855347,60.91
17.473806858062744,264.59
17.615503787994385,270.93
17.78243923187256,218.71
17.95049738883972,231.14
18.089148998260498,230.21
18.209032773971558,249.45
18.37851309776306,257.24
18.547804355621338,221.52
18.716039180755615,226.62
18.85774278640747,248.02
19.019789218902588,255.31
19.187405347824097,254.64
19.335416078567505,214.92
19.49990487098694,221.01
19.670654773712158,245.42
19.830684185028076,225.52
19.97321844100952,260.0
20.113020181655884,266.12
20.27657461166382,263.62
20.403122901916504,221.05
20.573291540145874,239.72
20.739489555358887,258.76
20.910256147384644,269.46
21.07036542892456,222.78
21.22973322868347,227.73
21.37250542640686,251.57
21.5345561504364,260.11
21.69417095184326,266.98
21.85455083847046,227.01
22.022003173828125,226.07
22.161167860031128,250.52
22.301403999328613,254.19
22.463208436965942,253.82
22.630960702896118,257.13
22.800371408462524,199.19
22.95109248161316,205.31
23.09861660003662,252.79
23.237172842025757,264.06
23.37595510482788,62.28
23.516218900680542,64.65
23.63820767402649,64.17
23.75922465324402,63.18
23.88319706916809,62.99
24.030001401901245,62.79
24.15523052215576,62.79
24.277426958084106,62.68
24.397640705108643,62.59
24.55765652656555,62.38
24.69632077217102,62.39
24.856103658676147,62.28
25.02339792251587,62.28
25.187883853912354,39.88
25.35551118850708,108.35
25.503210306167603,206.62
25.6295485496521,206.51
25.754657983779907,216.4
25.87779998779297,253.55
26.006784915924072,251.36
26.1296603679657,249.56
26.252698183059692,245.83
26.379040241241455,251.56
26.525099754333496,244.38
26.645725965499878,63.67
26.805867671966553,63.28
26.965044021606445,235.59
27.108171701431274,243.78
27.279191732406616,254.03
27.402765035629272,261.93
27.544761657714844,256.22
27.669827938079834,219.22
27.792072534561157,224.07
27.96023178100586,233.82
28.08578372001648,251.08
28.227631092071533,260.13
28.369791269302368,269.07
28.542263984680176,218.64
28.681098699569702,242.86
28.82113790512085,251.56
28.96586298942566,250.61
29.13391137123108,278.31
29.29891848564148,249.42
29.46688199043274,234.97
29.592496156692505,252.72
29.756105661392212,209.5
29.881771326065063,250.36
30.042836904525757,252.41
30.195282697677612,242.93
30.36603307723999,242.87
30.51241421699524,245.78
30.66271471977234,260.36
30.806921243667603,249.04
30.950924396514893,239.8
31.119151830673218,227.1
31.265718936920166,237.57
31.41085958480835,241.92
31.577754974365234,252.55
31.740447998046875,246.77
31.88952398300171,247.81
32.03976583480835,250.21
32.190741539001465,249.47
32.339035749435425,246.56
32.50555491447449,214.2
32.62753415107727,67.09
32.747397661209106,66.98
32.869476556777954,65.44
32.99173164367676,65.92
33.131813526153564,65.34
33.2955424785614,65.53
33.44045829772949,65.36
33.601442098617554,65.14
33.751230001449585,64.83
33.92334818840027,68.95
34.04859805107117,64.85
34.17504811286926,230.91
34.29621624946594,248.35
34.44115591049194,223.14
34.56785559654236,235.14
34.73974370956421,240.01
34.86546492576599,236.32
34.98765158653259,240.12
35.11170434951782,232.76
35.261242389678955,231.57
35.43045377731323,66.6
35.591161012649536,65.44
35.70849871635437,262.37
35.87657117843628,239.87
36.036672592163086,235.87
36.206257343292236,242.54
36.37156391143799,252.18
36.53854012489319,246.18
36.6809868812561,259.02
36.82042050361633,254.75
36.96489644050598,247.29
37.1308114528656,233.93
37.293752908706665,237.28
37.43614864349365,244.47
37.583377838134766,230.43
37.728092432022095,227.06
37.89330816268921,238.53
38.041446685791016,240.07
38.1865336894989,233.93
38.33462643623352,247.07
38.477956771850586,200.3
38.64163565635681,236.68
38.7681725025177,226.59
38.89280033111572,250.0
39.065457820892334,219.38
39.21086406707764,228.56
39.38226079940796,249.33
39.5256233215332,217.77
39.66477870941162,245.55
39.78912687301636,222.11
39.93106722831726,229.78
40.07593083381653,220.96
40.22338056564331,229.8
40.39240479469299,248.01
40.55742359161377,200.74
40.68294405937195,240.66
40.830897092819214,242.42
40.97838377952576,69.75
41.10256028175354,68.08
41.264973640441895,67.69
41.42547583580017,67.39
41.591071367263794,67.69
41.75581216812134,67.08
41.88298320770264,153.48
42.03218626976013,210.2
42.1771240234375,205.94
42.31655979156494,205.87
42.438472747802734,218.15
42.58011603355408,221.99
42.729294538497925,215.12
42.85310959815979,214.05
42.97691202163696,224.14
43.10148334503174,70.72
43.2763237953186,67.69
43.447304010391235,246.62
43.61486625671387,236.8
43.77742314338684,238.35
43.943437814712524,241.1
44.119988203048706,241.75
44.29032778739929,222.69
44.45843553543091,238.44
44.59755206108093,244.15
44.7363224029541,217.62
44.89956545829773,248.77
45.04735207557678,252.3
45.193960189819336,204.51
45.32039475440979,247.58
45.46602392196655,242.15
45.631529092788696,250.01
45.7967312335968,232.16
45.924442768096924,239.78
46.12370848655701,229.93
46.29250407218933,231.85
46.43340873718262,225.39
46.5786292552948,239.84
46.70522975921631,253.23
46.86688828468323,236.34
46.991377115249634,247.37
47.11595034599304,234.37
47.240988969802856,225.26
47.40814018249512,231.25
47.554834842681885,230.01
47.68065786361694,240.86
47.84516215324402,241.74
47.98801636695862,246.48
48.10934257507324,230.13
48.25309467315674,250.6
48.37375330924988,231.23
48.536749601364136,71.8
48.69605255126953,70.65
48.83992314338684,69.66
49.00381684303284,69.46
49.169557094573975,67.48
49.33851671218872,121.1
49.50325036048889,216.7
49.6562557220459,214.64
49.79959559440613,206.28
49.95176100730896,209.72
50.09907865524292,220.22
50.22557234764099,221.91
50.394535779953,226.63
50.54507875442505,211.38
50.71422839164734,214.28
50.85665202140808,69.36
50.9975950717926,69.36
51.1235830783844,69.27
51.27439761161804,68.77
51.391512393951416,68.67
51.53695797920227,68.19
51.667046546936035,68.67
51.80452275276184,67.99
51.94555306434631,67.9
52.07067632675171,67.89
52.21265769004822,67.69
52.33704161643982,67.69
52.48612880706787,68.37
52.62455654144287,68.28
52.79678559303284,41.96
52.96899461746216,42.05
53.14464712142944,42.13
53.27507662773132,41.94
53.40515613555908,41.96
53.54102659225464,42.05
53.67711687088013,41.76
53.83249521255493,42.24
53.987804651260376,41.94
