Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
0.000101775,663.979,743.46,1407.44
0.0970803,174.869,156.508,331.377
0.198082,119.898,116.17,236.068
0.297867,208.602,239.443,448.044
0.397765,52.119,100.65,152.769
0.498741,75.3862,107.389,182.775
0.598797,94.8915,176.403,271.294
0.698843,2676.9,2028.34,4705.24
0.798891,1682.44,1144.9,2827.34
0.898907,123.42,88.6523,212.072
0.998916,138.953,93.4643,232.417
1.09895,295.364,209.153,504.517
1.19917,1637.95,1533.72,3171.67
1.2993,1906.76,1639.48,3546.24
1.40445,7295.38,5793.74,13089.1
1.50449,4434.6,3368.91,7803.51
1.60464,3376.27,1600.3,4976.57
1.70654,2522.96,1057.88,3580.84
1.80465,2428.79,953.834,3382.62
1.91258,3546.4,1316.52,4862.92
2.01268,16992.1,5850.8,22842.9
2.12321,2749.45,2424.03,5173.48
2.22333,3168.79,2547.06,5715.85
2.32356,7736.41,6936.46,14672.9
2.42373,18874.5,2410.45,21285
2.524,10682.2,4944.1,15626.3
2.62423,8590.77,5765.77,14356.5
2.72461,27184.1,6530.24,33714.3
2.82483,16564.3,14170.8,30735.2
2.92493,2636.46,2384.41,5020.87
3.03244,3603.06,2559.44,6162.51
3.1327,12139.7,5797.6,17937.3
3.23297,23791.7,11559,35350.7
3.349,41052.9,25933.1,66986
3.44934,45042.4,30124.4,75166.8
3.54959,45150,27954.7,73104.6
3.64984,45152,30258.4,75410.4
3.75013,36306.4,23766,60072.4
3.862,40908.5,25371.5,66280
3.96234,38382.6,25972,64354.5
4.06168,40281.5,25288.6,65570.1
4.162,41121.9,25616.5,66738.5
4.27771,40285.1,27121.8,67406.8
4.37797,46273,28531.6,74804.6
4.47822,43845,29494.2,73339.2
4.57844,23126.6,14868.1,37994.7
4.68958,25467.8,13851.2,39319
4.78987,22032.5,2001.86,24034.4
4.89019,28879.7,7753.52,36633.3
4.99045,22901.2,14633.8,37535
5.09078,40012.3,25623.7,65635.9
5.20425,41788.2,27042.6,68830.8
5.3045,44766,29143,73909
5.40372,42277.4,27176.7,69454.1
5.50414,37007,24152.3,61159.3
5.61597,41326.9,27741.6,69068.5
5.71624,41046.1,25836.4,66882.5
5.81656,38610.5,26307.1,64917.6
5.91686,40533.7,25827.5,66361.2
6.0316,41182,26219.4,67401.3
6.13192,44652.1,29384.7,74036.8
6.23221,45578.1,29423.1,75001.2
6.33243,44328.8,29071.3,73400.1
6.43268,39595.9,9193.94,48789.9
6.53777,27512.8,9771.92,37284.7
6.63792,20302.9,11674.4,31977.3
6.73793,20802.4,14013.4,34815.8
6.83823,40513.7,26022.5,66536.2
6.9434,41653.2,28113.9,69767.1
7.04356,49344.5,31046.7,80391.1
7.14367,48425.3,31316,79741.3
7.24369,49393.7,31783.4,81177
7.34375,48883,31880.2,80763.2
7.44395,47434.8,31441.4,78876.2
7.54421,49107.8,32360.3,81468.1
7.64429,44448.1,27911.6,72359.7
7.74901,44653.5,29917.4,74570.8
7.84899,37007.3,24299,61306.3
7.94917,44084,27181,71265
8.04934,37429.2,4560.92,41990.1
8.14949,30318.9,13874.4,44193.3
8.24976,43475,27451,70926
8.35799,42331.2,28230.6,70561.8
8.45796,48504.4,31381.7,79886.1
8.558,49063.1,30940.1,80003.3
8.65815,48835.4,31813,80648.4
8.75832,49082.5,31636,80718.4
8.8584,47471.5,31375.1,78846.6
8.95854,48548.8,32208.6,80757.4
9.05859,33967.5,22486.4,56453.9
9.16581,40856.4,24791.7,65648.1
9.2659,17703.3,13322.4,31025.7
9.36647,36390.6,22613.3,59003.9
9.46575,43153.9,27139.8,70293.6
9.57664,41437.7,19510.9,60948.6
9.68171,40413.8,9072.89,49486.7
9.78622,38804.9,25539.5,64344.4
9.88631,47693.2,31939.5,79632.7
9.98637,50468.7,31288.8,81757.5
10.0864,47709.7,32016.7,79726.4
10.1865,49202.7,31284.3,80487
10.2866,48348.2,30911,79259.2
10.3868,49144.1,31375.2,80519.3
10.488,47533.5,31429.2,78962.8
10.5871,43442.2,29724,73166.2
10.6939,46050,28613.1,74663.2
10.7939,40383.2,26078.9,66462.2
10.8942,42066.4,27490.8,69557.2
10.9943,41489.8,24729.2,66218.9
11.0945,38553.1,3654.79,42207.9
11.1948,31898.6,18162.2,50060.8
11.2949,40739.6,27294.9,68034.6
11.3951,43002.3,27033.3,70035.6
11.5077,44413.2,29164.1,73577.3
11.6047,48080.5,30714.8,78795.3
11.7046,47620.1,31898.8,79519
11.8047,49650.8,31544.5,81195.2
11.9048,48183.5,30887.9,79071.3
12.005,49317.4,31518.3,80835.7
12.1051,49079.8,32230.9,81310.7
12.2052,47477.6,31457.6,78935.2
12.3115,46928.9,31020.7,77949.6
12.4117,24944.2,15015.4,39959.6
12.5119,33867.1,19051,52918.1
12.6121,27472.8,2107.73,29580.5
12.7122,25900.2,11337.8,37238
12.8124,36407.2,23145,59552.2
12.9186,43233.4,28407,71640.5
13.0187,48588.9,30444.5,79033.4
13.1189,49098.4,32716.3,81814.6
13.219,49296.8,30922.3,80219.2
13.3191,47998.6,31540.3,79538.9
13.4192,48224.5,32085.9,80310.3
13.5194,50155.3,31057.8,81213.1
13.6195,47672.9,31895.4,79568.3
13.7197,49323.4,31484.3,80807.8
13.8198,48126.5,30559.9,78686.4
13.9199,49177.7,31316.4,80494
14.02,47213.7,14751.7,61965.3
14.123,37180.6,15054,52234.6
14.2232,41401.6,26283.8,67685.4
14.3234,38020.1,25564.1,63584.2
14.4236,35439.1,23586.1,59025.2
14.5238,43643.6,27025.7,70669.4
14.6316,41910,28530.8,70440.8
14.7316,49374.7,30555.4,79930
14.8317,47907.3,31375.6,79282.9
14.9318,48278.6,32153,80431.5
15.0319,49795.7,30847.3,80642.9
15.132,47766.7,31917.9,79684.6
15.2321,49379.2,31338.6,80717.9
15.3322,48330,30795.6,79125.6
15.4323,46165.1,25565.6,71730.8
15.5385,44107.3,8232.94,52340.2
15.6387,33092.7,21117.9,54210.6
15.7387,42163.2,27481.9,69645.1
15.8389,42067.5,27788.6,69856
15.9392,42088.2,27333.7,69421.9
16.0486,43749,27699.1,71448.2
16.1487,48127.2,31053.8,79180.9
16.2487,49432.2,31744.6,81176.9
16.3487,48906.4,31798.3,80704.7
16.4487,46995.3,31185.4,78180.7
16.5488,49378.5,32232.6,81611
16.6488,34970,23332.7,58302.7
16.7535,38862.2,23776.5,62638.7
16.8537,20618.7,14940.8,35559.5
16.9539,32349.5,20227.8,52577.3
17.054,40592,12419.4,53011.4
17.1542,34567,9035.66,43602.7
17.2544,38587.2,25724.9,64312.1
17.3632,43167.8,28414.6,71582.4
17.4633,48700.4,30467.9,79168.2
17.5634,48063.3,32564.6,80628
17.6636,49929.3,31014,80943.2
17.7628,47998.5,31550.9,79549.4
17.8629,47967.2,31974.9,79942.1
17.963,50506.7,31157.9,81664.6
18.0631,47972.8,32194.4,80167.2
18.1632,49244,31109.6,80353.6
18.2634,48325.5,31137.7,79463.2
18.3635,49445.2,31697.1,81142.3
18.4636,47014.2,14764,61778.1
18.5687,36926.2,14842.7,51768.9
18.67,42342.3,27134.1,69476.4
18.769,41777.5,28271.6,70049.1
18.8692,43004.7,26498.6,69503.3
18.9774,42746.2,28025.6,70771.8
19.0775,47017.4,30054.4,77071.8
19.1774,43693,29549.7,73242.7
19.2775,45836.5,28695.2,74531.7
19.3776,45860.2,31172.9,77033.1
19.4777,49392.3,30754.4,80146.7
19.5779,48169.9,31401.9,79571.7
19.678,48315.8,32037,80352.8
19.7784,49694.2,31235.2,80929.3
19.8785,44108,21725.9,65834
19.9822,41653.7,8699,50352.7
20.0824,35707.2,24153.6,59860.8
20.1816,43741.3,27119,70860.3
20.2807,40574.3,27701.2,68275.5
20.3904,44845.5,27664.3,72509.8
20.4905,47117.9,32078.9,79196.8
