Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
0.000122508,8250.1,5821.64,14071.7
0.0998258,219.95,254.031,473.981
0.199397,77.3398,71.7964,149.136
0.298947,125.208,109.249,234.456
0.399483,113.428,89.351,202.78
0.499013,238.334,151.509,389.843
0.598529,80.5382,75.7382,156.276
0.699107,82.4634,78.6662,161.13
0.799664,82.7424,88.6758,171.418
0.899206,124.846,114.633,239.479
0.999755,86.8979,85.1974,172.095
1.10029,73.4598,74.448,147.908
1.19981,70.8109,73.6966,144.508
1.30002,3344.4,1357.63,4702.04
1.40027,4808.56,3295.32,8103.88
1.50058,4862.31,4489.94,9352.25
1.6009,10071.2,7359.91,17431.1
1.70118,15011.1,8342.82,23353.9
1.80207,20032.5,12981.7,33014.3
1.90142,19560.7,8078.38,27639.1
2.00172,21894.7,12699.6,34594.3
2.10198,22813.8,13712.8,36526.6
2.20224,5094.95,2085.51,7180.47
2.30251,4832.97,3794.6,8627.58
2.40277,6881.35,6014.66,12896
2.50329,15830.2,12114.1,27944.3
2.6071,21604.6,12855.4,34460
2.70342,32769.3,13065.5,45834.8
2.80468,28292.9,21426.5,49719.3
2.90397,12282.6,4111.36,16393.9
3.00431,5295.24,2868.37,8163.61
3.10458,4520.97,3988.81,8509.78
3.2049,11696.9,10170.8,21867.7
3.30543,10849.1,6974.83,17823.9
3.40473,25043.9,13557,38600.9
3.50511,37907.8,18939.6,56847.4
3.60544,19451.2,15640.2,35091.4
3.7057,12589.5,3872.85,16462.3
3.80594,6063.24,4035.66,10098.9
3.90629,3523.67,3334.33,6857.99
4.00679,11068.4,9442.99,20511.4
4.10743,13264.4,7319.93,20584.3
4.20704,33585.9,18662.3,52248.2
4.30757,34785.4,19961.5,54746.9
4.40782,17782,9092.32,26874.3
4.50713,5252.6,2385.07,7637.67
4.60653,4666.94,3786.71,8453.65
4.70581,8129.47,6634.17,14763.6
4.80612,8663.21,6892.18,15555.4
4.90933,16733.2,11462.5,28195.7
5.00695,27042,11978.3,39020.2
5.10951,16978.4,6531.57,23510
