Time (s),GPU 0 Power (W),GPU 1 Power (W),GPU 2 Power (W),GPU 3 Power (W)
0.0,207.47,215.67,206.8,108.27
0.21822881698608398,198.08,202.48,206.04,97.48
0.4432058334350586,170.01,148.63,182.89,93.88
0.6415061950683594,156.67,148.83,158.26,136.6
0.8453774452209615,130.05,136.27,119.33,150.27
1.0591304302215576,135.51,108.32,116.36,133.85
1.2498886585235596,116.29,98.27,99.67,159.79
1.4781346321105957,113.4,160.12,114.59,176.28
1.7293798923492432,135.48,162.79,123.91,132.03
1.952899932861314,152.27,161.96,152.66,125.24
2.1856715679168843,186.35,204.14,198.51,102.09
2.413700819015503,131.92,145.72,127.39,139.16
2.6332011222839355,134.72,118.72,118.46,134.55
2.8431758880615234,182.92,206.95,204.04,101.64
3.0451624393463135,213.91,163.84,169.96,92.41
3.2500388622283936,145.9,128.47,123.63,153.33
3.4870531558990336,113.0,97.99,96.06,162.03
3.6894762516021586,135.7,154.56,138.82,204.18
3.894653558731079,142.55,160.67,160.85,138.14
4.131053924560561,195.39,209.43,208.24,102.31
4.353998184204102,177.32,141.53,133.2,98.07
4.542097806930542,144.79,131.22,143.92,142.78
4.74597311019896,149.95,117.34,119.47,151.11
4.9484968185424805,121.04,102.6,97.2,164.4
5.186400890350342,121.2,151.36,142.0,200.78
5.421071052551284,102.06,127.6,129.47,154.15
5.632610321044922,148.78,150.17,135.92,205.39
5.847849845886245,139.63,156.92,167.37,130.36
6.033252477645874,211.2,192.2,188.63,115.45
6.262970209121704,144.48,123.53,123.93,159.68
6.4914262294769145,112.81,109.08,96.76,161.61
6.712394475936875,132.05,149.97,145.35,200.35
6.914344310760498,158.13,167.56,160.16,129.68
7.103386163711562,165.86,190.71,198.49,136.54
7.306602716445923,191.56,202.37,202.09,109.68
7.518872261047363,174.07,143.37,119.94,154.52
7.736188173294082,124.23,105.7,101.03,148.26
7.941705465316758,105.64,111.67,92.91,155.23
8.156023263931274,145.96,146.8,138.12,180.15
8.366321325302124,134.59,173.24,160.66,111.72
8.594264507293701,160.76,169.79,174.5,119.89
8.798464298248277,210.47,172.63,167.79,98.98
9.003384113311753,147.26,120.63,119.12,155.76
9.184254646301284,123.54,103.28,98.94,164.93
9.414829969406114,103.12,144.49,144.2,190.35
9.645419359207153,138.91,158.33,135.28,133.28
9.8784658908844,177.04,195.49,190.4,104.85
10.108106851577759,197.18,157.94,158.36,142.21
10.314888000488281,133.31,113.83,116.0,160.15
10.529230117797837,107.93,153.79,125.11,177.88
10.732391119003296,141.1,147.33,143.19,158.61
10.934715032577515,155.25,173.68,180.22,129.59
11.171818733215318,188.25,165.79,170.63,107.3
11.3742609024048,122.79,104.48,108.5,159.63
11.576708316802979,119.17,140.04,148.78,199.05
11.798368930816636,143.09,149.42,137.96,200.8
12.024716138839722,167.2,174.37,174.84,111.55
12.233174324035645,209.75,202.63,149.13,125.17
12.46219897270204,134.11,110.54,116.05,149.9
12.685577630996704,102.22,138.82,92.68,178.05
12.894756555557237,139.09,138.28,148.23,207.03
13.125800848007202,145.25,151.74,159.82,167.35
13.382280588150024,160.82,163.67,156.46,119.14
13.587814807891846,206.77,195.05,202.33,96.51
13.817899465560913,164.29,137.85,145.51,149.86
14.0301034450531,134.7,112.44,127.65,158.58
14.214833974838257,108.85,135.99,100.3,169.78
14.434606790542603,139.3,144.69,145.41,174.95
14.655072212219238,158.41,165.63,155.22,133.2
14.861889600753784,179.38,198.02,202.16,107.41
15.078177452087402,172.87,138.32,156.16,147.37
15.308366775512695,127.38,99.13,123.93,155.94
15.52142596244812,133.1,99.84,111.04,170.24
15.748932838439941,107.33,125.44,125.4,186.36
15.982404947280884,115.17,147.27,135.15,206.18
16.178819417953477,144.23,155.22,154.68,144.16
16.386894702911377,216.57,163.15,195.24,103.76
16.611599922180176,143.22,134.61,148.82,155.68
16.823866128921523,113.69,95.07,108.9,159.48
17.048421859741197,104.5,124.47,92.47,167.03
17.24214482307434,142.83,140.7,144.3,201.15
17.46529483795166,147.44,152.54,166.29,130.85
17.697364330291762,216.45,149.87,174.07,140.55
17.926829814910874,133.57,106.96,113.82,166.58
18.151639223098755,145.1,154.71,136.89,155.79
18.384810924530044,172.58,192.76,170.22,115.73
18.611526250839233,197.14,193.81,199.48,102.5
18.833017349243164,206.32,180.83,206.51,94.26
19.035303115844727,167.07,149.53,133.33,131.11
19.26049423217772,134.13,116.36,125.14,160.76
19.466036319732666,112.83,95.29,94.64,180.05
19.69669222831726,112.67,101.77,112.68,148.87
19.904144287109375,111.54,113.83,103.18,135.25
20.119810819625854,141.07,134.94,146.1,174.18
20.344770193099976,142.61,150.01,158.88,126.02
20.612135410308838,184.93,213.17,208.48,111.25
20.805684804916382,157.11,125.56,141.21,128.88
21.02755618095398,111.21,110.74,98.8,175.35
21.258149385452285,148.21,151.7,144.81,177.09
21.4840886592865,143.33,162.47,140.92,135.71
21.686356067657485,182.09,208.76,208.89,104.39
21.910407304763794,137.32,133.8,124.19,146.44
22.116458415985107,105.36,125.7,92.64,177.57
22.35045599937439,129.2,154.55,151.68,208.93
22.573491096496582,139.28,162.34,142.99,142.91
22.7779643535614,167.18,161.57,195.57,119.86
23.012786388397217,162.13,148.8,190.73,167.5
23.241312503814697,128.43,109.51,130.18,153.26
23.460150480270386,107.84,138.19,98.57,183.05
23.666377067565918,138.83,146.74,148.16,179.94
23.90193247795105,163.12,178.32,164.71,122.0
24.132209062576294,167.58,202.41,209.09,113.26
24.31592559814453,150.58,141.47,131.75,141.21
24.543058156967163,126.11,99.94,114.47,168.71
24.769672870635986,105.16,149.7,93.78,192.71
24.991475582122803,142.54,156.55,136.38,146.24
25.195743083953857,166.51,174.21,157.56,119.69
25.389171361923218,202.55,186.88,192.97,103.94
25.609587907791138,214.14,156.41,158.76,143.44
25.827476263046265,140.91,119.78,119.69,167.72
26.03196096420288,123.79,144.14,151.71,194.54
26.232877731323242,117.88,145.25,153.54,210.21
26.417479038238525,136.81,131.16,146.0,173.75
26.600599765777588,147.85,162.29,140.46,200.96
26.816603899002075,150.26,157.99,156.41,126.97
27.00243830680847,179.78,185.45,163.92,111.04
27.225940227508573,171.3,137.27,148.36,148.21
27.46237015724182,119.36,97.25,108.27,177.72
27.666982650756836,120.58,154.3,123.56,196.09
27.88555121421814,145.62,153.14,145.81,129.72
28.10281229019165,165.38,166.85,158.89,120.06
28.30495595932007,204.82,185.43,208.15,98.66
28.526371240615845,136.55,128.65,130.88,161.86
28.7498197555542,104.9,154.02,98.93,194.92
28.978611707687378,144.32,159.47,147.67,140.2
29.207133531570435,143.57,76.39,149.23,197.46
29.38841676712036,146.66,134.86,151.39,157.74
29.588620901107788,125.39,111.86,126.36,166.87
29.81475019454956,116.18,94.58,110.59,184.5
30.037291049957275,144.86,155.53,148.94,167.76
30.246742725372314,179.14,200.75,199.09,118.55
30.47246742248535,201.24,142.96,164.69,128.31
30.67573118209839,112.93,175.32,183.59,154.85
30.876440286636353,206.79,124.99,138.54,127.48
31.083023071289062,162.03,121.24,133.81,163.9
31.292449235916138,110.68,114.64,104.61,166.52
31.47726321220398,111.42,159.04,123.46,201.77
31.709049224853516,141.17,129.72,140.23,131.12
31.931360960006714,147.83,151.98,154.9,127.86
32.12397909164429,175.09,184.41,145.17,113.83
32.35092568397522,180.71,131.29,159.94,153.06
32.58545207977295,116.61,121.57,100.44,186.85
32.816269636154175,146.76,148.54,148.54,178.27
