Time (s),Core 0 Uncore Frequency (GHz),Core 1 Uncore Frequency (GHz)
0.10020017623901367,0.8,0.8
0.23854780197143555,0.8,0.8
0.3744523525238037,0.8,0.8
0.5017945766448975,0.8,0.8
0.6317424774169922,0.8,0.8
0.7650794982910156,0.8,0.8
0.8962447643280029,0.8,0.8
1.0303864479064941,0.8,0.8
1.1671783924102783,0.8,0.8
1.3109357357025146,0.8,0.8
1.4451818466186523,0.8,0.8
1.5819547176361084,0.8,0.8
1.7146928310394287,0.8,0.8
1.8490712642669678,0.8,0.8
1.9787120819091797,0.8,0.8
2.113550901412964,0.8,0.8
2.247288703918457,2.2,1.2
2.377598285675049,2.2,1.2
2.5105204582214355,2.2,1.2
2.6442949771881104,2.2,1.2
2.7763373851776123,2.2,1.2
2.9070422649383545,2.2,1.2
3.0373153686523438,2.2,1.2
3.171599864959717,2.2,1.2
3.304905891418457,2.2,1.2
3.430427074432373,2.2,1.2
3.5582849979400635,2.2,1.2
3.693803071975708,2.2,1.2
3.825634002685547,1.2,1.2
3.956963300704956,2.2,1.2
4.089280605316162,1.2,1.2
4.2218852043151855,1.2,1.2
4.355645418167114,1.2,1.2
4.508915662765503,1.2,1.2
4.711047172546387,1.6,1.2
4.858327388763428,2.2,1.2
4.989849805831909,2.2,1.2
5.119537353515625,1.2,1.2
5.252696990966797,1.2,1.2
5.38689923286438,1.2,1.2
5.523827075958252,1.2,1.2
5.653357267379761,1.2,1.2
5.787086009979248,1.2,1.2
5.919564962387085,2.2,1.2
6.059858322143555,2.2,1.2
6.196725606918335,2.2,1.2
6.334339380264282,2.2,1.2
6.4698545932769775,1.2,1.2
6.607160806655884,1.2,1.2
6.742680788040161,1.2,1.2
6.877124786376953,2.2,1.2
7.0135087966918945,2.2,1.2
7.147431373596191,2.2,1.2
7.285342454910278,2.2,1.2
7.422966480255127,2.2,1.2
7.559231996536255,2.2,1.2
7.6950438022613525,2.2,1.2
7.828009605407715,2.2,1.2
7.962521314620972,2.2,1.2
8.09735107421875,2.2,1.2
8.233025550842285,2.2,1.2
8.364418745040894,2.2,1.2
8.50423812866211,2.2,1.2
8.643691062927246,2.2,1.2
8.778490781784058,2.2,1.2
8.916379451751709,2.2,1.2
9.055892705917358,2.2,1.2
9.18838357925415,2.2,1.2
9.321771144866943,2.2,1.2
9.458033800125122,2.2,1.2
9.59513807296753,2.2,1.2
9.731238842010498,2.2,1.2
9.86707329750061,2.2,1.2
10.003867864608765,2.2,1.2
10.13898253440857,2.2,1.2
10.275329351425171,2.2,1.2
10.409498929977417,2.2,1.2
10.543657302856445,2.2,1.2
10.678513050079346,2.2,1.2
10.813946962356567,2.2,1.2
10.949618101119995,2.2,1.2
11.08612585067749,2.2,1.2
11.22372579574585,2.2,1.2
11.35875940322876,2.2,1.2
11.496591091156006,2.2,1.2
11.62692141532898,2.2,1.2
11.762017726898193,2.2,1.2
11.901079654693604,2.2,1.2
12.030307054519653,2.2,1.2
12.166090726852417,2.2,1.2
12.303911685943604,2.2,1.2
12.439993619918823,2.2,1.2
12.575008153915405,2.2,1.2
12.709404945373535,2.2,1.2
12.842561721801758,1.2,1.2
12.973983526229858,1.2,1.2
13.10732650756836,1.2,1.2
13.241801023483276,1.2,1.2
13.373491764068604,1.2,1.2
13.51166033744812,1.2,1.2
13.646812438964844,2.2,1.2
13.78249192237854,2.2,1.2
13.920607566833496,2.2,1.2
14.06191611289978,2.2,1.2
14.199620962142944,1.2,1.2
14.3358736038208,2.2,1.2
14.473878622055054,2.2,1.2
14.610968112945557,2.2,1.2
14.74704647064209,2.2,1.2
14.884373426437378,1.2,1.2
15.022374629974365,2.2,1.2
15.155280590057373,2.2,1.2
15.292508363723755,2.2,1.2
15.418686866760254,2.2,1.2
15.549375057220459,2.2,1.2
15.680132389068604,2.2,1.2
15.814467906951904,2.2,1.2
15.951596736907959,2.2,1.2
16.087016582489014,2.2,1.2
16.22230625152588,2.2,1.2
16.359668016433716,2.2,1.2
16.494354963302612,2.2,1.2
16.63437008857727,2.2,1.2
16.770716905593872,2.2,1.2
16.907124757766724,2.2,1.2
17.042467832565308,2.2,1.2
17.17819118499756,2.2,1.2
17.31475067138672,2.2,1.2
17.450828552246094,2.2,1.2
17.586874961853027,2.2,1.2
17.724191188812256,2.2,1.2
17.863821268081665,2.2,1.2
18.001049757003784,2.2,1.2
18.13077664375305,2.2,1.2
18.268059968948364,2.2,1.2
18.39985728263855,2.2,1.2
18.536375522613525,2.2,1.2
18.674519777297974,2.2,1.2
18.810906410217285,2.2,1.2
18.947943449020386,2.2,1.2
19.087074279785156,2.2,1.2
19.22398352622986,2.2,1.2
19.36350965499878,2.2,1.2
19.49865198135376,2.2,1.2
19.634544372558594,2.2,1.2
19.771912097930908,2.2,1.2
19.91002869606018,2.2,1.2
20.047762155532837,2.2,1.2
20.185746669769287,2.2,1.2
20.323562622070312,2.2,1.2
20.459317207336426,2.2,1.2
20.59639048576355,2.2,1.2
20.736592769622803,2.2,1.2
20.868362426757812,2.2,1.2
21.00391983985901,2.2,1.2
21.143926858901978,2.2,1.2
21.27895951271057,2.2,1.2
21.41503381729126,2.2,1.2
21.548813104629517,1.2,1.2
21.682345867156982,1.2,1.2
21.816865921020508,1.2,1.2
21.951848030090332,1.2,1.2
22.085389614105225,1.2,1.2
22.217255353927612,1.2,1.2
22.353532552719116,2.2,1.2
22.49299454689026,2.2,1.2
22.63121008872986,2.2,1.2
22.765970945358276,2.2,1.2
22.90428853034973,2.2,1.2
23.043160915374756,1.2,1.2
23.182722091674805,2.2,1.2
23.319304704666138,2.2,1.2
23.458792686462402,2.2,1.2
23.596301555633545,2.2,1.2
23.731791257858276,1.2,1.2
23.864113330841064,1.2,1.2
23.99579930305481,1.2,1.2
24.124016284942627,1.2,1.2
24.25482749938965,1.2,1.2
24.383117198944092,2.2,1.2
24.511849641799927,2.2,1.2
24.64097785949707,2.2,1.2
24.77522587776184,2.2,1.2
24.9054274559021,2.2,1.2
25.035949230194092,2.2,1.2
25.169962406158447,2.2,1.2
25.306598663330078,2.2,1.2
25.44594407081604,2.2,1.2
25.581576108932495,2.2,1.2
25.717316389083862,2.2,1.2
25.851710557937622,2.2,1.2
25.993759632110596,2.2,1.2
26.132227659225464,2.2,1.2
26.26834797859192,2.2,1.2
26.39925980567932,2.2,1.2
26.539363622665405,2.2,1.2
26.675575256347656,2.2,1.2
26.81521964073181,2.2,1.2
26.956465482711792,2.2,1.2
27.096529245376587,2.2,1.2
27.231082677841187,2.2,1.2
27.36850142478943,2.2,1.2
27.505085468292236,2.2,1.2
27.640141248703003,2.2,1.2
27.775612354278564,2.2,1.2
27.911208629608154,2.2,1.2
28.047467470169067,2.2,1.2
28.18315577507019,2.2,1.2
28.323500156402588,2.2,1.2
28.459238529205322,2.2,1.2
28.59215497970581,2.2,1.2
28.727447032928467,2.2,1.2
28.862083911895752,2.2,1.2
28.997109174728394,2.2,1.2
29.13539171218872,2.2,1.2
29.270758867263794,2.2,1.2
29.408594608306885,2.2,1.2
29.545374393463135,2.2,1.2
29.680963039398193,1.2,1.2
29.818543195724487,1.2,1.2
29.956053018569946,1.2,1.2
30.09274435043335,1.2,1.2
30.23566460609436,2.2,1.2
30.37729549407959,2.2,1.2
30.514804363250732,2.2,1.2
30.64822244644165,1.2,1.2
30.783114194869995,1.2,1.2
30.914669513702393,2.2,1.2
31.049937963485718,2.2,1.2
31.182988166809082,1.2,1.2
31.317097663879395,2.2,1.2
31.45270013809204,2.2,1.2
31.591788053512573,2.2,1.2
31.727632999420166,2.2,1.2
31.8584988117218,2.2,1.2
31.988674879074097,2.2,1.2
32.12401795387268,2.2,1.2
32.25365996360779,2.2,1.2
32.38219952583313,2.2,1.2
32.51129722595215,2.2,1.2
32.64852547645569,2.2,1.2
32.782553911209106,2.2,1.2
32.918983936309814,2.2,1.2
33.05846643447876,2.2,1.2
33.195191860198975,2.2,1.2
33.332056760787964,2.2,1.2
33.4693078994751,2.2,1.2
33.603403091430664,2.2,1.2
33.73535943031311,2.2,1.2
33.873568058013916,2.2,1.2
34.01211142539978,2.2,1.2
34.14324498176575,2.2,1.2
34.27910137176514,2.2,1.2
34.411808013916016,2.2,1.2
34.54759860038757,2.2,1.2
34.68578267097473,2.2,1.2
34.82421517372131,2.2,1.2
34.96090316772461,2.2,1.2
35.099812030792236,2.2,1.2
35.233707427978516,2.2,1.2
35.37028169631958,2.2,1.2
35.50810480117798,2.2,1.2
35.64796781539917,2.2,1.2
35.788602113723755,2.2,1.2
35.927797079086304,2.2,1.2
36.065757274627686,2.2,1.2
36.20424199104309,2.2,1.2
36.34999203681946,2.2,1.2
36.48877549171448,2.2,1.2
36.628525257110596,2.2,1.2
36.7624831199646,2.2,1.2
36.90007948875427,2.2,1.2
37.03349804878235,1.2,1.2
37.166805267333984,2.2,1.2
37.303834199905396,2.2,1.2
37.44020652770996,2.2,1.2
37.57506608963013,2.2,1.2
37.708768129348755,1.2,1.2
37.84147572517395,1.2,1.2
37.983274698257446,1.2,1.2
38.12002372741699,2.2,1.2
38.25880289077759,2.2,1.2
38.39584279060364,1.2,1.2
38.53537917137146,1.2,1.2
38.661805629730225,1.2,1.2
38.793412923812866,1.2,1.2
38.92138314247131,2.2,1.2
39.05498218536377,2.2,1.2
39.19128918647766,2.2,1.2
39.32648849487305,2.2,1.2
39.46064853668213,2.2,1.2
39.59584665298462,2.2,1.2
39.73221778869629,2.2,1.2
39.87256932258606,2.2,1.2
40.01229381561279,2.2,1.2
40.14809799194336,2.2,1.2
40.28315448760986,2.2,1.2
40.42397356033325,2.2,1.2
40.56427764892578,2.2,1.2
40.70439624786377,2.2,1.2
40.844019412994385,2.2,1.2
40.98014235496521,2.2,1.2
41.11689734458923,2.2,1.2
41.25508189201355,2.2,1.2
41.39251780509949,2.2,1.2
41.53106069564819,2.2,1.2
41.66685748100281,2.2,1.2
41.805713176727295,2.2,1.2
41.9446747303009,2.2,1.2
42.077412843704224,2.2,1.2
42.21612071990967,2.2,1.2
42.35140800476074,2.2,1.2
42.48724865913391,2.2,1.2
42.62395143508911,2.2,1.2
42.7593469619751,2.2,1.2
42.90093183517456,2.2,1.2
43.03750920295715,2.2,1.2
43.16781449317932,2.2,1.2
43.297794818878174,2.2,1.2
43.43202447891235,2.2,1.2
43.565476179122925,1.2,1.2
43.69797492027283,1.2,1.2
43.830636501312256,1.2,1.2
43.967225551605225,2.2,1.2
44.103052854537964,2.2,1.2
44.23712730407715,2.2,1.2
44.3738477230072,2.2,1.2
44.510385274887085,2.2,1.2
44.64630389213562,1.2,1.2
44.782315731048584,1.2,1.2
44.920493364334106,1.2,1.2
45.06097054481506,1.2,1.2
45.194249868392944,1.2,1.2
45.327716588974,1.2,1.2
45.46763491630554,1.2,1.2
45.59497833251953,1.2,1.2
45.72835397720337,2.2,1.2
45.86008143424988,2.2,1.2
45.993542432785034,2.2,1.2
46.125245332717896,1.2,1.2
46.25611996650696,1.2,1.2
46.38636779785156,1.2,1.2
46.513814210891724,1.2,1.2
46.64118003845215,1.2,1.2
46.768446922302246,1.2,1.2
46.89811706542969,1.2,1.2
47.02597498893738,1.2,1.2
47.15367913246155,1.2,1.2
47.28604698181152,1.2,1.2
47.421475887298584,2.2,1.2
47.553993940353394,2.2,1.2
47.69122314453125,2.2,1.2
47.82275366783142,2.2,1.2
47.959754943847656,2.2,1.2
48.09286022186279,2.2,1.2
48.22816729545593,2.2,1.2
48.361711502075195,2.2,1.2
