Time (s),Core 0 Uncore Frequency (GHz),Core 1 Uncore Frequency (GHz)
0.10016655921936035,2.1,2.2
0.23464488983154297,2.2,2.2
0.36837077140808105,2.2,2.2
0.5044143199920654,2.2,2.2
0.6403329372406006,2.2,2.2
0.7797033786773682,2.2,2.2
0.9132528305053711,2.2,2.2
1.0447897911071777,2.2,2.2
1.177600383758545,2.2,2.2
1.3092358112335205,1.2,1.2
1.4432671070098877,1.2,1.2
1.586409091949463,1.2,1.2
1.7272300720214844,1.2,1.2
1.8616218566894531,2.2,2.2
1.9926493167877197,2.2,2.2
2.1263813972473145,1.2,1.2
2.2568156719207764,1.2,1.2
2.3919310569763184,1.2,1.2
2.523134708404541,2.2,2.2
2.6544225215911865,2.2,2.2
2.7839653491973877,1.2,1.2
2.9168312549591064,1.2,1.2
3.048006534576416,1.2,1.2
3.181142807006836,1.2,1.2
3.315869092941284,1.2,1.2
3.4495813846588135,2.2,2.2
3.5794923305511475,2.2,2.2
3.7146382331848145,1.2,1.2
3.84690260887146,1.2,1.2
3.9806394577026367,1.2,1.2
4.111375331878662,1.2,1.2
4.245986461639404,1.2,1.2
4.37819504737854,1.2,1.2
4.509889125823975,1.2,1.2
4.6435065269470215,1.2,1.2
4.776485204696655,1.2,1.2
4.911293983459473,1.2,1.2
5.045502662658691,1.2,1.2
5.17483377456665,2.2,2.2
5.30891752243042,2.2,2.2
5.442022323608398,2.2,2.2
5.578263759613037,2.2,2.2
5.708311080932617,1.2,1.2
5.843888998031616,1.2,1.2
5.977609872817993,2.2,2.2
6.112776279449463,2.2,2.2
6.251580476760864,1.2,1.2
6.383953809738159,1.2,1.2
6.5161073207855225,2.2,2.2
6.6496100425720215,2.2,2.2
6.788434982299805,2.2,2.2
6.92376184463501,2.2,2.2
7.05652642250061,2.2,2.2
7.192568778991699,2.2,2.2
7.3237268924713135,2.2,2.2
7.462158679962158,2.2,2.2
7.59607195854187,2.2,2.2
7.728644847869873,1.2,1.2
7.861233949661255,1.2,1.2
7.99466347694397,1.2,1.2
8.127425909042358,1.2,1.2
8.262374639511108,2.2,2.2
8.392109155654907,2.2,2.2
8.527256488800049,1.2,1.2
8.657293796539307,1.2,1.2
8.791003942489624,1.2,1.2
8.922335386276245,1.2,1.2
9.055817365646362,1.2,1.2
9.18720030784607,1.2,1.2
9.320102214813232,1.2,1.2
9.453409910202026,1.2,1.2
9.585783004760742,1.2,1.2
9.716965913772583,1.2,1.2
9.85429048538208,1.2,1.2
9.986888647079468,1.2,1.2
10.126247644424438,1.2,1.2
10.259236335754395,1.2,1.2
10.395421266555786,1.2,1.2
10.529617547988892,1.2,1.2
10.663559913635254,1.2,1.2
10.798993587493896,1.2,1.2
10.929783344268799,1.2,1.2
11.064402341842651,1.2,1.2
11.198004007339478,1.2,1.2
11.32966160774231,1.2,1.2
11.462448596954346,1.2,1.2
11.596903324127197,1.2,1.2
11.733333587646484,1.2,1.2
11.866118907928467,1.2,1.2
11.998371601104736,1.2,1.2
12.127676725387573,1.2,1.2
12.257034540176392,1.2,1.2
12.388667345046997,1.2,1.2
12.521302223205566,1.2,1.2
12.653135776519775,1.2,1.2
12.786758661270142,1.2,1.2
12.920845985412598,1.2,1.2
13.056329727172852,1.2,1.2
13.192609310150146,1.2,1.2
13.326682329177856,1.2,1.2
13.46649718284607,1.2,1.2
13.600386619567871,1.2,1.2
13.736746549606323,1.2,1.2
13.867234468460083,1.2,1.2
14.001207828521729,1.2,1.2
14.129725933074951,1.2,1.2
14.260912656784058,1.2,1.2
14.392608642578125,1.2,1.2
14.52660322189331,1.2,1.2
14.658843755722046,2.2,2.2
14.792712211608887,2.2,2.2
14.933430910110474,1.2,1.2
15.066869497299194,1.2,1.2
15.199151754379272,2.2,2.2
15.331770420074463,2.2,2.2
15.466280460357666,1.2,1.2
15.598773717880249,1.2,1.2
15.734173059463501,2.2,2.2
15.865370750427246,2.2,2.2
16.002164602279663,2.2,2.2
16.131972312927246,2.2,2.2
16.266762256622314,2.2,2.2
16.396302223205566,2.2,2.2
16.530426025390625,2.2,2.2
16.66352391242981,2.2,2.2
16.796088695526123,2.2,2.2
16.93204426765442,1.2,1.2
17.071876049041748,1.2,1.2
17.20876407623291,1.2,1.2
17.342466115951538,1.2,1.2
17.47926354408264,1.2,1.2
17.618044137954712,1.2,1.2
17.751572132110596,1.2,1.2
17.885294198989868,1.2,1.2
18.02093744277954,1.2,1.2
18.15352511405945,1.2,1.2
18.28937339782715,1.2,1.2
18.426610708236694,2.2,2.2
18.564543962478638,2.2,2.2
18.697168111801147,1.2,1.2
18.83215308189392,1.2,1.2
18.96570134162903,2.2,2.2
19.1001398563385,2.2,2.2
19.235483646392822,2.2,2.2
19.36979079246521,2.2,2.2
19.506371021270752,2.2,2.2
19.6405668258667,2.2,2.2
19.771801710128784,2.2,2.2
19.90596032142639,2.2,2.2
20.044996976852417,1.2,1.2
20.18136429786682,1.2,1.2
20.31344723701477,2.2,2.2
20.447532653808594,2.2,2.2
20.579010009765625,2.2,2.2
20.712078332901,2.2,2.2
20.846940755844116,2.2,2.2
20.97478151321411,2.2,2.2
21.109100818634033,2.2,2.2
21.24371600151062,2.2,2.2
21.377477407455444,1.2,1.2
21.510088682174683,1.2,1.2
21.643113374710083,2.2,2.2
21.774051666259766,2.2,2.2
21.903951168060303,2.2,2.2
22.0367910861969,1.2,1.2
22.177728414535522,1.2,1.2
22.305925846099854,1.2,1.2
22.438404321670532,1.2,1.2
22.57469654083252,2.2,2.2
22.71201229095459,2.2,2.2
22.84687352180481,1.2,1.2
22.98823046684265,1.2,1.2
23.1245436668396,2.2,2.2
23.25716257095337,2.2,2.2
23.3928644657135,2.2,2.2
23.523147583007812,2.2,2.2
23.657145261764526,2.2,2.2
23.79068899154663,1.2,1.2
23.922585248947144,1.2,1.2
24.054140329360962,2.2,2.2
24.18761110305786,2.2,2.2
24.318690299987793,2.2,2.2
24.44995403289795,2.2,2.2
24.576964616775513,2.2,2.2
24.70988154411316,2.2,2.2
24.843698024749756,2.2,2.2
24.978993892669678,2.2,2.2
25.11516261100769,1.2,1.2
25.25233793258667,1.2,1.2
25.379785299301147,1.2,1.2
25.514666080474854,1.2,1.2
25.656385898590088,1.2,1.2
25.792030334472656,1.2,1.2
25.93064260482788,1.2,1.2
26.06839108467102,1.2,1.2
26.20709800720215,1.2,1.2
26.339242219924927,1.2,1.2
26.474199533462524,2.2,2.2
26.607224464416504,2.2,2.2
26.7383975982666,2.2,2.2
26.872488498687744,2.2,2.2
27.005098342895508,2.2,2.2
27.136977672576904,1.2,1.2
27.2732892036438,1.2,1.2
27.40289545059204,2.2,2.2
27.533162832260132,2.2,2.2
27.665491819381714,1.2,1.2
27.803961992263794,1.2,1.2
27.93774127960205,1.2,1.2
28.07199192047119,1.2,1.2
28.206557035446167,1.2,1.2
28.339365005493164,1.2,1.2
28.47468590736389,1.2,1.2
28.60797429084778,1.2,1.2
28.740366220474243,1.2,1.2
28.87277388572693,1.2,1.2
29.007792711257935,1.2,1.2
29.142468452453613,1.2,1.2
29.27995800971985,1.2,1.2
29.412734746932983,1.2,1.2
29.545186042785645,1.2,1.2
29.678106784820557,2.2,2.2
29.81037473678589,2.2,2.2
29.94483184814453,1.2,1.2
30.078368425369263,1.2,1.2
30.214454174041748,2.2,2.2
30.348987817764282,2.2,2.2
30.48295521736145,2.2,2.2
30.61463713645935,2.2,2.2
30.746803998947144,2.2,2.2
30.87837862968445,1.2,1.2
31.011203289031982,1.2,1.2
31.14434003829956,1.2,1.2
31.27856421470642,1.2,1.2
31.4196834564209,1.2,1.2
31.554803609848022,1.2,1.2
31.68942928314209,2.2,2.2
31.823123455047607,2.2,2.2
31.959875345230103,1.2,1.2
32.09506845474243,1.2,1.2
32.22993230819702,2.2,2.2
32.35815739631653,2.2,2.2
32.49464297294617,2.2,2.2
32.623674631118774,1.2,1.2
32.76303052902222,1.2,1.2
32.9000985622406,2.2,2.2
33.031537771224976,2.2,2.2
33.16252422332764,2.2,2.2
33.300472021102905,2.2,2.2
33.4344596862793,1.2,1.2
33.56685829162598,1.2,1.2
33.69969058036804,1.2,1.2
33.833518743515015,1.2,1.2
33.97052884101868,1.2,1.2
34.10734415054321,1.2,1.2
34.243473291397095,1.2,1.2
34.37575697898865,2.2,2.2
34.50912928581238,2.2,2.2
34.63997840881348,2.2,2.2
