Time (s),GPU 0 Power (W)
0.10017681121826172,31.8
0.2318868637084961,31.9
0.4106886386871338,31.8
0.5897014141082764,35.74
0.7638461589813232,35.74
0.957221508026123,37.71
1.1059596538543701,37.32
1.2577226161956787,37.32
1.4151840209960938,37.31
1.5448074340820312,37.41
1.6938045024871826,37.52
1.8197174072265625,37.32
1.9527382850646973,37.42
2.0794837474823,37.42
2.2139065265655518,37.42
2.3628780841827393,37.32
2.493435859680176,37.42
2.6627683639526367,37.32
2.8355846405029297,32.01
2.968740463256836,32.01
3.1232175827026367,31.9
3.2540812492370605,31.9
3.388413429260254,31.9
3.5226783752441406,31.9
3.6922993659973145,31.9
3.8433942794799805,31.9
3.996485471725464,31.9
4.135149717330933,31.8
4.271015167236328,32.1
4.447033643722534,31.9
4.580748081207275,31.8
4.731871128082275,31.9
4.884530305862427,31.9
5.052294969558716,31.9
5.223918914794922,31.91
5.360508918762207,31.8
5.528994560241699,31.8
5.6621012687683105,31.8
5.833051681518555,31.9
5.971184492111206,31.9
6.148352861404419,31.9
6.3204498291015625,31.8
6.469604730606079,31.8
6.6406755447387695,31.9
6.777980327606201,31.8
6.911114454269409,31.9
7.061565637588501,31.8
7.233161926269531,31.9
7.4115495681762695,31.9
7.564290285110474,31.8
7.744844198226929,31.8
7.881997346878052,31.9
8.015724420547485,32.1
8.165211915969849,31.9
8.296668767929077,31.9
8.451581716537476,31.8
8.587448596954346,31.8
8.72598648071289,31.8
8.880287170410156,31.9
9.048100233078003,31.9
9.220433712005615,31.9
9.353290796279907,31.8
9.521885871887207,31.8
9.655902862548828,31.9
9.808631658554077,31.8
9.9447500705719,31.8
10.11226487159729,31.7
10.265929460525513,31.8
10.438932418823242,31.8
10.610201597213745,31.9
10.780179262161255,31.7
10.912108182907104,31.8
11.067508459091187,31.9
11.24278473854065,31.9
11.378142595291138,31.8
11.513253688812256,31.8
11.644730567932129,31.9
11.77681016921997,31.9
11.926853656768799,31.9
12.081337451934814,31.9
12.235716342926025,31.9
12.369945764541626,31.8
12.520447492599487,31.9
12.692630529403687,31.9
12.84085202217102,31.8
13.013123273849487,31.9
13.149575233459473,31.9
13.282506704330444,31.8
13.45651388168335,31.8
13.605212211608887,31.9
13.771895170211792,31.9
13.921119213104248,31.8
14.054884672164917,31.8
14.227340459823608,31.8
14.385254621505737,31.9
14.558614253997803,31.91
14.690323114395142,31.9
14.841821670532227,31.8
14.9969482421875,31.9
15.149081230163574,31.8
