Time (s),Core 0 Uncore Frequency (GHz),Core 1 Uncore Frequency (GHz)
0.300429105758667,2.2,0.8
0.6364865303039551,2.2,0.8
0.9747073650360107,2.2,0.8
1.3111352920532227,2.2,0.8
1.6455235481262207,2.2,0.8
1.9794142246246338,2.2,0.8
2.3163750171661377,2.2,0.8
2.6509552001953125,2.2,0.8
2.9874379634857178,2.2,0.8
3.3200647830963135,2.2,0.8
3.6502726078033447,2.2,0.8
3.986419200897217,2.2,0.8
4.32341194152832,2.2,0.8
4.657958507537842,2.2,0.8
4.99395751953125,2.2,0.8
5.32960844039917,2.2,0.8
5.664195775985718,2.2,0.8
6.002166032791138,2.2,0.8
6.335799217224121,2.2,0.8
6.668805837631226,2.2,0.8
7.005704402923584,2.2,0.8
7.345440626144409,2.2,0.8
7.67979621887207,2.2,0.8
8.012927532196045,2.2,0.8
8.349795818328857,2.2,0.8
8.683790683746338,2.2,0.8
9.01859736442566,2.2,0.8
9.357004404067993,2.2,0.8
9.693268299102783,2.2,0.8
10.029804944992065,2.2,0.8
10.363873481750488,2.2,0.8
10.698747873306274,2.2,0.8
11.037841320037842,2.2,0.8
11.373473644256592,2.2,0.8
11.706211566925049,2.2,0.8
12.045240879058838,2.2,0.8
12.378941059112549,2.2,0.8
12.717397689819336,2.2,0.8
13.05423641204834,2.2,0.8
13.38981032371521,2.2,0.8
13.725071430206299,2.2,0.8
14.061920166015625,2.2,0.8
14.398778676986694,2.2,0.8
14.737223863601685,2.2,0.8
15.070998430252075,2.2,0.8
15.406299829483032,2.2,0.8
15.741619348526001,2.2,0.8
16.07509970664978,2.2,0.8
16.408316612243652,2.2,0.8
16.743191242218018,2.2,0.8
17.078372478485107,2.2,0.8
17.414731979370117,2.2,0.8
17.748014211654663,2.2,0.8
18.080705881118774,2.2,0.8
18.41778016090393,2.2,0.8
18.753888607025146,2.2,0.8
19.086699724197388,2.2,0.8
19.422062158584595,2.2,0.8
19.757237195968628,2.2,0.8
20.09214973449707,2.2,0.8
20.429742336273193,2.2,0.8
20.767042636871338,2.2,0.8
21.105960845947266,2.2,0.8
21.43973183631897,2.2,0.8
21.773655652999878,2.2,0.8
22.108896493911743,2.2,0.8
22.444526195526123,2.2,0.8
22.781558990478516,2.2,0.8
23.116514921188354,2.2,0.8
23.453187942504883,2.2,0.8
23.788079500198364,2.2,0.8
24.12508797645569,2.2,0.8
24.461815118789673,2.2,0.8
24.798137187957764,2.2,0.8
25.132690906524658,2.2,0.8
25.47201919555664,2.2,0.8
25.807429313659668,2.2,0.8
26.142322063446045,2.2,0.8
26.477644681930542,2.2,0.8
26.814008951187134,2.2,0.8
27.150055646896362,2.2,0.8
27.484433889389038,2.2,0.8
27.818397760391235,2.2,0.8
28.15258288383484,2.2,0.8
28.486964464187622,2.2,0.8
28.822603464126587,2.2,0.8
29.159711122512817,2.2,0.8
29.496952772140503,2.2,0.8
29.8361234664917,2.2,0.8
30.171342611312866,2.2,0.8
30.504184007644653,2.2,0.8
30.84297490119934,2.2,0.8
31.176733016967773,2.2,0.8
31.511497974395752,2.2,0.8
31.844250440597534,2.2,0.8
32.17821002006531,2.2,0.8
32.51432204246521,2.2,0.8
32.84778833389282,2.2,0.8
33.18520426750183,2.2,0.8
33.52122354507446,2.2,0.8
33.85551738739014,2.2,0.8
34.188732624053955,2.2,0.8
34.526625871658325,2.2,0.8
34.865477323532104,2.2,0.8
35.20493960380554,2.2,0.8
35.54224896430969,2.2,0.8
35.878987312316895,2.2,0.8
