Time (s),GPU 0 Power (W)
0.1002039909362793,37.32
0.2643449306488037,36.83
0.38974761962890625,36.83
0.5495717525482178,36.53
0.6924870014190674,36.92
0.8150737285614014,36.83
0.9600181579589844,36.63
1.0849428176879883,36.73
1.2279443740844727,36.53
1.369762659072876,37.02
1.4973437786102295,36.34
1.6403207778930664,36.73
1.785228967666626,36.83
1.9340834617614746,34.85
2.0585269927978516,35.25
2.181891441345215,35.44
2.3038737773895264,35.15
2.4333736896514893,35.15
2.559264898300171,34.95
2.6826276779174805,35.44
2.807668447494507,34.85
2.9497504234313965,35.05
3.074770450592041,35.34
3.2204723358154297,35.05
3.361666679382324,35.15
3.4868810176849365,35.05
3.6129961013793945,35.05
3.737675428390503,34.85
3.883101463317871,35.24
4.007686138153076,34.76
4.128099679946899,35.05
4.272454261779785,35.15
4.417368412017822,35.05
4.556201219558716,35.05
4.67848539352417,35.24
4.804290294647217,34.85
4.943959712982178,35.05
5.068499565124512,35.24
5.1927690505981445,35.05
5.331867933273315,34.85
5.4739508628845215,35.05
5.598306894302368,35.05
5.745106935501099,34.85
5.9079530239105225,35.24
6.03401780128479,34.85
6.156420946121216,35.14
6.276483774185181,35.15
6.414633750915527,35.05
6.558559894561768,34.85
6.7046544551849365,35.34
6.829067945480347,34.85
6.954334735870361,35.15
7.100769758224487,35.15
7.224153518676758,35.15
7.368298053741455,35.05
7.49690318107605,34.85
7.637052297592163,34.76
7.762044668197632,34.66
7.911060571670532,34.85
8.039170026779175,34.85
8.165254831314087,34.66
8.287692546844482,34.85
8.417558908462524,34.95
8.564398050308228,34.55
8.685672044754028,35.44
8.811793804168701,35.64
8.939533948898315,37.62
9.076648473739624,36.24
9.200160264968872,37.31
9.345319747924805,42.54
9.484454154968262,37.41
9.625526428222656,53.38
9.7743239402771,55.23
9.918407440185547,55.43
10.041381359100342,53.38
10.18116044998169,53.57
10.305389404296875,61.61
10.442114114761353,53.75
10.56538724899292,53.46
10.705203533172607,170.24
10.85024380683899,55.03
11.013274669647217,53.67
11.135546207427979,55.53
11.259855508804321,84.26
11.381755113601685,55.03
11.503987073898315,53.75
11.628428220748901,55.33
11.766354322433472,55.33
11.926101922988892,53.47
12.044736862182617,53.56
12.183613300323486,55.43
12.324049472808838,56.61
12.443541288375854,53.57
12.563524723052979,53.36
12.689145565032959,55.62
12.826051712036133,53.57
12.96551513671875,53.57
13.089698553085327,54.54
13.234686613082886,61.9
13.378112554550171,55.82
13.496604919433594,54.54
13.65574026107788,56.32
13.781030416488647,56.51
13.902179956436157,54.33
14.071890830993652,54.64
14.196190357208252,55.14
14.340728998184204,115.49
14.46179986000061,55.62
14.585026025772095,54.24
14.70771336555481,54.25
14.848253726959229,55.82
14.9700288772583,73.96
15.089441299438477,55.72
15.22970700263977,54.14
15.392305374145508,55.92
15.535754919052124,56.32
15.658120155334473,54.53
15.802119493484497,54.14
15.924330711364746,56.22
16.04901909828186,55.33
16.173364400863647,54.04
16.314721822738647,56.12
16.456700086593628,56.22
16.578972816467285,54.43
16.721335649490356,53.94
16.846379280090332,195.52
16.98942470550537,56.01
17.108748197555542,53.95
17.23394227027893,55.92
17.357818603515625,57.6
17.502296447753906,54.43
17.621024131774902,53.96
17.741761922836304,184.65
17.863090753555298,56.8
18.027757167816162,53.75
18.186795234680176,56.03
18.312771320343018,55.23
18.46157193183899,54.33
18.587806701660156,53.75
18.749501943588257,55.03
18.873649835586548,57.0
18.99640202522278,54.14
19.116870403289795,55.53
19.280468463897705,54.93
19.424058437347412,56.71
19.549402952194214,54.04
19.673109531402588,54.24
19.79497718811035,54.72
19.920289278030396,58.29
20.06021809577942,54.43
20.180431842803955,54.33
20.34401512145996,54.64
20.48839497566223,62.4
20.650032997131348,53.85
20.772138118743896,54.04
20.916903257369995,181.42
21.08852982521057,62.28
21.211302042007446,55.53
21.331804275512695,55.03
21.474122524261475,60.24
21.592336416244507,54.93
21.712644577026367,55.03
21.854915618896484,56.9
21.980308532714844,57.5
22.10027265548706,54.93
22.222452878952026,54.74
22.36323070526123,57.7
22.505510807037354,54.93
22.628201007843018,54.74
22.756580114364624,64.96
22.917510747909546,55.33
23.053473472595215,56.41
23.190932273864746,200.96
23.329346179962158,56.71
23.448216199874878,54.83
23.569369077682495,57.0
23.693443059921265,57.9
23.838311433792114,55.53
23.96399998664856,54.93
24.104310512542725,56.32
24.264084577560425,57.11
24.405559062957764,55.03
24.561086177825928,54.74
24.68319010734558,55.82
24.805058240890503,65.92
24.926373720169067,56.71
25.04808235168457,54.53
25.18579626083374,55.93
25.307714223861694,56.12
25.452104330062866,58.19
25.576679706573486,54.53
25.70071029663086,56.9
25.823526620864868,56.03
25.9609272480011,57.11
26.082755088806152,54.83
26.20535922050476,57.01
26.328763723373413,109.65
26.487281322479248,55.04
26.646814107894897,54.74
26.772945165634155,55.12
26.91081428527832,57.11
27.030072689056396,56.8
27.173360347747803,54.64
27.294906616210938,55.03
27.43603777885437,56.51
27.55934453010559,54.93
27.70163583755493,55.03
27.839849948883057,54.64
27.980443716049194,55.04
28.10487151145935,55.82
28.24560308456421,54.53
28.401358604431152,54.64
28.559213399887085,55.03
28.679386854171753,61.41
28.798558473587036,56.51
28.91945481300354,55.33
29.038756370544434,54.54
29.18112802505493,54.53
29.301260471343994,54.83
29.461467504501343,54.53
29.600295066833496,54.72
29.741715908050537,54.54
29.86546039581299,54.54
29.98888921737671,54.43
30.12601947784424,54.93
30.247336626052856,65.94
30.411017656326294,55.12
