Time (s),GPU 0 Power (W)
0.10019779205322266,38.2
0.251206636428833,37.32
0.3893465995788574,37.02
0.5528974533081055,37.23
0.7165906429290771,37.02
0.8405263423919678,37.13
0.9599871635437012,37.23
1.1006004810333252,36.92
1.2605011463165283,37.23
1.4052009582519531,37.13
1.5296239852905273,36.92
1.655742883682251,37.13
1.7933332920074463,36.92
1.917389154434204,36.04
2.037315607070923,36.04
2.16203236579895,36.34
2.288145065307617,36.04
2.4109292030334473,35.94
2.5737485885620117,36.04
2.700472831726074,36.04
2.8670310974121094,36.34
3.013800621032715,36.04
3.1359832286834717,36.04
3.2602858543395996,36.24
3.3842992782592773,35.94
3.527087688446045,36.04
3.6526412963867188,36.04
3.797304630279541,35.84
3.9215352535247803,36.04
4.047851324081421,36.04
4.195729732513428,36.04
4.320775985717773,35.94
4.4425435066223145,36.04
4.5631022453308105,36.14
4.687208890914917,36.04
4.809449195861816,36.03
4.97344183921814,36.24
5.113065004348755,36.04
5.232846736907959,35.94
5.372335195541382,36.24
5.495172739028931,35.94
5.621572017669678,35.95
5.768726825714111,36.04
5.88702654838562,36.04
6.009448766708374,35.94
6.130919456481934,35.94
6.255410432815552,36.04
6.391275405883789,36.04
6.534749507904053,35.94
6.696693658828735,35.94
6.846575736999512,35.94
6.984907627105713,36.24
7.104963064193726,35.94
7.229073762893677,35.94
7.373021841049194,35.94
7.513096332550049,35.94
7.638239860534668,36.04
7.759837627410889,35.95
7.900819301605225,35.94
8.045260429382324,35.84
8.169555187225342,35.94
8.28973650932312,36.24
8.433362245559692,35.94
8.573884725570679,36.44
8.741275787353516,69.33
8.865164279937744,37.32
8.985075950622559,55.53
9.126478910446167,56.32
9.249955415725708,126.89
9.372918844223022,56.61
9.538151502609253,54.64
9.660665512084961,57.09
9.804564476013184,56.51
9.962726831436157,54.93
10.084887504577637,55.23
10.20760202407837,56.12
10.329016208648682,57.1
10.451135873794556,54.93
10.57480239868164,54.83
10.697196245193481,57.19
10.839286088943481,54.74
10.978854894638062,55.03
11.123058319091797,59.34
11.247509717941284,55.23
11.368514776229858,55.03
11.533220052719116,90.03
11.67550778388977,57.1
11.799126863479614,55.23
11.917584657669067,55.62
12.059417247772217,67.58
12.181158542633057,55.82
12.303076982498169,55.23
12.42435097694397,187.04
12.567557096481323,57.0
12.690289735794067,54.93
12.812313318252563,55.53
12.935108184814453,57.6
13.090413331985474,55.23
13.212075471878052,55.53
13.330352544784546,65.65
13.451337814331055,55.82
13.586948156356812,55.03
13.727432489395142,172.7
13.851521253585815,56.71
13.974220752716064,55.12
14.097590684890747,55.12
14.218167781829834,82.86
14.355101823806763,57.0
14.478985071182251,55.43
14.599836826324463,55.12
14.735584020614624,57.3
14.874723434448242,54.83
14.998016834259033,55.12
15.118539810180664,57.8
15.240003824234009,55.23
15.386250972747803,55.23
15.527360439300537,80.32
15.667765140533447,56.71
15.788004398345947,55.22
15.908756494522095,57.0
16.047444581985474,57.3
16.17129111289978,54.93
16.289311408996582,55.12
16.431346654891968,59.43
16.555622816085815,55.33
16.678378343582153,54.93
16.80029273033142,57.2
16.9214026927948,57.0
17.07876753807068,55.04
17.20188283920288,55.12
17.320377588272095,57.09
17.46340298652649,55.14
17.60313606262207,55.12
17.725547552108765,57.6
17.849467754364014,59.43
17.971945762634277,56.12
18.11070418357849,55.82
18.234888553619385,85.88
18.35643172264099,57.99
18.499099493026733,56.01
18.6349835395813,58.38
18.757436275482178,58.19
18.8763165473938,56.03
18.99984049797058,56.03
19.12328004837036,60.04
19.247056245803833,56.12
19.390841245651245,55.62
19.531537294387817,81.71
19.68669295310974,57.5
19.809686422348022,55.53
19.932295083999634,60.16
20.050586223602295,57.9
20.16731023788452,55.43
20.28933024406433,55.72
20.40812110900879,57.8
20.53036642074585,55.92
20.649213552474976,56.12
20.76732087135315,57.6
20.886472702026367,81.7
21.007806539535522,57.1
21.12945795059204,55.62
21.24789547920227,92.73
21.39414691925049,57.6
21.53174614906311,55.53
21.655179262161255,58.29
21.778573989868164,59.06
21.90223240852356,55.62
22.03879189491272,57.6
22.160584449768066,81.3
22.281115293502808,57.2
22.422756910324097,55.33
22.579063177108765,110.91
22.69788408279419,57.59
22.81805992126465,55.43
22.95521593093872,57.8
23.09508514404297,59.16
23.216403007507324,55.53
23.338794708251953,57.29
23.480544328689575,74.83
23.61911106109619,55.23
23.76296091079712,56.22
23.884564638137817,159.21
24.007423162460327,57.51
24.129234075546265,55.22
24.252264976501465,57.8
24.39570450782776,58.87
24.515904903411865,55.33
24.659621000289917,57.7
24.783786058425903,75.72
24.904025554656982,56.71
25.03864860534668,55.72
25.17549705505371,159.59
25.29433512687683,57.51
25.417592763900757,55.43
25.55945920944214,57.7
25.69516682624817,58.46
25.83174705505371,55.53
25.966901063919067,57.7
26.086243391036987,75.53
26.22336459159851,56.71
26.34349513053894,55.33
26.46302103996277,55.72
26.608113050460815,55.62
26.72846531867981,55.53
26.850837469100952,55.72
26.9717378616333,55.72
27.106597900390625,55.33
27.228022813796997,55.22
27.346306324005127,57.49
27.472261428833008,66.24
