Time (s),GPU 0 Power (W)
0.10018754005432129,37.02
0.26056909561157227,36.34
0.38249754905700684,36.34
0.5476803779602051,36.14
0.6918108463287354,36.34
0.854935884475708,36.24
0.9814770221710205,36.24
1.1070303916931152,36.34
1.2472620010375977,36.14
1.374833345413208,36.24
1.500152587890625,36.24
1.626063585281372,36.34
1.7922375202178955,36.34
1.91825532913208,35.44
2.040055751800537,35.05
2.1648504734039307,34.66
2.3078532218933105,34.66
2.4717764854431152,34.66
2.597315788269043,34.66
2.7352850437164307,34.66
2.877153158187866,34.55
3.0173962116241455,34.76
3.1597847938537598,34.55
3.2845377922058105,34.66
3.409520149230957,34.66
3.5332791805267334,34.85
3.6558897495269775,34.66
3.7818784713745117,34.66
3.927668571472168,34.75
4.070655822753906,34.66
4.195034503936768,34.66
4.317935466766357,34.76
4.459988594055176,34.66
4.599796772003174,34.66
4.726423501968384,34.85
4.85150146484375,34.66
4.978938341140747,34.66
5.104283809661865,34.66
5.225241661071777,34.66
5.346805810928345,34.76
5.491969585418701,34.75
5.631916046142578,34.76
5.7535200119018555,34.95
5.875254392623901,34.76
6.020151853561401,34.75
6.145604133605957,34.85
6.27018928527832,34.75
6.395004987716675,34.75
6.540869951248169,34.75
6.6835901737213135,34.75
6.808030605316162,34.66
6.930388689041138,34.75
7.075735092163086,34.66
7.202035665512085,34.75
7.323422431945801,34.66
7.463320016860962,34.66
7.585080146789551,34.75
7.708216667175293,34.66
7.83401346206665,34.76
7.955500841140747,34.76
8.077813625335693,34.75
8.202800750732422,34.66
8.325642347335815,34.55
8.469101190567017,34.66
8.61158037185669,34.76
8.735774278640747,34.66
8.858625411987305,34.75
8.983865022659302,34.66
9.105338096618652,34.66
9.25142216682434,34.85
9.372727632522583,35.14
9.496208429336548,34.85
9.618181467056274,34.95
9.739369630813599,34.95
9.884000778198242,35.14
10.023616075515747,34.95
10.148345470428467,34.95
10.272405862808228,35.14
10.39760971069336,34.95
10.521689653396606,34.95
10.642766237258911,34.85
10.770120859146118,35.14
10.895473718643188,34.95
11.039749383926392,34.85
11.179646730422974,35.05
11.319825172424316,34.85
11.45978569984436,34.76
11.586145877838135,35.05
11.710409879684448,34.85
11.83686375617981,34.85
11.960825204849243,34.95
12.084764242172241,35.05
12.208704710006714,34.85
12.332735061645508,34.75
12.491278886795044,35.05
12.616647005081177,34.85
12.737725973129272,34.85
12.86370849609375,34.85
12.986645698547363,34.95
13.111052513122559,34.75
13.256872415542603,34.85
13.379547357559204,34.85
13.507022619247437,34.85
13.628290176391602,34.75
13.753749370574951,34.76
13.880611658096313,34.95
14.024016857147217,34.76
14.187064409255981,34.95
14.314436674118042,34.75
14.457550287246704,34.66
14.579016208648682,34.85
14.705034732818604,34.85
14.844171285629272,34.66
14.97020697593689,34.66
15.095318078994751,34.85
15.234996557235718,34.76
15.379729986190796,34.75
15.501118421554565,34.95
15.625573873519897,34.66
15.75076150894165,34.75
15.87595820426941,34.76
16.000290632247925,34.95
16.12216091156006,34.75
16.246898889541626,34.67
16.371967792510986,34.66
16.498125791549683,34.85
16.64491629600525,34.75
16.807433366775513,34.95
16.94764471054077,34.75
17.073441743850708,34.75
17.194885969161987,34.75
17.33902382850647,34.66
17.48068070411682,34.75
17.6069233417511,34.95
17.73193049430847,34.75
17.853467226028442,34.75
17.99916124343872,34.75
18.143778562545776,34.66
18.26859402656555,34.76
18.392467975616455,34.85
18.535315990447998,34.75
18.660409688949585,34.75
18.799471616744995,34.85
18.920887231826782,34.85
19.08504629135132,34.76
19.223426580429077,35.05
19.34840488433838,34.85
19.48814034461975,34.75
19.611253261566162,34.85
19.735674619674683,34.75
19.856959104537964,34.66
19.977794885635376,34.85
20.123138427734375,34.95
20.248488664627075,34.66
20.391103506088257,34.85
20.518082857131958,34.85
20.640908002853394,34.75
20.765279531478882,34.76
20.889460563659668,34.75
21.010534524917603,34.85
21.135442972183228,34.95
21.256442070007324,34.95
21.418595552444458,35.05
21.54260563850403,35.05
21.705495834350586,35.14
21.827988862991333,35.34
21.948685884475708,38.2
22.093729734420776,97.5
22.213285207748413,49.73
22.354078769683838,54.64
22.49840521812439,54.65
22.619776725769043,54.64
22.74189782142639,54.83
22.865728616714478,54.83
23.0278537273407,55.03
23.148946285247803,54.54
23.291661024093628,54.74
23.41690969467163,54.64
23.576807498931885,54.74
23.698908805847168,54.72
23.82342219352722,54.93
23.96315860748291,40.69
24.08706259727478,34.95
24.21374487876892,35.05
24.33996820449829,35.14
24.47952890396118,34.95
24.6200909614563,34.95
24.744916677474976,35.14
24.870535135269165,34.95
25.02822709083557,34.95
25.154863595962524,35.15
25.279576539993286,34.75
25.40582847595215,34.85
25.527934789657593,34.75
25.763027667999268,51.79
