CPU Cap (W),GPU F (MHz),CPU_E (J),GPU_E (J),Runtime (s)
105,2100,1283.05,3422.14,14.49
105,2025,1281.26,3481.65,14.45
105,1935,1266.77,3488.98,14.4
105,1845,1283.46,3358.15,14.45
105,1755,1272.94,2961.06,14.47
105,1665,1294.5,2672.9,14.59
105,1575,1303.16,2469.78,14.76
105,1485,1316.44,2291.08,14.89
105,1395,1346.54,2165.59,15.1
105,1305,1362.1,2028.01,15.45
105,1215,1389.69,1992.35,15.8
105,1125,1431.94,1927.33,16.26
105,1035,1479.74,1901.85,16.73
105,945,1473.99,1845.96,16.75
105,855,1487.29,1823.06,16.69
105,765,1535.74,1859.16,17.26
105,675,1657.94,1953.02,18.74
105,585,1886.48,2125.81,21.39
105,495,2221.86,2351.41,25.12
105,405,2711.17,2704.05,30.56
105,315,6467.0,5062.27,73.09
