CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
105,260,295.94,170.06,3.38
105,240,309.56,174.0,3.48
105,220,304.56,169.03,3.45
105,200,313.55,171.88,3.54
105,180,308.52,179.64,3.51
105,160,296.26,170.78,3.4
105,140,313.35,170.58,3.52
105,120,305.12,171.9,3.48
105,100,312.0,172.17,3.54
100,260,300.26,177.15,3.56
100,240,314.12,189.84,3.78
100,220,316.14,182.54,3.74
100,200,324.87,183.77,3.82
100,180,305.77,182.91,3.61
100,160,298.79,179.36,3.58
100,140,297.13,182.53,3.55
100,120,310.06,188.51,3.69
100,100,296.14,183.23,3.55
95,260,343.74,219.1,4.22
95,240,306.25,187.69,3.82
95,220,308.69,197.9,3.9
95,200,307.89,186.41,3.74
95,180,330.0,201.86,4.05
95,160,308.23,192.35,3.86
95,140,312.38,197.97,3.87
95,120,324.13,198.58,4.04
95,100,301.14,189.02,3.78
90,260,310.44,208.93,4.08
90,240,317.23,208.87,4.13
90,220,302.59,208.44,4.01
90,200,316.63,212.4,4.15
90,180,340.68,226.22,4.43
90,160,341.24,219.06,4.44
90,140,311.72,211.44,4.03
90,120,324.2,215.37,4.22
90,100,325.03,216.02,4.29
85,260,325.74,223.5,4.46
85,240,318.14,215.99,4.37
85,220,311.5,216.2,4.33
85,200,348.72,234.73,4.75
85,180,348.99,244.22,4.81
85,160,311.6,217.68,4.34
85,140,308.85,208.93,4.26
85,120,324.73,224.76,4.43
85,100,334.29,231.15,4.61
80,260,328.0,240.22,4.85
80,240,307.47,225.64,4.55
80,220,316.08,239.87,4.63
80,200,333.28,241.94,4.84
80,180,338.87,257.02,5.0
80,160,299.73,215.34,4.42
80,140,320.66,241.11,4.73
80,120,307.25,226.11,4.51
80,100,329.45,240.21,4.82
75,260,337.1,268.45,5.35
75,240,326.33,256.85,5.09
75,220,327.72,261.82,5.13
75,200,332.02,268.8,5.26
75,180,336.72,274.27,5.32
75,160,343.92,268.73,5.4
75,140,348.9,275.88,5.46
75,120,311.18,243.75,4.84
75,100,326.43,261.1,5.12
70,260,349.12,295.16,5.83
70,240,332.27,273.94,5.5
70,220,-261789.83,300.93,5.94
70,200,337.39,280.65,5.49
70,180,326.24,281.05,5.47
70,160,337.35,285.57,5.65
70,140,359.79,311.95,6.08
70,120,341.06,295.42,5.7
70,100,336.19,282.45,5.63
65,260,396.91,353.55,6.95
65,240,397.69,351.15,6.95
65,220,397.61,351.02,6.99
65,200,398.01,349.56,6.98
65,180,397.71,354.38,6.94
65,160,397.64,361.75,7.01
65,140,397.01,351.6,6.94
65,120,397.03,353.66,6.96
65,100,397.24,354.91,6.99
105,260,308.55,185.44,3.5
105,240,307.81,187.38,3.48
105,220,310.67,185.62,3.57
105,200,309.08,183.09,3.56
105,180,304.95,180.38,3.47
105,160,308.5,182.43,3.49
105,140,315.63,179.97,3.56
105,120,312.31,184.09,3.58
105,100,306.47,184.46,3.47
100,260,296.15,177.41,3.46
100,240,300.75,185.02,3.51
100,220,315.12,190.19,3.72
100,200,293.27,188.11,3.5
100,180,303.23,182.55,3.56
100,160,316.75,187.96,3.73
100,140,305.53,185.85,3.64
100,120,298.88,184.77,3.56
100,100,295.36,176.28,3.49
95,260,309.41,195.6,3.89
95,240,304.33,193.03,3.72
95,220,315.08,200.31,3.87
95,200,315.95,201.82,3.89
95,180,297.79,186.51,3.71
95,160,296.99,182.04,3.63
95,140,314.28,206.84,3.88
95,120,289.49,181.96,3.59
95,100,325.91,209.93,4.06
90,260,333.58,226.44,4.35
90,240,322.0,215.38,4.16
90,220,313.46,209.54,4.03
