CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
105,260,633.51,438.8,7.28
105,240,482.3,370.02,5.19
105,220,600.14,415.47,6.86
105,200,606.36,413.84,6.93
105,180,635.08,444.21,7.31
105,160,634.47,442.75,7.27
105,140,602.81,416.84,6.91
105,120,641.16,453.79,7.38
105,100,650.38,453.34,7.48
100,260,637.8,467.91,7.68
100,240,603.22,440.47,7.3
100,220,411.26,339.16,4.62
100,200,641.04,464.68,7.61
100,180,599.82,443.15,7.23
100,160,647.52,457.16,7.45
100,140,590.34,441.51,7.14
100,120,600.74,442.94,7.24
100,100,410.48,339.78,4.62
95,260,637.75,502.42,8.09
95,240,620.48,486.75,7.87
95,220,631.76,497.89,7.93
95,200,626.03,478.58,7.81
95,180,634.22,487.32,7.93
95,160,410.62,345.64,4.84
95,140,603.82,468.66,7.66
95,120,381.28,317.26,4.96
95,100,624.77,495.06,7.92
90,260,632.07,516.83,8.33
90,240,623.04,512.53,8.18
90,220,438.54,393.7,5.43
90,200,615.81,517.41,8.22
90,180,601.83,502.91,8.05
90,160,609.1,497.96,8.01
90,140,611.73,495.74,8.07
90,120,421.63,371.3,5.27
90,100,399.01,354.35,4.93
85,260,428.14,406.06,5.59
85,240,624.31,545.26,8.81
85,220,631.59,554.13,8.92
85,200,625.76,549.99,8.81
85,180,625.55,544.84,8.82
85,160,431.21,410.15,5.68
85,140,396.24,371.78,5.21
85,120,567.09,470.52,7.47
85,100,633.99,556.08,8.86
80,260,627.31,579.35,9.36
80,240,640.08,581.22,9.43
80,220,634.57,598.15,9.49
80,200,454.37,458.49,6.31
80,180,458.9,458.93,6.4
80,160,633.02,583.7,9.35
80,140,628.56,580.57,9.4
80,120,641.33,596.63,9.61
80,100,630.24,574.22,9.27
75,260,628.23,609.28,9.81
75,240,638.64,634.8,10.19
75,220,648.67,645.87,10.33
75,200,644.58,595.17,9.43
75,180,646.65,648.95,10.29
75,160,627.79,616.55,9.96
75,140,618.51,608.83,9.87
75,120,631.48,611.85,9.89
75,100,637.17,629.47,10.14
70,260,453.92,514.51,7.15
70,240,673.16,707.85,11.27
70,220,675.32,708.55,11.35
70,200,454.87,521.01,7.15
70,180,660.09,697.48,11.08
70,160,470.04,532.38,7.42
70,140,480.33,551.71,7.6
70,120,651.13,694.76,11.1
70,100,693.02,740.66,11.8
65,260,491.54,591.37,8.27
65,240,688.68,720.08,11.53
65,220,470.34,571.43,7.93
65,200,728.4,813.12,13.0
65,180,725.09,809.41,12.96
65,160,725.42,801.63,12.94
65,140,501.04,596.59,8.46
65,120,718.95,802.25,12.85
65,100,481.0,575.37,8.11
105,260,629.64,439.81,7.25
105,240,640.29,446.63,7.31
105,220,603.09,412.85,6.67
105,200,640.91,448.92,7.3
105,180,480.23,378.68,5.17
105,160,642.81,456.12,7.41
105,140,632.6,447.59,7.23
105,120,605.13,431.24,7.0
105,100,633.25,447.32,7.25
100,260,599.98,442.0,7.14
100,240,638.91,467.94,7.59
100,220,622.78,471.95,7.55
100,200,645.73,480.22,7.79
100,180,592.55,429.64,7.07
100,160,459.86,369.46,5.17
100,140,-261513.76,471.08,7.6
100,120,603.73,443.14,7.29
100,100,633.53,466.14,7.56
95,260,588.35,430.44,7.08
95,240,622.84,482.91,7.88
95,220,402.19,339.98,4.73
95,200,625.97,481.94,7.94
95,180,150.9,89.42,6.91
95,160,475.86,401.14,5.59
95,140,632.28,486.52,7.94
95,120,626.07,482.22,7.92
95,100,616.41,483.42,7.83
90,260,568.79,468.49,7.47
90,240,635.0,516.88,8.33
90,220,611.39,495.54,8.04
90,200,622.17,505.31,8.2
90,180,620.97,508.43,8.27
90,160,616.35,496.32,8.13
90,140,611.77,496.84,8.03
90,120,632.04,512.6,8.32
90,100,623.63,511.24,8.34
85,260,619.68,538.96,8.74
85,240,625.85,536.27,8.85
85,220,438.35,405.1,5.73
85,200,615.44,530.43,8.55
85,180,614.26,525.89,8.69
85,160,444.88,424.06,5.82
85,140,424.95,400.49,5.58
85,120,627.49,550.24,8.89
85,100,447.03,417.56,5.84
80,260,629.88,580.21,9.27
80,240,626.17,570.01,9.23
80,220,673.83,609.26,9.88
80,200,631.81,578.93,9.33
80,180,633.56,573.27,9.33
80,160,632.31,584.82,9.46
80,140,461.41,465.08,6.4
80,120,627.35,584.98,9.38
80,100,644.09,593.02,9.62
75,260,444.13,475.36,6.52
75,240,621.21,594.11,9.67
75,220,625.45,602.65,9.74
75,200,624.21,611.77,9.91
75,180,621.61,598.4,9.73
75,160,444.86,474.64,6.55
75,140,637.71,633.35,10.16
75,120,620.87,599.26,9.65
75,100,621.8,609.24,9.7
70,260,671.7,701.98,11.3
70,240,660.75,693.58,11.1
70,220,677.61,708.16,11.44
70,200,656.75,691.89,11.27
70,180,670.54,698.11,11.29
70,160,666.97,699.08,11.22
70,140,659.52,697.39,11.28
70,120,653.95,634.69,10.2
70,100,460.27,522.14,7.24
65,260,721.48,741.59,12.07
65,240,856.79,934.44,14.7
65,220,523.07,610.28,8.72
65,200,741.99,811.61,13.02
65,180,470.84,563.18,7.93
65,160,460.35,550.53,7.74
65,140,474.63,564.04,8.0
65,120,459.55,557.09,7.74
65,100,724.27,802.5,12.89
105,260,603.96,415.32,6.67
105,240,610.05,420.96,6.74
105,220,601.27,417.69,6.64
105,200,607.89,412.66,6.73
105,180,601.26,414.47,6.65
105,160,604.56,416.84,6.68
105,140,602.24,415.34,6.65
105,120,601.6,414.05,6.64
105,100,604.12,415.99,6.66
100,260,589.18,421.99,6.77
100,240,586.4,412.06,6.75
100,220,589.11,422.21,6.78
100,200,585.4,413.4,6.73
100,180,589.57,412.86,6.79
100,160,592.86,420.48,6.83
100,140,601.47,436.88,7.0
100,120,588.71,413.85,6.78
100,100,587.75,413.89,6.76
95,260,583.1,431.3,7.01
95,240,591.05,440.76,7.11
95,220,590.89,440.79,7.09
95,200,585.87,431.65,7.04
95,180,585.36,432.21,7.04
95,160,584.27,431.88,7.02
95,140,585.86,440.41,7.05
95,120,624.34,469.92,7.5
95,100,589.68,442.48,7.08
90,260,594.86,470.86,7.6
90,240,583.02,449.95,7.35
90,220,574.13,450.12,7.25
90,200,614.11,477.08,7.74
90,180,616.94,477.28,7.78
90,160,591.22,459.42,7.46
90,140,578.94,450.34,7.31
90,120,575.69,449.85,7.27
90,100,615.58,478.12,7.78
85,260,578.3,468.81,7.62
85,240,581.54,477.49,7.66
85,220,623.03,504.45,8.22
85,200,621.5,515.66,8.2
85,180,580.44,478.08,7.67
85,160,585.31,479.21,7.73
85,140,586.96,477.99,7.75
85,120,579.87,477.84,7.63
85,100,571.68,461.97,7.52
80,260,632.65,542.72,8.76
80,240,573.28,489.66,7.91
80,220,621.62,536.87,8.57
80,200,584.92,497.89,8.05
80,180,623.19,543.89,8.61
80,160,623.56,532.32,8.64
80,140,631.98,551.53,8.75
80,120,630.45,544.79,8.77
80,100,634.17,543.82,8.77
75,260,646.95,591.96,9.5
75,240,675.89,616.18,9.93
75,220,639.66,574.95,9.36
75,200,622.3,560.07,9.09
75,180,626.46,567.4,9.18
75,160,624.36,559.57,9.12
75,140,633.21,574.79,9.25
75,120,493.47,520.06,7.31
75,100,632.84,572.05,9.26
70,260,657.19,638.28,10.27
70,240,650.4,631.11,10.13
70,220,675.29,661.15,10.57
70,200,663.56,648.71,10.38
70,180,669.6,652.84,10.45
70,160,672.49,661.03,10.53
70,140,659.96,649.51,10.31
70,120,680.93,666.08,10.63
70,100,750.69,744.29,11.97
65,260,679.92,709.14,11.42
65,240,664.51,685.77,11.12
65,220,705.28,735.8,11.83
65,200,688.16,715.36,11.53
65,180,683.06,703.39,11.46
65,160,689.3,717.31,11.56
65,140,694.93,717.11,11.62
65,120,686.74,716.7,11.48
65,100,672.65,698.05,11.28
