CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
250,260,873.5,718.03,9.08
250,240,869.27,712.04,9.06
250,220,876.17,713.19,9.08
250,200,869.65,705.3,9.06
250,180,875.9,707.27,9.08
250,160,875.4,712.65,9.07
250,140,873.62,702.87,9.09
250,120,871.19,706.96,9.06
250,100,878.64,688.25,9.09
110,260,852.56,714.84,9.23
110,240,853.5,720.6,9.22
110,220,850.08,723.09,9.2
110,200,860.21,722.75,9.27
110,180,853.81,718.18,9.23
110,160,852.02,716.8,9.21
110,140,852.07,718.79,9.22
110,120,853.14,718.52,9.21
110,100,863.72,717.1,9.39
95,260,824.93,780.36,10.19
95,240,816.77,774.45,10.13
95,220,808.73,786.39,10.07
95,200,816.54,789.26,10.13
95,180,847.03,809.44,10.55
95,160,834.62,789.32,10.35
95,140,816.87,777.26,10.13
95,120,822.72,778.63,10.19
95,100,824.25,778.17,10.21
90,260,918.11,923.86,11.93
90,240,836.07,832.15,10.86
90,220,896.52,901.85,11.68
90,200,924.41,924.79,12.01
90,180,883.86,877.7,11.39
90,160,882.58,878.61,11.44
90,140,982.6,962.55,12.61
90,120,834.97,830.71,10.82
90,100,866.26,855.3,11.28
85,260,870.44,923.19,11.9
85,240,858.09,913.65,11.76
85,220,863.7,929.47,11.82
85,200,873.83,929.82,11.91
85,180,839.46,890.5,11.44
85,160,855.21,893.12,11.64
85,140,846.95,872.35,11.57
85,120,860.04,898.83,11.74
85,100,875.86,912.14,11.96
80,260,872.26,996.78,12.77
80,240,860.99,972.8,12.61
80,220,924.81,1004.99,13.11
80,200,881.3,983.55,12.82
80,180,865.14,981.62,12.61
80,160,885.91,987.98,12.95
80,140,855.69,944.81,12.43
80,120,856.57,955.81,12.48
80,100,884.13,993.9,12.97
75,260,889.74,1056.56,13.73
75,240,888.74,1055.53,13.73
75,220,894.39,1059.42,13.84
75,200,925.99,1114.61,14.52
75,180,949.94,1130.22,14.91
75,160,895.4,1064.97,13.92
75,140,852.47,996.85,13.09
75,120,894.31,1051.63,13.91
75,100,892.98,1059.85,13.88
70,260,964.88,1224.41,15.94
70,240,954.45,1215.03,15.72
70,220,991.55,1251.35,16.42
70,200,901.21,1087.26,14.36
70,180,1125.67,1377.54,18.17
70,160,980.53,1229.4,16.19
70,140,940.93,1189.91,15.5
70,120,957.84,1196.26,15.82
70,100,994.99,1249.36,16.48
65,260,1078.92,1416.39,18.57
65,240,1090.44,1418.83,18.72
65,220,1096.84,1444.41,18.8
65,200,1090.46,1427.92,18.74
65,180,1084.54,1426.55,18.66
65,160,1096.36,1428.99,18.8
65,140,1081.93,1413.98,18.59
65,120,-261069.29,1392.7,18.46
65,100,1094.38,1435.65,18.8
250,260,859.63,724.6,9.08
250,240,877.35,729.38,9.08
250,220,875.34,723.53,9.07
250,200,875.63,719.59,9.1
250,180,884.07,731.99,9.25
250,160,873.3,732.26,9.09
250,140,870.57,705.95,9.07
250,120,870.57,705.33,9.07
250,100,878.45,703.75,9.11
110,260,854.26,739.24,9.25
110,240,855.48,739.11,9.23
110,220,850.74,733.12,9.2
110,200,866.64,735.64,9.33
110,180,851.44,741.02,9.21
110,160,863.37,740.44,9.4
110,140,855.71,716.07,9.2
110,120,855.99,724.48,9.21
110,100,855.6,708.24,9.22
95,260,818.51,797.95,10.11
95,240,830.54,811.14,10.3
95,220,832.38,825.05,10.32
95,200,824.68,813.73,10.29
95,180,823.98,823.27,10.2
95,160,820.06,806.83,10.17
95,140,827.25,789.99,10.19
95,120,808.94,792.8,10.06
95,100,823.06,803.18,10.2
90,260,862.77,901.33,11.25
90,240,862.66,903.35,11.22
90,220,850.85,865.92,11.04
90,200,853.92,874.02,11.06
90,180,866.15,876.93,11.19
90,160,1002.82,1031.12,13.01
90,140,879.15,906.75,11.42
90,120,888.91,896.58,11.53
90,100,909.24,931.99,11.86
85,260,878.02,960.84,12.01
85,240,852.64,910.11,11.69
85,220,853.85,919.49,11.66
85,200,836.93,901.84,11.4
85,180,958.14,1031.84,13.2
85,160,852.61,928.12,11.69
85,140,831.26,886.41,11.32
85,120,836.49,895.71,11.45
85,100,837.85,889.36,11.49
80,260,903.56,1055.78,13.32
80,240,890.03,1031.93,13.05
80,220,876.07,1025.86,12.87
80,200,888.22,1015.41,12.96
80,180,891.56,1037.56,13.05
80,160,868.74,997.61,12.71
80,140,917.14,1067.6,13.43
80,120,853.98,967.93,12.41
80,100,903.18,1041.78,13.31
75,260,890.66,1086.08,13.83
75,240,895.09,1106.42,13.94
75,220,873.45,1060.15,13.48
75,200,876.77,1059.41,13.57
75,180,913.59,1133.33,14.33
75,160,930.38,1151.15,14.59
75,140,904.63,1096.16,14.05
75,120,890.64,1065.18,13.73
75,100,892.55,1075.83,13.9
70,260,952.67,1229.83,15.7
70,240,930.0,1194.93,15.34
70,220,936.0,1194.97,15.37
70,200,935.42,1196.01,15.43
70,180,953.95,1236.16,15.75
70,160,951.0,1226.26,15.65
70,140,958.88,1232.81,15.78
70,120,969.2,1236.66,16.03
70,100,983.94,1264.68,16.32
65,260,1072.42,1449.52,18.43
65,240,1078.39,1446.79,18.53
65,220,1077.93,1458.21,18.51
65,200,1078.09,1432.78,18.51
65,180,1083.09,1476.81,18.65
65,160,1078.52,1438.42,18.51
65,140,953.52,1233.66,15.88
65,120,1082.86,1449.74,18.62
65,100,1077.24,1446.04,18.54
250,260,873.28,705.24,9.08
250,240,868.99,716.65,9.06
250,220,873.81,715.14,9.15
250,200,871.43,700.83,9.09
250,180,875.34,709.98,9.18
250,160,872.16,703.14,9.09
250,140,872.46,706.4,9.09
250,120,872.61,707.27,9.09
250,100,874.19,689.51,9.08
110,260,882.28,756.27,9.65
110,240,866.18,721.45,9.28
110,220,853.38,728.56,9.24
110,200,853.92,724.55,9.21
110,180,855.97,723.32,9.24
110,160,854.0,714.48,9.2
110,140,856.38,711.34,9.21
110,120,856.64,715.47,9.26
110,100,856.35,706.27,9.24
95,260,841.99,805.12,10.41
95,240,809.18,777.8,10.02
95,220,815.4,790.0,10.1
95,200,810.42,783.16,10.06
95,180,817.71,778.0,10.08
95,160,809.14,782.08,10.03
95,140,811.51,773.17,10.05
95,120,816.6,787.36,10.14
95,100,818.37,762.5,10.16
90,260,890.36,897.62,11.54
90,240,842.97,853.76,10.94
90,220,905.39,901.53,11.7
90,200,889.45,893.98,11.56
90,180,881.8,893.61,11.47
90,160,849.53,844.9,11.01
90,140,852.68,854.98,11.08
90,120,860.0,838.44,11.1
90,100,911.35,901.03,11.83
85,260,844.09,885.62,11.5
85,240,865.58,908.54,11.83
85,220,881.07,929.01,12.1
85,200,855.53,901.65,11.67
85,180,876.45,927.09,11.97
85,160,866.44,918.23,11.84
85,140,866.35,916.14,11.81
85,120,867.42,910.22,11.88
85,100,870.15,900.45,11.86
80,260,841.91,940.21,12.29
80,240,851.32,969.89,12.4
80,220,836.37,935.18,12.19
80,200,843.2,961.03,12.29
80,180,848.57,952.77,12.38
80,160,843.13,954.63,12.31
80,140,864.7,979.53,12.66
80,120,868.57,967.35,12.69
80,100,862.82,967.98,12.62
75,260,902.79,1079.9,14.07
75,240,915.71,1102.63,14.43
75,220,876.69,1040.96,13.55
75,200,857.41,1009.48,13.21
75,180,920.93,1090.64,14.33
75,160,932.7,1115.42,14.57
75,140,884.89,1040.72,13.65
75,120,835.43,934.49,12.37
75,100,925.58,1101.51,14.45
70,260,980.38,1237.76,16.17
70,240,937.65,1183.44,15.42
70,220,952.59,1207.51,15.74
70,200,957.55,1205.11,15.78
70,180,906.04,1102.89,14.51
70,160,980.54,1234.41,16.2
70,140,995.83,1231.28,16.1
70,120,959.03,1196.59,15.82
70,100,994.56,1256.6,16.52
65,260,1078.55,1430.24,18.54
65,240,1070.18,1426.37,18.42
65,220,1077.65,1429.93,18.55
65,200,1084.35,1426.69,18.64
65,180,1083.65,1437.71,18.61
65,160,1301.48,1735.39,22.61
65,140,983.47,1253.79,16.43
65,120,1078.47,1421.56,18.56
65,100,1078.06,1398.48,18.52
