CPU Cap (W),GPU Cap (W),Runtime (s)
65,260,21.35
70,260,18.5
75,260,19.39
80,260,30.91
85,260,30.53
90,260,20.35
95,260,17.02
100,260,29.34
105,260,29.43
110,260,28.46
115,260,28.6
120,260,28.43
125,260,28.28
65,260,26.89
70,260,18.91
75,260,32.54
80,260,17.42
85,260,29.09
90,260,25.57
95,260,22.88
100,260,29.3
105,260,30.26
110,260,29.6
115,260,28.31
120,260,27.97
125,260,28.28
65,260,24.63
70,260,25.15
75,260,23.24
80,260,17.13
85,260,28.99
90,260,28.8
95,260,19.43
100,260,15.06
105,260,30.25
110,260,29.02
115,260,28.44
120,260,28.09
125,260,28.36
65,260,22.02
70,260,29.76
75,260,20.5
80,260,26.16
85,260,31.98
90,260,22.32
95,260,16.09
100,260,29.42
105,260,29.51
110,260,29.7
115,260,27.94
120,260,28.27
125,260,27.97
65,260,18.69
70,260,18.77
75,260,19.4
80,260,30.82
85,260,31.26
90,260,16.51
95,260,26.96
100,260,30.14
105,260,30.4
110,260,29.27
115,260,28.18
120,260,27.91
125,260,28.7
