CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
105,260,331.94,665.61,3.8
105,240,333.7,679.1,3.81
105,220,333.94,642.24,3.82
105,200,331.31,619.37,3.79
105,180,338.12,558.68,3.86
105,160,341.75,524.56,3.9
105,140,353.41,473.6,4.03
105,120,372.86,444.21,4.24
105,100,436.39,444.59,4.96
100,260,316.36,672.91,3.77
100,240,316.43,654.64,3.78
100,220,319.76,643.36,3.83
100,200,321.15,616.49,3.84
100,180,324.84,588.78,3.87
100,160,330.24,511.23,3.95
100,140,337.91,472.74,4.05
100,120,351.75,443.35,4.26
100,100,415.55,441.64,4.95
95,260,301.41,631.82,3.77
95,240,305.07,666.65,3.83
95,220,308.31,657.87,3.87
95,200,308.77,645.19,3.86
95,180,308.9,562.78,3.87
95,160,313.27,511.57,3.94
95,140,324.35,476.36,4.07
95,120,342.13,447.36,4.28
95,100,399.45,438.3,4.98
90,260,284.4,625.66,3.81
90,240,291.32,673.44,3.83
90,220,290.29,692.29,3.82
90,200,293.97,611.35,3.89
90,180,296.58,547.46,3.91
90,160,299.68,502.26,3.94
90,140,306.0,464.76,4.08
90,120,324.77,432.92,4.28
90,100,383.01,442.25,5.02
85,260,275.67,630.04,3.82
85,240,276.52,663.07,3.83
85,220,274.16,614.46,3.83
85,200,281.52,599.98,3.9
85,180,285.19,601.33,3.93
85,160,288.97,559.15,4.0
85,140,293.81,474.62,4.07
85,120,310.69,429.45,4.27
85,100,356.8,430.13,5.0
80,260,260.09,631.01,3.86
80,240,263.17,684.82,3.85
80,220,260.27,613.48,3.86
80,200,264.25,594.31,3.89
80,180,264.83,582.99,3.94
80,160,268.22,499.18,3.96
80,140,277.19,499.85,4.07
80,120,290.04,433.52,4.26
80,100,346.49,456.55,5.07
75,260,243.36,660.54,3.82
75,240,245.14,665.71,3.85
75,220,250.17,652.89,3.92
75,200,250.89,589.48,3.93
75,180,254.77,549.73,3.91
75,160,253.19,502.08,3.97
75,140,258.12,450.03,4.06
75,120,275.02,454.14,4.3
75,100,-261820.2,428.33,5.06
70,260,230.88,702.16,3.88
70,240,232.16,676.09,3.9
70,220,230.86,637.09,3.92
70,200,234.54,585.25,3.94
70,180,238.27,552.57,4.01
70,160,238.14,538.47,4.02
70,140,245.13,453.17,4.1
70,120,261.93,436.92,4.37
70,100,302.84,443.82,5.1
65,260,221.52,617.01,3.91
65,240,222.97,677.49,3.93
65,220,224.04,613.73,3.94
65,200,222.86,562.77,3.94
65,180,228.72,552.68,4.04
65,160,236.86,503.54,4.08
65,140,236.06,475.5,4.15
65,120,248.18,428.55,4.36
65,100,291.07,423.66,5.08
105,260,330.35,677.37,3.76
105,240,335.1,648.01,3.82
105,220,335.27,624.31,3.83
105,200,335.48,613.09,3.83
105,180,342.23,563.85,3.91
105,160,341.68,558.15,3.9
105,140,351.66,454.01,4.01
105,120,369.78,451.05,4.21
105,100,437.48,445.74,4.98
100,260,320.19,657.57,3.8
100,240,321.65,669.11,3.89
100,220,317.31,645.62,3.79
100,200,321.52,612.94,3.84
100,180,328.41,539.68,3.9
100,160,332.44,519.78,3.94
100,140,335.98,462.03,4.05
100,120,360.81,435.63,4.28
100,100,419.41,436.22,4.97
95,260,304.93,649.1,3.81
95,240,304.28,613.98,3.82
95,220,306.72,686.13,3.84
95,200,307.67,630.74,3.83
95,180,314.65,611.34,3.93
95,160,319.86,513.17,4.02
95,140,321.91,474.07,4.05
95,120,333.83,438.6,4.25
95,100,403.89,445.27,5.02
90,260,295.09,685.42,3.88
90,240,292.85,646.56,3.85
90,220,294.29,686.23,3.87
90,200,293.86,601.5,3.86
90,180,298.38,547.76,3.92
90,160,299.4,524.27,3.93
90,140,311.38,486.44,4.08
90,120,320.94,420.73,4.23
90,100,381.86,423.03,4.97
85,260,273.75,713.11,3.82
85,240,276.84,610.6,3.83
85,220,278.63,684.12,3.84
85,200,278.15,613.02,3.86
85,180,286.61,556.86,3.96
85,160,289.37,555.8,4.0
85,140,290.35,501.6,4.04
85,120,309.74,434.89,4.25
85,100,356.15,426.19,5.0
80,260,258.85,676.85,3.84
80,240,264.27,668.62,3.85
80,220,264.07,684.84,3.88
80,200,264.23,618.72,3.86
80,180,259.6,543.32,3.9
80,160,266.55,497.76,3.96
80,140,275.32,472.78,4.08
80,120,284.27,415.0,4.29
80,100,340.14,437.34,5.02
75,260,244.46,672.17,3.85
75,240,244.38,691.29,3.85
75,220,256.58,656.04,3.92
75,200,248.84,602.28,3.91
75,180,248.96,520.95,3.91
75,160,253.55,492.01,3.98
75,140,258.63,465.94,4.08
75,120,272.62,451.27,4.34
75,100,321.87,433.22,5.03
70,260,231.27,682.92,3.9
70,240,228.29,614.25,3.88
70,220,231.52,674.0,3.9
70,200,237.87,579.17,3.97
70,180,234.03,525.91,3.99
70,160,239.59,514.46,4.07
70,140,252.26,481.93,4.18
70,120,260.69,426.23,4.42
70,100,296.98,439.17,5.11
65,260,221.79,610.83,3.92
65,240,226.67,613.65,3.9
65,220,225.8,620.29,3.98
65,200,230.78,586.25,3.98
65,180,227.02,584.47,4.0
65,160,231.35,513.6,4.08
65,140,236.19,471.73,4.16
65,120,245.1,424.05,4.32
65,100,290.08,424.41,5.08
105,260,327.95,617.3,3.76
105,240,329.15,673.06,3.8
105,220,332.35,634.79,3.8
105,200,333.76,630.08,3.82
105,180,337.1,561.67,3.83
105,160,344.48,508.72,3.93
105,140,350.63,477.21,3.99
105,120,369.7,432.97,4.21
105,100,430.72,443.79,4.9
100,260,316.21,665.96,3.78
100,240,318.68,663.9,3.8
100,220,320.39,669.77,3.82
100,200,325.08,621.76,3.86
100,180,331.77,615.42,3.97
100,160,327.96,527.21,3.92
100,140,342.95,518.21,4.08
100,120,353.22,427.84,4.19
100,100,412.76,443.62,4.92
95,260,302.55,654.69,3.83
95,240,302.17,648.04,3.78
95,220,305.56,633.57,3.81
95,200,308.75,602.72,3.86
95,180,307.92,535.93,3.85
95,160,313.82,526.55,3.92
95,140,321.88,477.15,4.04
95,120,337.05,451.25,4.31
95,100,401.57,446.03,5.02
90,260,294.12,641.6,3.88
90,240,293.0,663.52,3.87
90,220,292.39,648.02,3.84
90,200,294.83,603.4,3.87
90,180,295.82,582.64,3.92
90,160,299.97,497.72,3.96
90,140,307.94,467.38,4.05
90,120,323.93,440.37,4.26
90,100,385.67,444.75,5.02
85,260,273.61,634.85,3.8
85,240,278.45,648.45,3.85
85,220,274.84,610.7,3.83
85,200,282.24,583.66,3.88
85,180,286.78,539.73,3.97
85,160,286.54,520.0,3.97
85,140,293.54,454.58,4.05
85,120,304.1,436.71,4.23
85,100,357.42,454.9,4.95
80,260,255.07,676.05,3.78
80,240,264.35,644.23,3.86
80,220,258.75,709.64,3.85
80,200,259.43,638.16,3.86
80,180,260.21,525.52,3.87
80,160,269.08,540.44,3.99
80,140,279.88,466.21,4.06
80,120,289.42,427.1,4.28
80,100,339.29,450.01,5.01
75,260,244.39,639.37,3.85
75,240,245.62,619.92,3.86
75,220,242.61,675.0,3.83
75,200,247.63,569.44,3.89
75,180,249.61,566.95,3.95
75,160,250.16,494.69,4.0
75,140,259.03,463.43,4.07
