Time (s),GPU 0 Power (W)
0.10019230842590332,62.57
0.2310013771057129,62.57
0.3635549545288086,62.57
0.4955587387084961,62.57
0.6273059844970703,63.14
0.7604737281799316,64.79
0.8912112712860107,63.71
1.0237641334533691,64.6
1.1544229984283447,63.33
1.2848291397094727,64.69
1.418281078338623,64.88
1.552751064300537,64.68
1.6857826709747314,63.61
1.815831184387207,64.5
1.9471304416656494,63.81
2.0792229175567627,64.98
2.2129721641540527,64.5
2.3464865684509277,63.42
2.480074167251587,64.87
2.6082828044891357,64.79
2.741039991378784,66.78
