Time (s),GPU 0 Power (W),GPU 1 Power (W)
0.10019564628601074,35.52,27.02
0.2719111442565918,35.28,27.01
0.4073469638824463,35.52,27.01
0.5445761680603027,35.52,27.01
0.6799814701080322,35.28,27.0
0.8192391395568848,35.52,27.0
0.9550468921661377,35.28,27.0
1.0923314094543457,35.28,27.02
1.2270870208740234,35.28,27.02
1.364642858505249,35.52,27.02
1.4999430179595947,35.52,27.01
1.6387286186218262,36.74,27.0
1.775160312652588,36.0,27.01
1.9113547801971436,35.76,27.02
2.0454976558685303,35.52,27.0
2.1802561283111572,36.0,27.0
2.3174149990081787,35.52,27.0
2.4513232707977295,35.76,27.0
2.6097593307495117,37.46,27.01
2.7454874515533447,37.46,27.01
2.9035606384277344,37.95,27.02
3.039419651031494,35.76,27.02
