Time (s),GPU 0 Power (W)
0.3003840446472168,55.62
0.6555819511413574,54.64
0.9887802600860596,54.74
1.3193328380584717,54.83
1.6503069400787354,54.74
1.985795021057129,35.84
2.318411350250244,35.94
2.6562459468841553,35.96
2.9896280765533447,35.94
3.3224048614501953,35.85
3.6582493782043457,35.84
3.9931890964508057,35.84
4.326136350631714,35.84
4.6614766120910645,35.84
4.9941725730896,35.84
5.329885005950928,35.84
5.662179470062256,35.96
5.996828317642212,35.84
6.332350492477417,35.73
6.665789365768433,35.85
7.001169919967651,36.92
7.356657981872559,54.83
7.6873779296875,54.56
8.018260478973389,54.56
8.350088119506836,54.56
8.683486461639404,54.44
9.014035940170288,54.64
9.343464612960815,35.84
9.67763614654541,35.84
10.0111243724823,35.85
10.345510959625244,35.85
10.67880916595459,35.74
11.025775671005249,35.74
11.37882375717163,35.96
11.713648557662964,35.74
12.046064853668213,35.75
12.378394365310669,35.84
12.713481664657593,35.84
13.048682928085327,35.85
13.381963014602661,35.75
13.716832637786865,35.73
14.070494174957275,35.74
14.405415058135986,36.92
14.739909648895264,55.43
15.070878505706787,54.44
15.402154922485352,54.64
15.73129415512085,54.46
16.06360960006714,54.56
16.394126415252686,54.56
16.723296880722046,35.84
17.057643175125122,35.84
17.392483711242676,35.85
17.725932836532593,35.75
18.05818819999695,35.74
18.390878915786743,35.75
18.715304613113403,35.84
19.06216835975647,35.75
19.394697189331055,35.63
19.729379892349243,35.73
20.063026189804077,35.73
20.397547960281372,35.74
20.730652570724487,35.63
21.065759420394897,35.64
21.398589372634888,35.63
21.745710134506226,36.73
22.079939603805542,55.53
22.413633108139038,54.25
22.743664264678955,54.46
23.07469081878662,54.35
23.40595531463623,54.44
23.73511815071106,54.46
24.078243494033813,35.63
24.41316795349121,35.74
24.746992588043213,35.75
25.093581199645996,35.63
25.42618489265442,35.63
25.758507013320923,35.63
26.095813512802124,35.64
26.42992901802063,35.75
26.762407541275024,35.63
27.125003576278687,35.64
27.448546171188354,35.64
27.77187991142273,35.64
28.11762523651123,35.65
28.450697660446167,35.63
28.785820245742798,35.64
29.11802077293396,35.54
29.453314781188965,57.4
29.80293083190918,54.24
30.135311603546143,54.33
30.46651792526245,55.12
30.799770832061768,53.96
31.130390167236328,54.06
31.46172833442688,54.06
31.798688888549805,35.53
32.14990234375,35.54
32.48303556442261,35.54
32.83023405075073,35.54
33.16564321517944,35.54
33.501216888427734,35.54
33.83484983444214,35.45
34.16981530189514,35.45
34.502185106277466,35.45
34.83475995063782,35.45
35.16921925544739,35.54
35.50251317024231,35.54
35.83763861656189,35.55
36.190014362335205,35.84
36.525179862976074,36.24
36.86020469665527,46.58
37.193838119506836,53.86
37.52343678474426,53.86
37.85415840148926,54.35
38.20329666137695,58.09
