System,System,System,System,System,System,System,System,System,System
Time,EXEC,CFREQ,READ,WRITE,INST,PhysIPC%,Proc Energy (Joules),DRAM Energy (Joules),UncFREQ (Ghz)
19:56:24.557,0.0,1.15,0.0,0.0,2.69,12.03,2.74,0.13,0.25
19:56:24.657,0.0,1.0,0.0,0.0,5.83,23.75,2.55,0.14,0.21
19:56:24.757,0.0,1.0,0.0,0.0,5.52,24.9,2.18,0.1,0.11
19:56:24.858,0.0,1.0,0.0,0.0,5.74,24.4,2.24,0.12,0.09
19:56:24.958,0.0,1.0,0.0,0.0,13.49,31.47,2.57,0.15,0.25
19:56:25.060,0.02,2.15,0.04,0.16,265.61,4.73,7.92,0.93,1.48
19:56:25.157,0.07,2.99,0.25,1.37,880.01,3.57,17.84,1.69,2.29
19:56:25.256,0.9,1.87,2.62,2.57,11067.73,63.55,18.11,2.32,2.37
19:56:25.356,0.99,1.96,3.17,3.03,12319.29,67.44,18.42,2.53,2.25
19:56:25.456,0.82,2.25,3.89,3.8,10285.1,48.01,18.7,2.77,2.21
19:56:25.557,0.87,2.02,3.36,2.97,10891.37,57.31,18.72,2.46,2.3
19:56:25.656,0.93,2.08,3.47,3.06,11583.69,59.46,18.67,2.38,2.25
19:56:25.757,0.89,2.02,3.37,2.94,11165.45,58.67,18.76,2.33,2.31
19:56:25.857,0.93,2.07,3.47,3.05,11659.85,59.96,18.83,2.38,2.27
19:56:25.958,0.88,2.03,3.33,2.9,10984.99,57.18,18.61,2.32,2.29
19:56:26.058,0.95,2.17,3.49,3.07,11861.57,58.17,18.92,2.41,2.2
19:56:26.158,0.99,2.26,3.59,3.19,12297.66,57.92,18.79,2.43,2.08
19:56:26.258,0.97,2.06,3.04,2.72,12178.26,62.81,18.8,2.26,2.25
19:56:26.357,0.84,1.98,2.55,2.34,10323.86,55.87,18.23,2.11,2.38
19:56:26.457,0.89,1.98,3.37,3.04,11002.94,59.38,18.55,2.36,2.34
19:56:26.557,0.61,2.22,2.86,2.62,7650.33,36.53,18.66,2.18,2.36
19:56:26.657,0.76,2.05,3.02,2.74,9534.29,49.6,18.4,2.22,2.34
19:56:26.758,0.92,1.86,2.91,2.69,11492.57,65.79,18.69,2.24,2.39
19:56:26.857,1.0,2.34,4.05,3.68,12444.46,56.81,18.95,2.61,1.97
19:56:26.958,0.97,2.41,2.48,2.32,12146.01,53.37,18.55,2.11,1.96
19:56:27.058,0.74,2.1,2.96,2.77,9201.25,47.6,18.34,2.24,2.35
19:56:27.157,0.66,2.17,2.95,2.7,8214.88,40.26,18.61,2.2,2.35
19:56:27.258,0.73,2.2,2.94,2.69,9121.34,46.36,18.3,2.21,2.27
19:56:27.358,0.91,1.84,2.83,2.64,11359.91,66.01,18.5,2.21,2.38
19:56:27.458,0.98,2.15,3.37,3.1,12228.4,60.59,18.81,2.38,2.17
19:56:27.558,1.0,2.42,4.31,3.94,12510.23,54.38,19.13,2.71,1.91
19:56:27.658,0.97,1.91,2.37,2.18,11942.1,68.42,17.97,2.07,2.27
