Time (s),GPU 0 Power (W)
0.10024714469909668,4.68
0.2467660903930664,6.06
0.3851180076599121,4.74
0.5230927467346191,5.26
0.6591768264770508,33.81
0.795316219329834,59.41
0.9274909496307373,78.8
1.0605785846710205,91.0
1.1973698139190674,91.3
1.3301012516021729,91.48
1.4622259140014648,91.29
1.5954957008361816,91.49
1.731247901916504,91.38
1.8637349605560303,91.53
1.9958853721618652,91.69
2.129201889038086,91.65
2.265028715133667,91.77
2.3975629806518555,91.5
2.529742479324341,91.59
2.6628100872039795,91.67
2.798621654510498,91.85
2.931241035461426,91.51
3.0632989406585693,91.65
3.1966378688812256,91.57
3.3327531814575195,91.68
3.465247631072998,91.64
3.597339391708374,91.56
3.7304697036743164,91.89
3.8667054176330566,91.61
3.99926495552063,91.68
4.131469964981079,92.04
4.288556098937988,91.8
4.422443151473999,91.86
4.575005054473877,91.89
4.708866596221924,91.78
4.844083070755005,91.78
4.97640585899353,91.79
5.132117986679077,91.84
5.26761794090271,92.04
5.400004625320435,91.84
5.532399415969849,92.13
5.666041851043701,91.9
5.801321744918823,91.96
5.93356990814209,91.94
6.066031217575073,92.01
6.1999711990356445,91.68
6.353572607040405,92.01
6.487604141235352,92.06
6.619433164596558,92.13
6.7529871463775635,92.06
6.888196706771851,92.1
7.021907567977905,92.09
7.1540515422821045,92.05
7.2874860763549805,92.18
7.422452926635742,92.16
7.574950695037842,92.09
7.707706928253174,92.07
7.841236114501953,92.01
7.977239370346069,92.19
8.1095609664917,92.12
8.282254695892334,92.2
8.415461301803589,92.32
8.571499109268188,92.45
8.704201221466064,92.35
8.836304426193237,92.37
8.970523834228516,92.48
9.105641841888428,92.26
9.238131284713745,92.39
9.370256423950195,92.38
9.503362894058228,92.04
9.638581037521362,92.36
9.772345542907715,92.25
9.905431747436523,92.32
10.040944576263428,92.34
10.175004243850708,92.44
10.308781623840332,92.42
10.443969488143921,92.48
10.577728509902954,92.48
10.710131645202637,92.36
10.844005107879639,92.29
10.978351354598999,92.39
11.112297773361206,92.47
11.245415925979614,92.53
11.380434274673462,92.7
11.514288902282715,92.68
11.64659333229065,92.54
11.779824018478394,92.54
11.91619086265564,92.55
12.048460721969604,92.56
12.204128980636597,92.62
12.33929443359375,92.56
12.471794605255127,92.51
12.603872299194336,92.41
12.73811650276184,92.54
12.873345613479614,92.64
13.005966424942017,92.62
13.138953685760498,92.57
13.274564027786255,92.57
13.40860104560852,92.72
13.541025638580322,92.84
13.674672603607178,92.89
13.809839963912964,92.9
13.942119121551514,92.67
14.074564218521118,92.78
14.208935737609863,92.78
14.344406366348267,92.95
14.476220846176147,92.9
14.608535766601562,92.92
14.742812871932983,92.73
14.877745866775513,92.89
15.010332345962524,92.92
15.142133951187134,92.8
15.275413274765015,92.72
15.411167860031128,92.72
15.54384446144104,92.72
15.676103353500366,92.67
15.810192108154297,92.8
15.945242404937744,92.95
16.07774519920349,92.78
16.21024441719055,92.9
16.34438967704773,92.85
16.479524612426758,92.38
16.635602951049805,92.99
16.77119255065918,93.01
16.90358567237854,93.08
17.03573441505432,93.26
17.16878890991211,93.02
17.304121017456055,93.14
17.437114000320435,93.15
17.56960892677307,93.28
17.702910900115967,93.28
17.837942361831665,93.1
17.971866607666016,93.08
18.1041316986084,93.15
18.23845624923706,93.23
18.373966693878174,93.18
18.506568670272827,93.38
18.639243125915527,93.37
18.774280309677124,93.43
18.90857720375061,93.31
19.04062056541443,93.35
19.17377543449402,93.25
19.30900526046753,93.19
19.442912578582764,93.16
19.5754337310791,93.25
19.709527730941772,93.27
19.844607830047607,93.35
19.977097511291504,93.42
20.109089136123657,93.51
20.24222207069397,93.46
20.377877235412598,93.37
20.53054714202881,93.36
20.66304612159729,93.55
20.796356439590454,93.56
20.932191610336304,93.58
21.064952850341797,93.47
21.1970317363739,93.41
21.330259799957275,93.38
21.46607208251953,93.3
21.598718643188477,93.36
21.731128692626953,93.36
21.882184505462646,93.39
22.015382528305054,93.36
22.15263080596924,93.41
22.2847580909729,93.35
22.416906595230103,93.34
22.552133321762085,93.4
22.686617851257324,93.43
22.819186210632324,93.51
22.954129934310913,93.51
23.08926796913147,92.91
23.221649408340454,93.52
23.35394263267517,93.6
23.487645387649536,93.73
23.623185873031616,93.82
23.755411386489868,93.92
23.887800693511963,93.8
24.021233797073364,93.92
24.175881385803223,93.81
24.3091459274292,80.49
